date,value
1996-01-01,56.95000
1996-02-01,57.29000
1996-03-01,57.35000
1996-04-01,57.29000
1996-05-01,57.41000
1996-06-01,57.47000
1996-07-01,57.58000
1996-08-01,57.52000
1996-09-01,57.52000
1996-10-01,57.47000
1996-11-01,57.41000
1996-12-01,57.64000
1997-01-01,57.98000
1997-02-01,58.21000
1997-03-01,58.15000
1997-04-01,57.98000
1997-05-01,58.21000
1997-06-01,58.33000
1997-07-01,58.50000
1997-08-01,58.56000
1997-09-01,58.38000
1997-10-01,58.33000
1997-11-01,58.33000
1997-12-01,58.44000
1998-01-01,58.38000
1998-02-01,58.56000
1998-03-01,58.44000
1998-04-01,58.50000
1998-05-01,58.73000
1998-06-01,58.79000
1998-07-01,58.96000
1998-08-01,58.90000
1998-09-01,58.67000
1998-10-01,58.56000
1998-11-01,58.56000
1998-12-01,58.56000
1999-01-01,58.50000
1999-02-01,58.61000
1999-03-01,58.73000
1999-04-01,58.96000
1999-05-01,58.96000
1999-06-01,59.02000
1999-07-01,59.30000
1999-08-01,59.30000
1999-09-01,59.13000
1999-10-01,59.07000
1999-11-01,59.13000
1999-12-01,59.36000
2000-01-01,59.48000
2000-02-01,59.59000
2000-03-01,59.56000
2000-04-01,59.56000
2000-05-01,59.47000
2000-06-01,59.78000
2000-07-01,60.03000
2000-08-01,59.87000
2000-09-01,60.03000
2000-10-01,59.93000
2000-11-01,59.99000
2000-12-01,60.62000
2001-01-01,60.24000
2001-02-01,60.62000
2001-03-01,60.63000
2001-04-01,60.87000
2001-05-01,61.14000
2001-06-01,61.24000
2001-07-01,61.35000
2001-08-01,61.19000
2001-09-01,61.12000
2001-10-01,60.92000
2001-11-01,60.79000
2001-12-01,61.46000
2002-01-01,61.52000
2002-02-01,61.71000
2002-03-01,61.81000
2002-04-01,61.76000
2002-05-01,61.83000
2002-06-01,61.78000
2002-07-01,61.99000
2002-08-01,61.86000
2002-09-01,61.78000
2002-10-01,61.71000
2002-11-01,61.48000
2002-12-01,62.16000
2003-01-01,62.14000
2003-02-01,62.49000
2003-03-01,62.55000
2003-04-01,62.38000
2003-05-01,62.22000
2003-06-01,62.37000
2003-07-01,62.53000
2003-08-01,62.56000
2003-09-01,62.49000
2003-10-01,62.43000
2003-11-01,62.30000
