date,value
2019-01-01,88.00000
2019-02-01,80.00000
2019-03-01,101.00000
2019-04-01,129.00000
2019-05-01,120.00000
2019-06-01,41.00000
2019-07-01,120.00000
2019-08-01,130.00000
2019-09-01,86.00000
2019-10-01,61.00000
2019-11-01,76.00000
2019-12-01,93.00000
2020-01-01,172.00000
2020-02-01,143.00000
2020-03-01,169.00000
2020-04-01,116.00000
2020-05-01,95.00000
2020-06-01,138.00000
2020-07-01,145.00000
2020-08-01,207.00000
2020-09-01,112.00000
2020-10-01,27.00000
2020-11-01,127.00000
2020-12-01,51.00000
2021-01-01,145.00000
2021-02-01,184.00000
2021-03-01,274.00000
2021-04-01,180.00000
2021-05-01,146.00000
2021-06-01,149.00000
2021-07-01,146.00000
2021-08-01,190.00000
2021-09-01,229.00000
2021-10-01,126.00000
2021-11-01,301.00000
2021-12-01,-28.00000
2022-01-01,368.00000
2022-02-01,351.00000
2022-03-01,529.00000
2022-04-01,590.00000
2022-05-01,566.00000
2022-06-01,525.00000
2022-07-01,493.00000
2022-08-01,538.00000
2022-09-01,446.00000
2022-10-01,421.00000
2022-11-01,522.00000
2022-12-01,549.00000
2023-01-01,907.00000
2023-02-01,726.00000
2023-03-01,1041.00000
2023-04-01,861.00000
2023-05-01,1180.00000
2023-06-01,2088.00000
2023-07-01,1282.00000
2023-08-01,547.00000
2023-09-01,920.00000
2023-10-01,668.00000
2023-11-01,2231.00000
2023-12-01,2037.00000
2024-01-01,1677.00000
2024-02-01,1512.00000
2024-03-01,1499.00000
2024-04-01,1398.00000
2024-05-01,1203.00000
2024-06-01,1407.00000
2024-07-01,1504.00000
2024-08-01,1430.00000
2024-09-01,1412.00000
2024-10-01,1165.00000
2024-11-01,1561.00000
2024-12-01,1412.00000
2025-01-01,2314.00000
2025-02-01,1543.00000
2025-03-01,1786.00000
2025-04-01,1760.00000
2025-05-01,2781.00000
2025-06-01,2474.00000
2025-07-01,2209.00000
2025-08-01,2301.00000
2025-09-01,1839.00000
2025-10-01,1759.00000
2025-11-01,2062.00000
2025-12-01,3391.00000
2026-01-01,2361.00000
2026-02-01,2496.00000
2026-03-01,2834.00000
2026-04-01,3094.00000
2026-05-01,2315.00000
2026-06-01,2767.00000
2026-07-01,2651.00000
