date,value
2019-01-01,0.44700
2019-02-01,0.47300
2019-03-01,0.71700
2019-04-01,0.58700
2019-05-01,0.61300
2019-06-01,0.66000
2019-07-01,0.63400
2019-08-01,0.67300
2019-09-01,0.61300
2019-10-01,0.71800
2019-11-01,0.78000
2019-12-01,0.93900
2020-01-01,0.83700
2020-02-01,0.88700
2020-03-01,1.03900
2020-04-01,1.00100
2020-05-01,1.10300
2020-06-01,1.26500
2020-07-01,1.40400
2020-08-01,1.39300
2020-09-01,1.15300
2020-10-01,1.22700
2020-11-01,1.05500
2020-12-01,1.24200
2021-01-01,1.07300
2021-02-01,0.81500
2021-03-01,1.12700
2021-04-01,0.86600
2021-05-01,0.96600
2021-06-01,1.05500
2021-07-01,0.95400
2021-08-01,1.20400
2021-09-01,1.23500
2021-10-01,1.29500
2021-11-01,1.92000
2021-12-01,2.35600
2022-01-01,2.38200
2022-02-01,3.78300
2022-03-01,4.26900
2022-04-01,3.27900
2022-05-01,4.82500
2022-06-01,5.24900
2022-07-01,3.91100
2022-08-01,4.82700
2022-09-01,4.22800
2022-10-01,4.51100
2022-11-01,5.84300
2022-12-01,7.41000
2023-01-01,5.02600
2023-02-01,3.38400
2023-03-01,7.18800
2023-04-01,5.12900
2023-05-01,4.81400
2023-06-01,4.85100
2023-07-01,4.04100
2023-08-01,4.69000
2023-09-01,8.29600
2023-10-01,8.76400
2023-11-01,5.05200
2023-12-01,7.82800
2024-01-01,4.66700
2024-02-01,4.40700
2024-03-01,7.70200
2024-04-01,8.94200
2024-05-01,6.47000
2024-06-01,7.25100
2024-07-01,5.64600
2024-08-01,5.11400
2024-09-01,8.94300
2024-10-01,6.64500
2024-11-01,5.61800
2024-12-01,12.21100
2025-01-01,7.13500
2025-02-01,5.46800
2025-03-01,10.96600
2025-04-01,8.34700
2025-05-01,8.50200
2025-06-01,9.28700
2025-07-01,8.39100
2025-08-01,9.01400
2025-09-01,10.92000
2025-10-01,12.11600
2025-11-01,13.35900
2025-12-01,19.88900
2026-01-01,13.52100
2026-02-01,13.44600
2026-03-01,24.40700
2026-04-01,16.14200
2026-05-01,14.46000
2026-06-01,17.39700
2026-07-01,14.95700
