date,value
2024-06-28,1467956.69400
2024-07-05,1466727.27700
2024-07-12,1485062.79300
2024-07-19,1461547.99800
2024-07-26,1496377.16600
2024-08-02,1536320.19800
2024-08-09,1529636.86400
2024-08-16,1503632.03700
2024-08-23,1538306.61700
2024-08-30,1582096.09400
2024-09-06,1587348.80500
2024-09-13,1623711.29300
2024-09-20,1581787.49300
2024-09-27,1624091.95100
2024-10-04,1629207.40400
2024-10-11,1635514.60200
2024-10-18,1601802.53400
2024-10-25,1632248.13300
2024-11-01,1676928.62600
2024-11-08,1667122.94700
2024-11-15,1676228.87900
2024-11-22,1687822.22400
2024-11-29,1744251.09700
2024-12-06,1738750.91900
2024-12-13,1762013.45300
2024-12-20,1728442.41300
2024-12-27,1794717.88900
2025-01-03,1840422.53100
2025-01-10,1833460.28500
2025-01-17,1796388.31800
2025-01-24,1832768.34300
2025-01-31,1908412.77000
2025-02-07,1879321.65000
2025-02-14,1913992.70700
2025-02-21,1874960.93100
2025-02-28,1925840.46100
2025-03-07,1894690.36500
2025-03-14,1907231.56200
2025-03-21,1879694.09500
2025-03-28,1947988.54000
2025-04-04,1972118.46200
2025-04-11,2005003.16800
2025-04-18,1977438.88100
2025-04-25,2015858.53200
2025-05-02,2080106.81100
2025-05-09,2067970.82000
2025-05-16,2059837.89000
2025-05-23,2104719.53700
2025-05-30,2180223.40400
2025-06-06,2184884.58500
2025-06-13,2195864.35200
2025-06-20,2156552.14500
2025-06-27,2218523.53300
2025-07-04,2241256.23600
2025-07-11,2260992.46300
2025-07-18,2240317.17500
2025-07-25,2287506.10200
2025-08-01,2384607.33300
2025-08-08,2359725.49200
2025-08-15,2356663.44300
2025-08-22,2374216.03000
2025-08-29,2440725.25400
2025-09-05,2456818.58400
2025-09-12,2506393.42800
2025-09-19,2461293.53600
2025-09-26,2495939.53600
2025-10-03,2527228.13300
2025-10-10,2511826.70700
2025-10-17,2478383.58300
2025-10-24,2511646.81100
2025-10-31,2591021.01900
2025-11-07,2547491.99700
2025-11-14,2617186.09600
2025-11-21,2574588.72200
2025-11-28,2641371.96000
2025-12-05,2648072.92100
2025-12-12,2673115.74800
2025-12-19,2643964.21300
2025-12-26,2698047.23600
2026-01-02,2792114.42600
2026-01-09,2758555.37900
2026-01-16,2711756.15900
2026-01-23,2747287.98300
2026-01-30,2857378.16500
2026-02-06,2862843.17000
2026-02-13,2921916.05400
2026-02-20,2880791.21500
2026-02-27,2907750.72100
2026-03-06,2900189.81500
2026-03-13,2903168.19400
2026-03-20,2862640.93800
2026-03-27,2928114.66200
2026-04-03,3011465.99800
2026-04-10,3033330.23100
2026-04-17,2985776.69300
2026-04-24,3034006.19800
2026-05-01,3115293.56300
2026-05-08,3067776.40300
2026-05-15,3076578.02900
2026-05-22,3114613.49500
2026-05-29,3175214.46700
2026-06-05,3157298.33100
2026-06-12,3207105.22900
2026-06-19,3162696.93200
2026-06-26,3216657.89200
2026-07-03,3290428.58200
2026-07-10,3276612.01800
2026-07-17,3227671.77600
2026-07-24,3278853.71500
2026-07-31,3422137.91300
2026-08-07,3363610.62700
2026-08-14,3430151.15500
2026-08-21,3352993.81500
2026-08-28,3450550.51100
2026-09-04,3468895.76400
2026-09-11,3497184.60700
