date,value
2012-01-01,82.32061
2012-02-01,83.89667
2012-03-01,82.59077
2012-04-01,79.78069
2012-05-01,83.24362
2012-06-01,82.90206
2012-07-01,84.64000
2012-08-01,83.98259
2012-09-01,81.26995
2012-10-01,77.27435
2012-11-01,82.73247
2012-12-01,81.02729
2013-01-01,81.86402
2013-02-01,81.14200
2013-03-01,82.03000
2013-04-01,82.76415
2013-05-01,83.59700
2013-06-01,84.07200
2013-07-01,85.53000
2013-08-01,85.44900
2013-09-01,83.55200
2013-10-01,83.13200
2013-11-01,84.66600
2013-12-01,83.95800
2014-01-01,83.06886
2014-02-01,82.06485
2014-03-01,85.85762
2014-04-01,87.04381
2014-05-01,84.93115
2014-06-01,86.07757
2014-07-01,86.60973
2014-08-01,86.38789
2014-09-01,84.49076
2014-10-01,85.68608
2014-11-01,85.17570
2014-12-01,83.00829
2015-01-01,81.80025
2015-02-01,82.27350
2015-03-01,79.51006
2015-04-01,80.88251
2015-05-01,79.91237
2015-06-01,81.89243
2015-07-01,83.61104
2015-08-01,80.98217
2015-09-01,79.38971
2015-10-01,81.37304
2015-11-01,83.33393
2015-12-01,84.00403
2016-01-01,84.41535
2016-02-01,83.17811
2016-03-01,83.84629
2016-04-01,85.27103
2016-05-01,85.55866
2016-06-01,87.52003
2016-07-01,83.76971
2016-08-01,88.07312
2016-09-01,86.20747
2016-10-01,86.60688
2016-11-01,84.58029
2016-12-01,81.72803
2017-01-01,81.90020
2017-02-01,80.20679
2017-03-01,81.43694
2017-04-01,83.67062
2017-05-01,85.64057
2017-06-01,85.20785
2017-07-01,86.94195
2017-08-01,86.24911
2017-09-01,85.71569
2017-10-01,83.10001
2017-11-01,81.08336
2017-12-01,81.79162
2018-01-01,83.24926
2018-02-01,83.79306
2018-03-01,84.50796
2018-04-01,82.26456
2018-05-01,84.65572
2018-06-01,84.09058
2018-07-01,84.75689
2018-08-01,81.26922
2018-09-01,76.88199
2018-10-01,71.79425
2018-11-01,72.56435
2018-12-01,71.27158
2019-01-01,69.80410
2019-02-01,68.71469
2019-03-01,69.27291
2019-04-01,72.62697
2019-05-01,69.62794
2019-06-01,70.80933
2019-07-01,68.53593
2019-08-01,71.44582
2019-09-01,69.92670
2019-10-01,68.52026
2019-11-01,71.60904
2019-12-01,72.92710
2020-01-01,71.78321
2020-02-01,70.84769
2020-03-01,74.92864
2020-04-01,74.22082
2020-05-01,77.44129
2020-06-01,73.33416
2020-07-01,74.89703
2020-08-01,69.21390
2020-09-01,71.45432
2020-10-01,67.83600
2020-11-01,65.98663
2020-12-01,64.90300
2021-01-01,62.11510
2021-02-01,64.69312
2021-03-01,67.16521
2021-04-01,64.29318
2021-05-01,62.57178
2021-06-01,62.00782
2021-07-01,60.37125
2021-08-01,62.35546
2021-09-01,62.41255
2021-10-01,59.42630
2021-11-01,54.92797
2021-12-01,52.51569
2022-01-01,54.20832
2022-02-01,53.64679
2022-03-01,54.52889
2022-04-01,49.09000
2022-05-01,49.21000
2022-06-01,44.76000
2022-07-01,48.31000
2022-08-01,56.12000
2022-09-01,55.10000
2022-10-01,57.82000
2022-11-01,58.08000
2022-12-01,56.35000
2023-01-01,61.64000
2023-02-01,65.50000
2023-03-01,66.02000
2023-04-01,69.09000
2023-05-01,70.62000
2023-06-01,69.07000
2023-07-01,64.53000
2023-08-01,56.21000
2023-09-01,56.24000
2023-10-01,59.69000
2023-11-01,61.30000
2023-12-01,63.35000
2024-01-01,67.16442
2024-02-01,67.06509
2024-03-01,66.57873
2024-04-01,65.01744
2024-05-01,65.28531
2024-06-01,63.82040
2024-07-01,60.36314
2024-08-01,63.09604
2024-09-01,64.84597
2024-10-01,64.71930
2024-11-01,66.10166
2024-12-01,63.77225
2025-01-01,64.83057
2025-02-01,65.56060
2025-03-01,70.90671
2025-04-01,69.12386
2025-05-01,69.09799
2025-06-01,69.34157
2025-07-01,68.24992
2025-08-01,70.03074
2025-09-01,67.78690
2025-10-01,67.74662
2025-11-01,69.57358
2025-12-01,67.93009
2026-01-01,68.20576
2026-02-01,71.34573
2026-03-01,72.79127
2026-04-01,71.79059
2026-05-01,69.24248
2026-06-01,72.33550
2026-07-01,74.51179
2026-08-01,75.41711
2026-09-01,75.33459
