date,value
2012-01-01,11.05737
2012-02-01,10.17300
2012-03-01,12.04854
2012-04-01,11.20037
2012-05-01,10.45775
2012-06-01,10.57061
2012-07-01,11.53516
2012-08-01,9.21816
2012-09-01,8.19974
2012-10-01,10.26806
2012-11-01,10.26198
2012-12-01,9.97169
2013-01-01,10.66789
2013-02-01,10.49400
2013-03-01,11.32500
2013-04-01,10.55893
2013-05-01,10.18300
2013-06-01,11.62400
2013-07-01,12.55000
2013-08-01,10.68800
2013-09-01,10.01400
2013-10-01,10.51000
2013-11-01,10.75200
2013-12-01,10.08400
2014-01-01,10.38344
2014-02-01,8.61012
2014-03-01,12.02029
2014-04-01,11.00120
2014-05-01,12.63510
2014-06-01,12.07827
2014-07-01,9.27586
2014-08-01,9.93646
2014-09-01,10.97644
2014-10-01,10.87561
2014-11-01,8.11636
2014-12-01,8.40879
2015-01-01,8.25274
2015-02-01,9.13609
2015-03-01,9.44204
2015-04-01,9.36234
2015-05-01,8.72244
2015-06-01,8.49045
2015-07-01,8.63546
2015-08-01,8.52248
2015-09-01,6.99422
2015-10-01,6.48115
2015-11-01,8.77876
2015-12-01,7.51286
2016-01-01,8.51271
2016-02-01,8.57045
2016-03-01,8.79200
2016-04-01,9.43699
2016-05-01,8.91823
2016-06-01,10.46480
2016-07-01,7.94527
2016-08-01,9.97119
2016-09-01,9.68422
2016-10-01,9.25135
2016-11-01,7.81460
2016-12-01,6.39420
2017-01-01,6.91754
2017-02-01,9.11636
2017-03-01,8.74980
2017-04-01,11.17229
2017-05-01,11.11963
2017-06-01,7.29095
2017-07-01,10.45391
2017-08-01,8.34208
2017-09-01,6.63217
2017-10-01,7.48646
2017-11-01,5.83036
2017-12-01,6.94057
2018-01-01,8.94044
2018-02-01,8.17663
2018-03-01,8.56054
2018-04-01,8.09161
2018-05-01,7.71490
2018-06-01,8.87644
2018-07-01,7.77508
2018-08-01,8.57124
2018-09-01,6.03960
2018-10-01,4.83184
2018-11-01,5.97056
2018-12-01,5.51034
2019-01-01,6.85342
2019-02-01,6.13003
2019-03-01,6.12311
2019-04-01,8.84909
2019-05-01,7.07605
2019-06-01,5.94814
2019-07-01,6.59077
2019-08-01,6.97572
2019-09-01,6.66086
2019-10-01,6.77538
2019-11-01,6.91219
2019-12-01,6.76037
2020-01-01,7.43117
2020-02-01,7.41899
2020-03-01,8.67124
2020-04-01,6.56825
2020-05-01,6.45901
2020-06-01,9.52515
2020-07-01,7.89439
2020-08-01,6.28251
2020-09-01,8.51254
2020-10-01,8.39539
2020-11-01,8.80588
2020-12-01,8.83645
2021-01-01,10.66584
2021-02-01,10.34659
2021-03-01,10.44703
2021-04-01,10.95357
2021-05-01,8.37485
2021-06-01,8.63868
2021-07-01,9.71899
2021-08-01,8.18330
2021-09-01,9.38964
2021-10-01,8.02106
2021-11-01,8.19181
2021-12-01,8.04491
2022-01-01,6.45273
2022-02-01,6.88142
2022-03-01,8.02674
2022-04-01,8.21000
2022-05-01,7.67000
2022-06-01,6.60000
2022-07-01,6.66000
2022-08-01,6.42000
2022-09-01,7.75000
2022-10-01,9.93000
2022-11-01,10.34000
2022-12-01,8.33000
2023-01-01,9.46000
2023-02-01,9.81000
2023-03-01,8.95000
2023-04-01,10.67000
2023-05-01,11.40000
2023-06-01,10.48000
2023-07-01,9.51000
2023-08-01,7.09000
2023-09-01,8.33000
2023-10-01,7.74000
2023-11-01,8.39000
2023-12-01,9.42000
2024-01-01,9.29425
2024-02-01,9.71170
2024-03-01,10.69978
2024-04-01,11.30967
2024-05-01,10.01460
2024-06-01,10.78454
2024-07-01,10.42968
2024-08-01,11.01700
2024-09-01,10.52246
2024-10-01,12.16339
2024-11-01,10.77541
2024-12-01,12.06796
2025-01-01,13.36508
2025-02-01,12.81124
2025-03-01,13.63481
2025-04-01,14.03289
2025-05-01,15.13097
2025-06-01,14.64210
2025-07-01,14.51815
2025-08-01,13.42918
2025-09-01,14.35732
2025-10-01,14.13188
2025-11-01,14.89509
2025-12-01,15.17650
2026-01-01,14.88706
2026-02-01,15.33629
2026-03-01,15.75382
2026-04-01,17.39099
2026-05-01,16.50103
2026-06-01,16.04580
2026-07-01,15.33627
2026-08-01,14.88532
