date,value
2013-01-01,0.85000
2013-02-01,0.53000
2013-03-01,0.48000
2013-04-01,0.65000
2013-05-01,0.46000
2013-06-01,-0.02000
2013-07-01,0.13000
2013-08-01,0.32000
2013-09-01,0.69000
2013-10-01,1.12000
2013-11-01,0.59000
2013-12-01,0.42000
2014-01-01,1.06000
2014-02-01,0.69000
2014-03-01,0.65000
2014-04-01,0.76000
2014-05-01,0.63000
2014-06-01,0.22000
2014-07-01,0.06000
2014-08-01,0.15000
2014-09-01,0.53000
2014-10-01,1.38000
2014-11-01,0.46000
2014-12-01,0.31000
2015-01-01,0.72000
2015-02-01,0.49000
2015-03-01,0.69000
2015-04-01,0.85000
2015-05-01,0.52000
2015-06-01,0.17000
2015-07-01,0.12000
2015-08-01,0.15000
2015-09-01,0.59000
2015-10-01,1.26000
2015-11-01,0.43000
2015-12-01,0.07000
2016-01-01,1.21000
2016-02-01,0.68000
2016-03-01,0.77000
2016-04-01,0.92000
2016-05-01,0.65000
2016-06-01,0.11000
2016-07-01,0.26000
2016-08-01,0.33000
2016-09-01,0.72000
2016-10-01,1.32000
2016-11-01,0.83000
2016-12-01,0.79000
2017-01-01,1.44000
2017-02-01,0.62000
2017-03-01,0.68000
2017-04-01,0.95000
2017-05-01,0.59000
2017-06-01,0.14000
2017-07-01,0.18000
2017-08-01,0.21000
2017-09-01,0.57000
2017-10-01,1.31000
2017-11-01,0.75000
2017-12-01,0.55000
2018-01-01,1.32000
2018-02-01,0.64000
2018-03-01,0.82000
2018-04-01,1.23000
2018-05-01,0.99000
2018-06-01,0.82000
2018-07-01,0.83000
2018-08-01,1.15000
2018-09-01,2.13000
2018-10-01,1.99000
2018-11-01,0.88000
2018-12-01,0.45000
2019-01-01,1.16000
2019-02-01,0.76000
2019-03-01,0.94000
2019-04-01,1.61000
2019-05-01,1.48000
2019-06-01,0.91000
2019-07-01,1.25000
2019-08-01,1.26000
2019-09-01,1.49000
2019-10-01,1.90000
2019-11-01,0.82000
2019-12-01,0.59000
2020-01-01,1.10000
2020-02-01,0.69000
2020-03-01,0.82000
2020-04-01,0.93000
2020-05-01,0.76000
2020-06-01,0.50000
2020-07-01,0.61000
2020-08-01,0.68000
2020-09-01,1.07000
2020-10-01,1.62000
2020-11-01,0.99000
2020-12-01,0.90000
2021-01-01,1.35000
2021-02-01,0.78000
2021-03-01,0.94000
2021-04-01,1.51000
2021-05-01,1.27000
2021-06-01,1.21000
2021-07-01,1.17000
2021-08-01,0.99000
2021-09-01,1.11000
2021-10-01,1.94000
2021-11-01,1.77000
2021-12-01,3.37000
2022-01-01,6.45000
2022-02-01,4.22000
2022-03-01,4.13000
2022-04-01,4.23000
2022-05-01,3.97000
2022-06-01,3.77000
2022-07-01,3.40000
2022-08-01,2.57000
2022-09-01,2.98000
2022-10-01,3.39000
2022-11-01,3.14000
2022-12-01,2.69000
2023-01-01,2.65000
2023-02-01,3.01000
2023-03-01,2.88000
2023-04-01,2.65000
2023-05-01,2.41000
2023-06-01,2.81000
2023-07-01,3.76000
2023-08-01,5.54000
2023-09-01,5.14000
2023-10-01,4.30000
2023-11-01,4.07000
2023-12-01,3.26000
2024-01-01,5.41000
2024-02-01,3.80000
2024-03-01,3.43000
2024-04-01,3.25000
2024-05-01,3.04000
2024-06-01,2.52000
2024-07-01,2.77000
2024-08-01,2.55000
2024-09-01,2.22000
2024-10-01,2.39000
2024-11-01,2.01000
2024-12-01,1.72000
2025-01-01,4.07000
2025-02-01,3.23000
2025-03-01,2.27000
2025-04-01,3.07000
2025-05-01,2.36000
2025-06-01,1.61000
2025-07-01,2.11000
2025-08-01,1.69000
2025-09-01,2.04000
2025-10-01,2.34000
2025-11-01,1.59000
2025-12-01,1.08000
2026-01-01,3.76000
2026-02-01,2.54000
2026-03-01,2.18000
2026-04-01,2.93000
2026-05-01,1.89000
2026-06-01,1.36000
2026-07-01,1.68000
2026-08-01,1.67000
2026-09-01,2.12000
