date,value
2012-01-01,92.22818
2012-02-01,88.44099
2012-03-01,88.73108
2012-04-01,92.98193
2012-05-01,89.87690
2012-06-01,87.82826
2012-07-01,86.73278
2012-08-01,86.97522
2012-09-01,88.32003
2012-10-01,90.08683
2012-11-01,91.23579
2012-12-01,91.19918
2013-01-01,90.02856
2013-02-01,89.26700
2013-03-01,89.46300
2013-04-01,89.56993
2013-05-01,91.35400
2013-06-01,91.06400
2013-07-01,95.38200
2013-08-01,94.69700
2013-09-01,93.81300
2013-10-01,96.90800
2013-11-01,97.23500
2013-12-01,98.39300
2014-01-01,96.46873
2014-02-01,94.12403
2014-03-01,95.23499
2014-04-01,95.42518
2014-05-01,98.27666
2014-06-01,94.80072
2014-07-01,95.13791
2014-08-01,95.83338
2014-09-01,96.99700
2014-10-01,96.75388
2014-11-01,94.32506
2014-12-01,97.14627
2015-01-01,95.01178
2015-02-01,93.66312
2015-03-01,91.20309
2015-04-01,92.03527
2015-05-01,91.63763
2015-06-01,92.81538
2015-07-01,92.19904
2015-08-01,89.97704
2015-09-01,95.29549
2015-10-01,97.14944
2015-11-01,107.34540
2015-12-01,105.95731
2016-01-01,103.14525
2016-02-01,98.10849
2016-03-01,94.12315
2016-04-01,94.99263
2016-05-01,94.06037
2016-06-01,94.76345
2016-07-01,92.92208
2016-08-01,97.12755
2016-09-01,96.68679
2016-10-01,98.55418
2016-11-01,94.94167
2016-12-01,95.16730
2017-01-01,95.85348
2017-02-01,90.94626
2017-03-01,94.45388
2017-04-01,97.00815
2017-05-01,98.23871
2017-06-01,96.38996
2017-07-01,96.43954
2017-08-01,98.39869
2017-09-01,97.65632
2017-10-01,97.27537
2017-11-01,97.02293
2017-12-01,96.92964
2018-01-01,100.63597
2018-02-01,99.57917
2018-03-01,98.64816
2018-04-01,95.92611
2018-05-01,98.01244
2018-06-01,100.40445
2018-07-01,98.44398
2018-08-01,100.44710
2018-09-01,96.39949
2018-10-01,96.06884
2018-11-01,99.72369
2018-12-01,101.57236
2019-01-01,101.21222
2019-02-01,98.79771
2019-03-01,99.61597
2019-04-01,100.22732
2019-05-01,97.79693
2019-06-01,100.22682
2019-07-01,95.40292
2019-08-01,98.16053
2019-09-01,96.93230
2019-10-01,93.47260
2019-11-01,94.40865
2019-12-01,94.64445
2020-01-01,96.30805
2020-02-01,97.17501
2020-03-01,96.65469
2020-04-01,94.77147
2020-05-01,94.31598
2020-06-01,94.37315
2020-07-01,97.02156
2020-08-01,98.86322
2020-09-01,97.51182
2020-10-01,98.17276
2020-11-01,96.75956
2020-12-01,98.93451
2021-01-01,99.21347
2021-02-01,100.37518
2021-03-01,102.87235
2021-04-01,99.73437
2021-05-01,98.88946
2021-06-01,103.04952
2021-07-01,102.82524
2021-08-01,104.25633
2021-09-01,104.43681
2021-10-01,103.98675
2021-11-01,110.31674
2021-12-01,114.82817
2022-01-01,106.89118
2022-02-01,104.76802
2022-03-01,109.49382
2022-04-01,113.12000
2022-05-01,113.06000
2022-06-01,116.35000
2022-07-01,119.94000
2022-08-01,121.80000
2022-09-01,120.89000
2022-10-01,130.01000
2022-11-01,131.90000
2022-12-01,129.49000
2023-01-01,118.06000
2023-02-01,120.13000
2023-03-01,119.76000
2023-04-01,124.33000
2023-05-01,127.47000
2023-06-01,129.28000
2023-07-01,123.22000
2023-08-01,117.81000
2023-09-01,119.81000
2023-10-01,121.43000
2023-11-01,123.35000
2023-12-01,122.40000
2024-01-01,115.27503
2024-02-01,115.00349
2024-03-01,115.15756
2024-04-01,117.52043
2024-05-01,115.71829
2024-06-01,110.50785
2024-07-01,106.24566
2024-08-01,109.27650
2024-09-01,109.65608
2024-10-01,110.65669
2024-11-01,110.80406
2024-12-01,111.15942
2025-01-01,98.89253
2025-02-01,100.98681
2025-03-01,105.84516
2025-04-01,108.16263
2025-05-01,108.03032
2025-06-01,106.01741
2025-07-01,104.72920
2025-08-01,105.25392
2025-09-01,104.83616
2025-10-01,105.92032
2025-11-01,106.50834
2025-12-01,105.99645
2026-01-01,100.07410
2026-02-01,103.05503
2026-03-01,107.48392
2026-04-01,106.83410
2026-05-01,105.65621
2026-06-01,107.08590
2026-07-01,107.35437
2026-08-01,110.24656
2026-09-01,110.54826
