date,value
2013-01-01,117.01031
2013-02-01,117.52355
2013-03-01,115.30102
2013-04-01,114.26811
2013-05-01,114.08139
2013-06-01,114.83854
2013-07-01,113.15195
2013-08-01,113.83704
2013-09-01,113.17300
2013-10-01,113.25491
2013-11-01,113.06052
2013-12-01,114.82859
2014-01-01,115.35890
2014-02-01,114.86459
2014-03-01,114.13540
2014-04-01,114.24004
2014-05-01,114.33583
2014-06-01,115.37460
2014-07-01,116.61300
2014-08-01,113.78597
2014-09-01,111.04748
2014-10-01,110.58119
2014-11-01,109.62601
2014-12-01,108.82370
2015-01-01,105.96187
2015-02-01,104.48959
2015-03-01,100.69759
2015-04-01,100.31142
2015-05-01,102.49937
2015-06-01,102.10466
2015-07-01,101.20377
2015-08-01,98.99498
2015-09-01,97.84925
2015-10-01,96.63961
2015-11-01,94.11503
2015-12-01,95.13286
2016-01-01,94.02088
2016-02-01,94.62409
2016-03-01,94.52030
2016-04-01,95.60288
2016-05-01,96.04294
2016-06-01,96.83212
2016-07-01,96.92485
2016-08-01,95.95861
2016-09-01,95.86909
2016-10-01,94.76102
2016-11-01,93.77633
2016-12-01,94.03267
2017-01-01,94.24191
2017-02-01,93.96622
2017-03-01,93.45192
2017-04-01,93.97865
2017-05-01,95.39757
2017-06-01,97.33371
2017-07-01,97.68796
2017-08-01,98.74721
2017-09-01,99.80235
2017-10-01,98.58748
2017-11-01,99.13684
2017-12-01,100.77753
2018-01-01,102.42983
2018-02-01,103.67638
2018-03-01,102.60480
2018-04-01,102.88112
2018-05-01,100.54435
2018-06-01,101.10296
2018-07-01,99.52609
2018-08-01,97.67772
2018-09-01,97.11573
2018-10-01,96.05097
2018-11-01,95.86643
2018-12-01,95.81944
2019-01-01,96.63833
2019-02-01,96.01888
2019-03-01,95.80249
2019-04-01,95.27879
2019-05-01,95.41278
2019-06-01,96.76055
2019-07-01,95.66126
2019-08-01,94.52203
2019-09-01,94.08781
2019-10-01,94.02566
2019-11-01,94.40509
2019-12-01,95.21121
2020-01-01,95.77742
2020-02-01,93.90268
2020-03-01,92.88352
2020-04-01,92.29037
2020-05-01,90.52318
2020-06-01,92.95025
2020-07-01,93.95233
2020-08-01,95.11757
2020-09-01,94.10568
2020-10-01,93.95426
2020-11-01,94.52212
2020-12-01,97.79203
2021-01-01,99.42894
2021-02-01,100.35735
2021-03-01,99.94896
2021-04-01,100.76341
2021-05-01,102.40403
2021-06-01,103.35258
2021-07-01,107.69506
2021-08-01,104.54299
2021-09-01,105.24059
2021-10-01,105.18350
2021-11-01,103.71463
2021-12-01,104.20846
2022-01-01,109.64947
2022-02-01,111.03997
2022-03-01,111.82302
2022-04-01,115.46921
2022-05-01,115.33859
2022-06-01,116.81798
2022-07-01,115.96956
2022-08-01,112.47898
2022-09-01,110.03720
2022-10-01,109.43497
2022-11-01,110.94291
2022-12-01,112.75675
2023-01-01,115.66387
2023-02-01,116.43086
2023-03-01,114.82525
2023-04-01,115.25203
2023-05-01,114.09988
2023-06-01,115.04796
2023-07-01,113.89250
2023-08-01,111.92890
2023-09-01,110.82715
2023-10-01,109.81381
2023-11-01,111.39715
2023-12-01,109.88607
2024-01-01,113.46602
2024-02-01,112.12813
2024-03-01,114.04103
2024-04-01,113.97653
2024-05-01,114.79033
2024-06-01,115.86474
2024-07-01,115.91713
2024-08-01,116.87064
2024-09-01,114.69296
2024-10-01,114.90019
2024-11-01,113.47300
2024-12-01,111.89507
2025-01-01,114.50685
2025-02-01,115.18576
2025-03-01,116.25934
2025-04-01,118.07418
2025-05-01,119.20422
2025-06-01,120.11995
2025-07-01,125.71652
2025-08-01,125.36017
2025-09-01,126.06080
2025-10-01,126.19908
2025-11-01,126.89724
2025-12-01,126.14715
2026-01-01,129.39730
2026-02-01,129.77778
2026-03-01,130.53622
2026-04-01,134.21834
2026-05-01,136.16330
2026-06-01,135.27040
2026-07-01,135.97089
