date,value
2013-01-01,89.54904
2013-02-01,93.65972
2013-03-01,104.07559
2013-04-01,100.12325
2013-05-01,105.53381
2013-06-01,91.80710
2013-07-01,98.11062
2013-08-01,87.55471
2013-09-01,95.71435
2013-10-01,90.43226
2013-11-01,102.50827
2013-12-01,93.89260
2014-01-01,92.91289
2014-02-01,98.52734
2014-03-01,115.68382
2014-04-01,96.40978
2014-05-01,99.58257
2014-06-01,92.26693
2014-07-01,94.17570
2014-08-01,85.13407
2014-09-01,95.57975
2014-10-01,90.91207
2014-11-01,90.39781
2014-12-01,94.71355
2015-01-01,101.30363
2015-02-01,108.50649
2015-03-01,110.80666
2015-04-01,119.79447
2015-05-01,90.23637
2015-06-01,94.49351
2015-07-01,90.42391
2015-08-01,91.28577
2015-09-01,96.64593
2015-10-01,109.34544
2015-11-01,94.17939
2015-12-01,92.97842
2016-01-01,83.19519
2016-02-01,115.66213
2016-03-01,115.74356
2016-04-01,100.39776
2016-05-01,108.27969
2016-06-01,113.26403
2016-07-01,86.33641
2016-08-01,100.77608
2016-09-01,92.07013
2016-10-01,106.31949
2016-11-01,103.79253
2016-12-01,101.73206
2017-01-01,98.61903
2017-02-01,106.07569
2017-03-01,124.87705
2017-04-01,109.90934
2017-05-01,111.29861
2017-06-01,106.32282
2017-07-01,105.36628
2017-08-01,111.97921
2017-09-01,95.81100
2017-10-01,108.99952
2017-11-01,111.09056
2017-12-01,106.23177
2018-01-01,101.22753
2018-02-01,100.95844
2018-03-01,120.85499
2018-04-01,105.12628
2018-05-01,113.69480
2018-06-01,104.87910
2018-07-01,111.78533
2018-08-01,110.99319
2018-09-01,122.75402
2018-10-01,129.68254
2018-11-01,125.85765
2018-12-01,114.22968
2019-01-01,113.40582
2019-02-01,115.23329
2019-03-01,129.02605
2019-04-01,122.50605
2019-05-01,141.24808
2019-06-01,94.57421
2019-07-01,129.59326
2019-08-01,115.14577
2019-09-01,124.30646
2019-10-01,131.62869
2019-11-01,124.60403
2019-12-01,122.73763
2020-01-01,122.21467
2020-02-01,117.35396
2020-03-01,116.45071
2020-04-01,90.94527
2020-05-01,95.13676
2020-06-01,117.97182
2020-07-01,124.47429
2020-08-01,107.83614
2020-09-01,127.02725
2020-10-01,139.92327
2020-11-01,128.03132
2020-12-01,141.38158
2021-01-01,125.81943
2021-02-01,126.91640
2021-03-01,148.41397
2021-04-01,147.96494
2021-05-01,135.03657
2021-06-01,152.19348
2021-07-01,123.09845
2021-08-01,145.33854
2021-09-01,155.71697
2021-10-01,147.50225
2021-11-01,159.18783
2021-12-01,159.76048
2022-01-01,125.23812
2022-02-01,136.72290
2022-03-01,160.03868
2022-04-01,157.35952
2022-05-01,132.34114
2022-06-01,159.41488
2022-07-01,130.19352
2022-08-01,151.10658
2022-09-01,161.80266
2022-10-01,142.45914
2022-11-01,146.02784
2022-12-01,146.36254
2023-01-01,129.22927
2023-02-01,122.85693
2023-03-01,158.02324
2023-04-01,127.61925
2023-05-01,148.84498
2023-06-01,141.89023
2023-07-01,137.44016
2023-08-01,154.52122
2023-09-01,162.17245
2023-10-01,164.41374
2023-11-01,160.98287
2023-12-01,156.59952
2024-01-01,139.84281
2024-02-01,147.30123
2024-03-01,157.88341
2024-04-01,139.72473
2024-05-01,169.82807
2024-06-01,133.03943
2024-07-01,160.41767
2024-08-01,156.11857
2024-09-01,146.71327
2024-10-01,152.95157
2024-11-01,149.37956
2024-12-01,154.52149
2025-01-01,151.46548
2025-02-01,145.75894
2025-03-01,163.93914
2025-04-01,147.32557
2025-05-01,166.61301
2025-06-01,143.88897
2025-07-01,169.11288
2025-08-01,146.47610
2025-09-01,152.52988
2025-10-01,154.99244
2025-11-01,141.85782
2025-12-01,157.22553
2026-01-01,133.81864
2026-02-01,136.28183
2026-03-01,145.67221
2026-04-01,160.39003
2026-05-01,140.58765
2026-06-01,161.54952
2026-07-01,160.06463
