date,value
2011-09-23,563.23401
2011-09-26,568.01202
2011-09-27,582.61298
2011-09-28,589.88501
2011-09-29,597.58197
2011-09-30,596.93402
2011-10-03,594.59698
2011-10-04,572.09198
2011-10-05,573.11200
2011-10-06,572.28497
2011-10-07,573.38800
2011-10-10,583.27600
2011-10-11,586.64099
2011-10-12,594.20300
2011-10-13,585.43402
2011-10-14,593.00299
2011-10-17,584.42401
2011-10-18,587.50598
2011-10-19,577.98700
2011-10-20,559.04498
2011-10-21,567.92297
2011-10-24,562.59399
2011-10-25,562.78400
2011-10-26,554.69897
2011-10-27,566.16803
2011-10-28,570.42401
2011-10-31,560.61499
2011-11-01,548.51501
2011-11-02,557.21399
2011-11-03,565.22803
2011-11-04,561.80200
2011-11-10,555.40698
2011-11-11,562.01501
2011-11-14,558.75702
2011-11-15,559.22498
2011-11-16,559.27502
2011-11-17,550.89801
2011-11-18,544.73901
2011-11-21,527.52197
2011-11-22,519.86401
2011-11-23,510.91501
2011-11-24,496.21701
2011-11-25,510.71201
2011-11-28,522.83600
2011-11-29,520.92798
2011-11-30,545.17798
2011-12-01,538.06598
2011-12-02,547.69299
2011-12-05,551.95801
2011-12-06,546.79102
2011-12-07,551.38898
2011-12-08,534.99298
2011-12-09,538.34900
2011-12-12,524.44098
2011-12-13,525.51501
2011-12-14,513.39001
2011-12-15,518.86499
2011-12-16,516.65802
2011-12-19,507.42099
2011-12-20,521.26898
2011-12-21,517.47400
2011-12-22,515.91602
2011-12-23,519.48602
2011-12-26,525.17297
2011-12-27,525.61200
2011-12-28,515.53198
2011-12-29,520.53601
2011-12-30,512.66602
2012-01-02,513.40997
2012-01-03,528.59100
2012-01-04,515.32599
2012-01-05,512.04602
2012-01-06,501.82501
2012-01-09,498.37000
2012-01-10,507.81799
2012-01-11,514.10400
2012-01-12,521.54303
2012-01-13,515.61700
2012-01-16,527.97198
2012-01-17,535.29303
2012-01-18,543.84802
2012-01-19,546.07898
2012-01-20,548.88599
2012-01-23,551.86200
2012-01-24,547.90802
2012-01-25,549.18701
2012-01-26,569.58801
2012-01-27,573.56702
2012-01-30,578.11798
2012-01-31,571.71301
2012-02-01,592.15698
2012-02-02,600.51898
2012-02-03,601.47998
2012-02-06,606.74902
2012-02-07,605.45898
2012-02-08,611.78302
2012-02-09,601.62500
2012-02-10,593.32098
2012-02-13,605.57501
2012-02-14,596.62097
2012-02-15,598.47601
2012-02-16,600.30103
2012-02-17,611.11298
2012-02-20,614.49103
2012-02-21,612.52802
2012-02-22,608.56403
2012-02-23,596.66602
2012-02-24,597.37500
2012-02-27,588.21802
2012-02-28,599.78497
2012-02-29,607.21198
2012-03-01,607.25897
2012-03-02,609.02399
2012-03-05,596.85498
2012-03-06,591.43402
2012-03-07,594.79700
2012-03-08,596.73798
2012-03-09,592.80402
2012-03-12,590.09497
2012-03-13,593.89001
2012-03-14,608.35699
2012-03-15,612.79303
2012-03-16,623.36298
2012-03-19,625.37299
2012-03-20,621.64099
2012-03-21,620.65002
2012-03-22,617.86700
2012-03-23,614.17401
2012-03-26,625.61499
2012-03-27,624.90997
2012-03-28,618.15100
2012-03-29,615.44897
