date,value
2011-09-01,207109.00000
2011-10-01,209453.00000
2011-11-01,208440.00000
2011-12-01,203570.00000
2012-01-01,205243.00000
2012-02-01,206791.00000
2012-03-01,210076.00000
2012-04-01,211617.00000
2012-05-01,212601.00000
2012-06-01,211973.00000
2012-07-01,210914.00000
2012-08-01,213881.00000
2012-09-01,216957.00000
2012-10-01,217494.00000
2012-11-01,221069.00000
2012-12-01,226815.00000
2013-01-01,230673.00000
2013-02-01,229145.00000
2013-03-01,228381.00000
2013-04-01,234919.00000
2013-05-01,242218.00000
2013-06-01,244034.00000
2013-07-01,248799.00000
2013-08-01,249064.00000
2013-09-01,251621.00000
2013-10-01,255665.00000
2013-11-01,257891.00000
2013-12-01,259807.00000
2014-01-01,273233.00000
2014-02-01,273760.00000
2014-03-01,272512.00000
2014-04-01,277357.00000
2014-05-01,278675.00000
2014-06-01,278726.00000
2014-07-01,282150.00000
2014-08-01,280579.00000
2014-09-01,280035.00000
2014-10-01,279572.00000
2014-11-01,282456.00000
2014-12-01,282449.00000
2015-01-01,277423.00000
2015-02-01,280608.00000
2015-03-01,277170.00000
2015-04-01,283184.00000
2015-05-01,283710.00000
2015-06-01,287589.00000
2015-07-01,287579.00000
2015-08-01,290952.00000
2015-09-01,288034.00000
2015-10-01,288406.00000
2015-11-01,284363.00000
2015-12-01,288765.00000
2016-01-01,288393.00000
2016-02-01,291440.00000
2016-03-01,297634.00000
2016-04-01,300088.00000
2016-05-01,301878.00000
2016-06-01,305363.00000
2016-07-01,306562.00000
2016-08-01,307262.00000
2016-09-01,306338.00000
2016-10-01,307183.00000
2016-11-01,305188.00000
2016-12-01,302423.00000
2017-01-01,303740.00000
2017-02-01,301318.00000
2017-03-01,302699.00000
2017-04-01,304254.00000
2017-05-01,307471.00000
2017-06-01,310573.00000
2017-07-01,315043.00000
2017-08-01,318599.00000
2017-09-01,318612.00000
2017-10-01,322026.00000
2017-11-01,326055.00000
2017-12-01,326532.00000
2018-01-01,329032.00000
2018-02-01,328766.00000
2018-03-01,330528.00000
2018-04-01,329710.00000
2018-05-01,328402.00000
2018-06-01,323533.00000
2018-07-01,321083.00000
2018-08-01,314982.00000
2018-09-01,310902.00000
2018-10-01,303396.00000
2018-11-01,302758.00000
2018-12-01,300715.00000
2019-01-01,298057.00000
2019-02-01,299100.00000
2019-03-01,298892.00000
2019-04-01,295141.00000
2019-05-01,294561.00000
2019-06-01,294144.00000
2019-07-01,290673.00000
2019-08-01,287579.00000
2019-09-01,283510.00000
2019-10-01,284003.00000
2019-11-01,282470.00000
2019-12-01,280219.00000
2020-01-01,277102.00000
2020-02-01,275013.00000
2020-03-01,275216.00000
2020-04-01,269289.00000
2020-05-01,267165.00000
2020-06-01,266390.00000
2020-07-01,269306.00000
2020-08-01,270523.00000
2020-09-01,266966.00000
2020-10-01,270559.00000
2020-11-01,270655.00000
2020-12-01,272861.00000
2021-01-01,270865.00000
2021-02-01,272784.00000
2021-03-01,269469.00000
2021-04-01,276075.00000
2021-05-01,278083.00000
2021-06-01,276638.00000
2021-07-01,276345.00000
2021-08-01,278774.00000
2021-09-01,278346.00000
2021-10-01,278413.00000
2021-11-01,274275.00000
2021-12-01,273019.00000
2022-01-01,270785.00000
2022-02-01,272285.00000
2022-03-01,271624.00000
2022-04-01,266435.00000
2022-05-01,267312.00000
2022-06-01,262671.00000
2022-07-01,259089.00000
2022-08-01,255927.00000
2022-09-01,250466.00000
2022-10-01,252443.00000
2022-11-01,253350.00000
2022-12-01,253429.00000
2023-01-01,256514.00000
2023-02-01,251449.00000
2023-03-01,254351.00000
2023-04-01,254911.00000
2023-05-01,251454.00000
2023-06-01,249003.00000
2023-07-01,251121.00000
2023-08-01,248688.00000
2023-09-01,247712.00000
2023-10-01,248929.00000
2023-11-01,253253.00000
2023-12-01,255023.00000
2024-01-01,251132.00000
2024-02-01,252074.00000
2024-03-01,255593.00000
2024-04-01,263229.00000
2024-05-01,275462.00000
2024-06-01,276020.00000
2024-07-01,285034.00000
2024-08-01,292254.00000
2024-09-01,296155.00000
2024-10-01,296577.00000
2024-11-01,297205.00000
2024-12-01,304007.00000
2025-01-01,312713.00000
2025-02-01,317999.00000
2025-03-01,325031.00000
2025-04-01,337431.00000
2025-05-01,341868.00000
2025-06-01,351566.00000
2025-07-01,351021.00000
2025-08-01,354579.00000
2025-09-01,357796.00000
2025-10-01,357947.00000
2025-11-01,361471.00000
2025-12-01,372434.00000
2026-01-01,380966.00000
2026-02-01,384852.00000
2026-03-01,382626.00000
2026-04-01,390556.00000
2026-05-01,391549.00000
2026-06-01,393876.00000
2026-07-01,401183.00000
