date,value
2011-09-01,-130151.00000
2011-10-01,-130191.00000
2011-11-01,-130051.00000
2011-12-01,-123350.00000
2012-01-01,-123697.00000
2012-02-01,-123825.00000
2012-03-01,-127012.00000
2012-04-01,-126467.00000
2012-05-01,-125861.00000
2012-06-01,-125341.00000
2012-07-01,-124540.00000
2012-08-01,-129027.00000
2012-09-01,-131187.00000
2012-10-01,-132113.00000
2012-11-01,-135148.00000
2012-12-01,-139824.00000
2013-01-01,-141754.00000
2013-02-01,-143379.00000
2013-03-01,-140919.00000
2013-04-01,-144264.00000
2013-05-01,-152880.00000
2013-06-01,-156346.00000
2013-07-01,-158539.00000
2013-08-01,-159687.00000
2013-09-01,-159654.00000
2013-10-01,-164808.00000
2013-11-01,-165533.00000
2013-12-01,-167520.00000
2014-01-01,-174510.00000
2014-02-01,-173309.00000
2014-03-01,-168904.00000
2014-04-01,-170260.00000
2014-05-01,-169709.00000
2014-06-01,-173633.00000
2014-07-01,-173748.00000
2014-08-01,-173492.00000
2014-09-01,-173664.00000
2014-10-01,-167205.00000
2014-11-01,-167919.00000
2014-12-01,-173840.00000
2015-01-01,-171019.00000
2015-02-01,-176681.00000
2015-03-01,-174799.00000
2015-04-01,-178791.00000
2015-05-01,-175109.00000
2015-06-01,-178276.00000
2015-07-01,-179527.00000
2015-08-01,-183367.00000
2015-09-01,-182145.00000
2015-10-01,-178480.00000
2015-11-01,-177010.00000
2015-12-01,-184730.00000
2016-01-01,-186998.00000
2016-02-01,-189491.00000
2016-03-01,-187001.00000
2016-04-01,-190145.00000
2016-05-01,-196710.00000
2016-06-01,-198235.00000
2016-07-01,-204864.00000
2016-08-01,-203289.00000
2016-09-01,-204461.00000
2016-10-01,-202650.00000
2016-11-01,-199738.00000
2016-12-01,-195229.00000
2017-01-01,-196445.00000
2017-02-01,-192996.00000
2017-03-01,-190638.00000
2017-04-01,-185472.00000
2017-05-01,-186131.00000
2017-06-01,-190282.00000
2017-07-01,-196529.00000
2017-08-01,-194651.00000
2017-09-01,-196832.00000
2017-10-01,-200300.00000
2017-11-01,-204463.00000
2017-12-01,-200206.00000
2018-01-01,-204765.00000
2018-02-01,-205358.00000
2018-03-01,-207867.00000
2018-04-01,-203596.00000
2018-05-01,-202609.00000
2018-06-01,-202874.00000
2018-07-01,-200195.00000
2018-08-01,-197335.00000
2018-09-01,-192444.00000
2018-10-01,-183960.00000
2018-11-01,-182629.00000
2018-12-01,-179403.00000
2019-01-01,-173584.00000
2019-02-01,-174706.00000
2019-03-01,-167869.00000
2019-04-01,-165167.00000
2019-05-01,-162313.00000
2019-06-01,-165892.00000
2019-07-01,-161596.00000
2019-08-01,-163310.00000
2019-09-01,-154662.00000
2019-10-01,-152449.00000
2019-11-01,-149980.00000
2019-12-01,-148382.00000
2020-01-01,-145734.00000
2020-02-01,-142334.00000
2020-03-01,-143515.00000
2020-04-01,-141474.00000
2020-05-01,-140147.00000
2020-06-01,-137677.00000
2020-07-01,-134251.00000
2020-08-01,-133622.00000
2020-09-01,-128355.00000
2020-10-01,-129806.00000
2020-11-01,-126186.00000
2020-12-01,-124727.00000
2021-01-01,-124263.00000
2021-02-01,-127017.00000
2021-03-01,-126120.00000
2021-04-01,-129731.00000
2021-05-01,-132387.00000
2021-06-01,-128760.00000
2021-07-01,-122297.00000
2021-08-01,-120828.00000
2021-09-01,-120989.00000
2021-10-01,-119772.00000
2021-11-01,-119639.00000
2021-12-01,-118465.00000
2022-01-01,-117419.00000
2022-02-01,-116586.00000
2022-03-01,-109006.00000
2022-04-01,-102206.00000
2022-05-01,-100384.00000
2022-06-01,-93200.00000
2022-07-01,-87067.00000
2022-08-01,-85911.00000
2022-09-01,-79647.00000
2022-10-01,-76871.00000
2022-11-01,-78677.00000
2022-12-01,-78806.00000
2023-01-01,-77872.00000
2023-02-01,-77861.00000
2023-03-01,-82644.00000
2023-04-01,-77148.00000
2023-05-01,-73109.00000
2023-06-01,-74987.00000
2023-07-01,-74571.00000
2023-08-01,-67800.00000
2023-09-01,-67101.00000
2023-10-01,-63995.00000
2023-11-01,-67682.00000
2023-12-01,-70603.00000
2024-01-01,-66110.00000
2024-02-01,-69025.00000
2024-03-01,-69703.00000
2024-04-01,-83566.00000
2024-05-01,-101780.00000
2024-06-01,-108208.00000
2024-07-01,-115694.00000
2024-08-01,-123162.00000
2024-09-01,-129495.00000
2024-10-01,-133831.00000
2024-11-01,-140512.00000
2024-12-01,-146196.00000
2025-01-01,-158986.00000
2025-02-01,-165267.00000
2025-03-01,-164434.00000
2025-04-01,-175078.00000
2025-05-01,-177056.00000
2025-06-01,-185549.00000
2025-07-01,-178171.00000
2025-08-01,-181152.00000
2025-09-01,-181236.00000
2025-10-01,-181279.00000
2025-11-01,-186518.00000
2025-12-01,-190368.00000
2026-01-01,-198903.00000
2026-02-01,-201725.00000
2026-03-01,-195436.00000
2026-04-01,-205586.00000
2026-05-01,-203413.00000
2026-06-01,-205755.00000
