date,value
2011-09-23,12.54000
2011-09-30,12.48000
2011-10-07,12.48000
2011-10-14,12.42000
2011-10-21,12.39000
2011-10-28,12.49000
2011-11-04,13.40000
2011-11-11,14.10000
2011-11-18,14.42000
2011-11-25,14.63000
2011-12-02,14.48000
2011-12-09,14.52000
2011-12-16,14.48000
2011-12-23,14.43000
2011-12-30,14.35000
2012-01-06,14.40000
2012-01-13,14.50000
2012-01-20,14.52000
2012-01-27,14.58000
2012-02-03,14.49000
2012-02-10,14.07000
2012-02-17,13.77000
2012-02-24,13.38000
2012-03-02,13.45000
2012-03-09,13.38000
2012-03-16,13.29000
2012-03-23,13.21000
2012-03-30,13.21000
2012-04-06,13.17000
2012-04-13,13.07000
2012-04-20,13.01000
2012-04-27,12.97000
2012-05-04,12.99000
2012-05-11,12.61000
2012-05-18,12.74000
2012-05-25,12.67000
2012-06-01,12.68000
2012-06-08,12.65000
2012-06-15,12.60000
2012-06-22,12.52000
2012-06-29,12.56000
2012-07-06,12.51000
2012-07-13,12.64000
2012-07-20,12.32000
2012-07-27,12.20000
2012-08-03,12.18000
2012-08-10,12.14000
2012-08-17,12.06000
2012-08-24,12.29000
2012-08-31,12.05000
2012-09-07,12.00000
2012-09-14,12.34000
2012-09-21,12.13000
2012-09-28,11.70000
2012-10-05,11.65000
2012-10-12,11.27000
2012-10-19,11.24000
2012-10-26,11.14000
2012-11-02,11.03000
2012-11-09,10.95000
2012-11-16,10.81000
2012-11-23,10.64000
2012-11-30,10.42000
2012-12-07,10.28000
2012-12-14,10.15000
2012-12-21,10.02000
2012-12-28,9.90000
2013-01-04,9.90000
2013-01-11,9.78000
2013-01-18,9.76000
2013-01-25,9.66000
2013-02-01,9.54000
2013-02-08,9.60000
2013-02-15,9.61000
2013-02-22,9.56000
2013-03-01,9.46000
2013-03-08,9.41000
2013-03-15,9.30000
2013-03-22,9.29000
2013-03-29,9.07000
2013-04-05,9.09000
2013-04-12,9.09000
2013-04-19,9.06000
2013-04-26,8.99000
2013-05-03,9.03000
2013-05-10,8.99000
2013-05-17,8.79000
2013-05-24,8.54000
2013-05-31,8.48000
2013-06-07,8.31000
2013-06-14,8.29000
2013-06-21,8.29000
2013-06-28,8.30000
2013-07-05,8.49000
2013-07-12,8.78000
2013-07-19,9.04000
2013-07-26,9.31000
2013-08-02,9.51000
2013-08-09,9.66000
2013-08-16,9.77000
2013-08-23,9.92000
2013-08-30,10.03000
2013-09-06,10.43000
2013-09-13,10.70000
2013-09-20,10.91000
2013-09-27,10.89000
2013-10-04,11.00000
2013-10-11,10.95000
2013-10-18,10.85000
2013-10-25,10.90000
2013-11-01,10.83000
2013-11-08,10.67000
2013-11-15,10.58000
2013-11-22,10.53000
2013-11-29,10.51000
2013-12-06,10.56000
2013-12-13,10.58000
2013-12-20,10.56000
2013-12-27,10.73000
2014-01-03,10.69000
2014-01-10,11.28000
2014-01-17,11.37000
2014-01-24,11.47000
2014-01-31,11.69000
2014-02-07,12.53000
2014-02-14,13.12000
2014-02-21,13.12000
2014-02-28,13.35000
2014-03-07,13.40000
2014-03-14,13.50000
2014-03-21,13.49000
2014-03-28,13.63000
2014-04-04,13.65000
2014-04-11,13.61000
2014-04-18,13.48000
2014-04-25,13.34000
2014-05-02,13.21000
2014-05-09,13.00000
2014-05-16,12.98000
2014-05-23,12.84000
2014-05-30,12.69000
2014-06-06,12.54000
2014-06-13,12.34000
2014-06-20,12.25000
2014-06-27,12.02000
2014-07-04,11.75000
2014-07-11,11.53000
2014-07-18,11.32000
2014-07-25,11.24000
2014-08-01,11.09000
2014-08-08,11.10000
2014-08-15,11.06000
2014-08-22,11.01000
2014-08-29,11.03000
2014-09-05,11.02000
2014-09-12,10.94000
2014-09-19,10.90000
2014-09-26,10.77000
2014-10-03,10.72000
2014-10-10,10.77000
2014-10-17,10.81000
2014-10-24,10.69000
2014-10-31,10.77000
2014-11-07,10.94000
2014-11-14,10.90000
2014-11-21,10.73000
2014-11-28,11.08000
2014-12-05,11.07000
2014-12-12,10.99000
2014-12-19,10.96000
2014-12-26,11.03000
2015-01-02,10.97000
2015-01-09,11.08000
2015-01-16,11.05000
2015-01-23,11.02000
2015-01-30,10.91000
2015-02-06,10.85000
2015-02-13,10.80000
2015-02-20,10.79000
2015-02-27,10.75000
2015-03-06,10.76000
2015-03-13,10.75000
2015-03-20,10.81000
2015-03-27,10.95000
2015-04-03,10.96000
2015-04-10,10.96000
2015-04-17,10.96000
2015-04-24,10.98000
2015-05-01,11.18000
2015-05-08,11.46000
2015-05-15,11.58000
2015-05-22,11.63000
2015-05-29,11.60000
2015-06-05,11.63000
2015-06-12,11.71000
2015-06-19,11.98000
2015-06-26,12.14000
2015-07-03,12.18000
2015-07-10,12.27000
2015-07-17,12.29000
2015-07-24,12.33000
2015-07-31,12.33000
2015-08-07,12.42000
2015-08-14,12.42000
2015-08-21,12.57000
2015-08-28,12.93000
2015-09-04,13.30000
2015-09-11,13.44000
2015-09-18,13.81000
2015-09-25,13.74000
2015-10-02,14.08000
2015-10-09,14.26000
2015-10-16,14.35000
2015-10-23,14.41000
2015-10-30,14.41000
2015-11-06,14.29000
2015-11-13,14.24000
2015-11-20,14.11000
2015-11-27,13.86000
2015-12-04,13.98000
2015-12-11,13.97000
2015-12-18,14.00000
2015-12-25,14.07000
2016-01-01,14.08000
2016-01-08,14.24000
2016-01-15,14.29000
2016-01-22,14.34000
2016-01-29,14.41000
2016-02-05,14.47000
2016-02-12,14.50000
2016-02-19,14.38000
2016-02-26,14.43000
2016-03-04,14.46000
2016-03-11,14.45000
2016-03-18,14.46000
2016-03-25,14.44000
2016-04-01,14.44000
2016-04-08,14.46000
2016-04-15,14.33000
2016-04-22,14.27000
2016-04-29,14.13000
2016-05-06,14.04000
2016-05-13,13.95000
2016-05-20,13.91000
2016-05-27,13.93000
2016-06-03,13.93000
2016-06-10,13.77000
2016-06-17,13.85000
2016-06-24,13.79000
2016-07-01,13.74000
2016-07-08,13.61000
2016-07-15,13.64000
2016-07-22,13.63000
2016-07-29,13.72000
2016-08-05,13.79000
2016-08-12,13.31000
2016-08-19,12.26000
2016-08-26,12.07000
2016-09-02,12.03000
2016-09-09,12.02000
2016-09-16,12.27000
2016-09-23,12.07000
2016-09-30,12.05000
2016-10-07,12.15000
2016-10-14,12.12000
2016-10-21,12.10000
2016-10-28,12.09000
2016-11-04,12.00000
2016-11-11,11.71000
2016-11-18,11.58000
2016-11-25,11.48000
2016-12-02,11.44000
2016-12-09,11.42000
2016-12-16,11.40000
2016-12-23,11.43000
2016-12-30,11.43000
2017-01-06,11.43000
2017-01-13,11.45000
2017-01-20,11.47000
2017-01-27,11.46000
2017-02-03,11.41000
2017-02-10,11.41000
2017-02-17,11.41000
2017-02-24,11.28000
2017-03-03,11.00000
2017-03-10,11.09000
2017-03-17,11.13000
2017-03-24,11.11000
2017-03-31,10.95000
2017-04-07,11.02000
2017-04-14,11.32000
2017-04-21,11.31000
2017-04-28,11.45000
2017-05-05,11.40000
2017-05-12,11.50000
2017-05-19,11.57000
2017-05-26,11.71000
2017-06-02,11.63000
2017-06-09,11.70000
2017-06-16,11.77000
2017-06-23,11.72000
2017-06-30,11.78000
2017-07-07,11.75000
2017-07-14,12.02000
2017-07-21,12.17000
2017-07-28,12.12000
2017-08-04,12.08000
2017-08-11,12.49000
2017-08-18,12.70000
2017-08-25,12.69000
2017-09-01,12.96000
2017-09-08,12.67000
2017-09-15,12.89000
2017-09-22,12.94000
2017-09-29,12.88000
2017-10-06,13.04000
2017-10-13,13.04000
2017-10-20,13.09000
2017-10-27,13.01000
2017-11-03,13.06000
2017-11-10,13.11000
2017-11-17,13.16000
2017-11-24,13.14000
2017-12-01,13.25000
2017-12-08,13.14000
2017-12-15,13.62000
2017-12-22,13.83000
2017-12-29,13.78000
2018-01-05,14.29000
2018-01-12,13.89000
2018-01-19,14.30000
2018-01-26,14.08000
2018-02-02,14.55000
2018-02-09,14.68000
2018-02-16,14.80000
2018-02-23,14.70000
2018-03-02,14.64000
2018-03-09,14.85000
2018-03-16,14.87000
2018-03-23,14.62000
2018-03-30,14.96000
2018-04-06,14.97000
2018-04-13,14.60000
2018-04-20,14.91000
2018-04-27,14.84000
2018-05-04,14.53000
2018-05-11,14.82000
2018-05-18,13.15000
2018-05-25,13.01000
2018-06-01,13.02000
2018-06-08,13.06000
2018-06-15,13.16000
2018-06-22,13.11000
2018-06-29,13.14000
2018-07-06,13.46000
2018-07-13,15.79000
2018-07-20,18.76000
2018-07-27,19.43000
2018-08-03,19.97000
2018-08-10,19.99000
2018-08-17,20.21000
2018-08-24,11.64000
2018-08-31,23.15000
2018-09-07,22.77000
2018-09-14,24.25000
2018-09-21,25.70000
2018-09-28,28.00000
2018-10-05,29.06000
2018-10-12,28.59000
2018-10-19,28.86000
2018-10-26,29.28000
2018-11-02,29.05000
2018-11-09,28.40000
2018-11-16,28.77000
2018-11-23,28.55000
2018-11-30,28.38000
2018-12-07,28.02000
2018-12-14,27.84000
2018-12-21,28.04000
2018-12-28,27.39000
2019-01-04,27.70000
2019-01-11,26.46000
2019-01-18,25.79000
2019-01-25,24.93000
2019-02-01,24.65000
2019-02-08,23.55000
2019-02-15,22.26000
2019-02-22,21.47000
2019-03-01,20.71000
2019-03-08,18.55000
2019-03-15,17.28000
2019-03-22,17.15000
2019-03-29,17.10000
2019-04-05,17.12000
2019-04-12,17.13000
2019-04-19,17.20000
2019-04-26,19.35000
2019-05-03,19.87000
2019-05-10,19.85000
2019-05-17,19.83000
2019-05-24,20.85000
2019-05-31,21.86000
2019-06-07,21.19000
2019-06-14,21.89000
2019-06-21,21.92000
2019-06-28,22.23000
2019-07-05,21.65000
2019-07-12,21.36000
2019-07-19,20.74000
2019-07-26,20.49000
2019-08-02,18.45000
2019-08-09,13.64000
2019-08-16,12.95000
2019-08-23,12.84000
2019-08-30,12.88000
2019-09-06,12.90000
2019-09-13,12.95000
2019-09-20,13.02000
2019-09-27,13.06000
2019-10-04,13.11000
2019-10-11,13.12000
2019-10-18,13.14000
2019-10-25,13.10000
2019-11-01,13.04000
2019-11-08,13.01000
2019-11-15,12.97000
2019-11-22,12.92000
2019-11-29,12.88000
2019-12-06,12.78000
2019-12-13,12.68000
2019-12-20,12.64000
2019-12-27,12.64000
2020-01-03,12.57000
2020-01-10,12.00000
2020-01-17,11.73000
2020-01-24,11.61000
2020-01-31,11.50000
2020-02-07,11.54000
2020-02-14,11.46000
2020-02-21,11.38000
2020-02-28,11.32000
2020-03-06,11.45000
2020-03-13,11.39000
2020-03-20,11.36000
2020-03-27,11.41000
2020-04-03,11.68000
2020-04-10,11.79000
2020-04-17,11.93000
2020-04-24,11.49000
2020-05-01,11.38000
2020-05-08,11.29000
2020-05-15,11.24000
2020-05-22,11.13000
2020-05-29,11.13000
2020-06-05,9.98000
2020-06-12,9.16000
2020-06-19,9.06000
2020-06-26,9.01000
2020-07-03,9.05000
2020-07-10,9.09000
2020-07-17,9.14000
2020-07-24,9.07000
2020-07-31,9.22000
2020-08-07,9.38000
2020-08-14,9.99000
2020-08-21,11.66000
2020-08-28,13.31000
2020-09-04,13.80000
2020-09-11,13.88000
2020-09-18,14.14000
2020-09-25,14.80000
2020-10-02,14.97000
2020-10-09,15.04000
2020-10-16,15.10000
2020-10-23,15.04000
2020-10-30,15.18000
2020-11-06,15.57000
2020-11-13,15.50000
2020-11-20,15.53000
2020-11-27,16.10000
2020-12-04,17.49000
2020-12-11,17.88000
2020-12-18,18.71000
2020-12-25,18.69000
2021-01-01,18.61000
2021-01-08,18.61000
2021-01-15,18.40000
2021-01-22,18.19000
2021-01-29,18.13000
2021-02-05,18.12000
2021-02-12,18.04000
2021-02-19,17.93000
2021-02-26,17.85000
2021-03-05,17.76000
2021-03-12,17.66000
2021-03-19,17.64000
2021-03-26,17.88000
2021-04-02,18.18000
2021-04-09,18.22000
2021-04-16,18.10000
2021-04-23,18.11000
2021-04-30,18.06000
2021-05-07,18.03000
2021-05-14,17.67000
2021-05-21,17.85000
2021-05-28,17.79000
2021-06-04,17.88000
2021-06-11,17.91000
2021-06-18,17.81000
2021-06-25,18.00000
2021-07-02,17.96000
2021-07-09,17.97000
2021-07-16,17.96000
2021-07-23,17.84000
2021-07-30,17.94000
2021-08-06,17.88000
2021-08-13,17.89000
2021-08-20,17.88000
2021-08-27,17.80000
2021-09-03,17.88000
2021-09-10,17.90000
2021-09-17,17.89000
2021-09-24,17.91000
2021-10-01,17.83000
2021-10-08,17.89000
2021-10-15,17.90000
2021-10-22,17.95000
2021-10-29,17.53000
2021-11-05,17.23000
2021-11-12,17.14000
2021-11-19,17.08000
2021-11-26,16.94000
2021-12-03,17.03000
2021-12-10,17.17000
2021-12-17,17.27000
2021-12-24,17.59000
2021-12-31,17.48000
2022-01-07,18.58000
2022-01-14,18.28000
2022-01-21,18.18000
2022-01-28,17.94000
2022-02-04,17.52000
2022-02-11,18.02000
2022-02-18,17.87000
2022-02-25,17.78000
2022-03-04,17.77000
2022-03-11,17.70000
2022-03-18,18.27000
2022-03-25,18.13000
2022-04-01,17.96000
2022-04-08,18.09000
2022-04-15,18.25000
2022-04-22,18.42000
2022-04-29,18.47000
2022-05-06,18.33000
2022-05-13,18.55000
2022-05-20,18.40000
2022-05-27,18.40000
2022-06-03,18.25000
2022-06-10,17.92000
2022-06-17,18.30000
2022-06-24,18.24000
