date,value
2011-09-30,8.25000
2011-10-07,7.97000
2011-10-14,8.14000
2011-10-21,8.21000
2011-10-28,8.34000
2011-11-04,8.57000
2011-11-11,8.36000
2011-11-18,8.90000
2011-11-25,8.95000
2011-12-02,9.15000
2011-12-09,9.27000
2011-12-16,9.50000
2011-12-23,10.02000
2011-12-30,10.60000
2012-01-06,9.96000
2012-01-13,10.07000
2012-01-20,10.05000
2012-01-27,10.05000
2012-02-03,10.16000
2012-02-10,9.97000
2012-02-17,10.01000
2012-02-24,9.85000
2012-03-02,9.75000
2012-03-09,9.65000
2012-03-16,9.66000
2012-03-23,9.71000
2012-03-30,9.81000
2012-04-06,9.62000
2012-04-13,9.66000
2012-04-20,9.80000
2012-04-27,9.85000
2012-05-04,9.67000
2012-05-11,10.06000
2012-05-18,10.12000
2012-05-25,10.08000
2012-06-01,10.15000
2012-06-08,10.16000
2012-06-15,10.31000
2012-06-22,10.39000
2012-06-29,10.35000
2012-07-06,10.09000
2012-07-13,9.78000
2012-07-20,9.79000
2012-07-27,9.57000
2012-08-03,9.52000
2012-08-10,9.33000
2012-08-17,9.23000
2012-08-24,9.03000
2012-08-31,8.92000
2012-09-07,8.59000
2012-09-14,8.60000
2012-09-21,8.42000
2012-09-28,8.46000
2012-10-05,8.19000
2012-10-12,8.08000
2012-10-19,7.99000
2012-10-26,7.71000
2012-11-02,7.91000
2012-11-09,7.79000
2012-11-16,7.65000
2012-11-23,7.54000
2012-11-30,7.33000
2012-12-07,7.44000
2012-12-14,7.48000
2012-12-21,7.53000
2012-12-28,7.57000
2013-01-04,7.23000
2013-01-11,7.19000
2013-01-18,7.20000
2013-01-25,7.06000
2013-02-01,7.04000
2013-02-08,6.88000
2013-02-15,6.85000
2013-02-22,6.70000
2013-03-01,6.63000
2013-03-08,6.47000
2013-03-15,6.54000
2013-03-22,6.51000
2013-03-29,6.59000
2013-04-05,6.53000
2013-04-12,6.50000
2013-04-19,6.34000
2013-04-26,6.26000
2013-05-03,6.19000
2013-05-10,6.16000
2013-05-17,6.03000
2013-05-24,5.76000
2013-05-31,5.59000
2013-06-07,5.74000
2013-06-14,5.92000
2013-06-21,6.17000
2013-06-28,6.72000
2013-07-05,6.63000
2013-07-12,6.95000
2013-07-19,7.05000
2013-07-26,7.15000
2013-08-02,7.43000
2013-08-09,7.26000
2013-08-16,7.75000
2013-08-23,7.60000
2013-08-30,7.77000
2013-09-06,7.91000
2013-09-13,7.82000
2013-09-20,8.08000
2013-09-27,8.14000
2013-10-04,7.88000
2013-10-11,7.98000
2013-10-18,7.41000
2013-10-25,7.84000
2013-11-01,7.46000
2013-11-08,7.52000
2013-11-15,7.67000
2013-11-22,7.55000
2013-11-29,7.69000
2013-12-06,7.57000
2013-12-13,7.88000
2013-12-20,7.99000
2013-12-27,8.04000
2014-01-03,8.06000
2014-01-10,7.81000
2014-01-17,8.01000
2014-01-24,7.90000
2014-01-31,9.20000
2014-02-07,9.75000
2014-02-14,10.00000
2014-02-21,10.03000
2014-02-28,10.12000
2014-03-07,10.42000
2014-03-14,10.45000
2014-03-21,10.69000
2014-03-28,10.90000
2014-04-04,10.73000
2014-04-11,10.53000
2014-04-18,10.27000
2014-04-25,10.20000
2014-05-02,10.11000
2014-05-09,10.14000
2014-05-16,9.99000
2014-05-23,9.87000
2014-05-30,9.67000
2014-06-06,9.64000
2014-06-13,9.60000
2014-06-20,9.57000
2014-06-27,9.52000
2014-07-04,9.14000
2014-07-11,9.02000
2014-07-18,8.88000
2014-07-25,8.62000
2014-08-01,8.40000
2014-08-08,8.56000
2014-08-15,8.55000
2014-08-22,8.56000
2014-08-29,8.56000
2014-09-05,8.46000
2014-09-12,8.59000
2014-09-19,8.67000
2014-09-26,8.66000
2014-10-03,8.70000
2014-10-10,8.61000
2014-10-17,8.85000
2014-10-24,8.85000
2014-10-31,8.78000
2014-11-07,8.84000
2014-11-14,8.89000
2014-11-21,8.96000
2014-11-28,8.96000
2014-12-05,8.84000
2014-12-12,9.04000
2014-12-19,9.23000
2014-12-26,9.49000
2015-01-02,9.43000
2015-01-09,9.22000
2015-01-16,9.09000
2015-01-23,9.04000
2015-01-30,8.98000
2015-02-06,8.88000
2015-02-13,9.03000
2015-02-20,9.10000
2015-02-27,9.09000
2015-03-06,9.07000
2015-03-13,9.24000
2015-03-20,9.34000
2015-03-27,9.40000
2015-04-03,9.42000
2015-04-10,9.50000
2015-04-17,9.52000
2015-04-24,9.50000
2015-05-01,9.63000
2015-05-08,9.71000
2015-05-15,9.72000
2015-05-22,9.48000
2015-05-29,9.58000
2015-06-05,9.66000
2015-06-12,9.71000
2015-06-19,9.87000
2015-06-26,9.88000
2015-07-03,9.99000
2015-07-10,9.91000
2015-07-17,8.56000
2015-07-24,9.93000
2015-07-31,10.00000
2015-08-07,9.99000
2015-08-14,10.10000
2015-08-21,10.06000
2015-08-28,10.28000
2015-09-04,10.19000
2015-09-11,10.28000
2015-09-18,10.58000
2015-09-25,11.13500
2015-10-02,10.80000
2015-10-09,10.64000
2015-10-16,10.52000
2015-10-23,10.46000
2015-10-30,10.40000
2015-11-06,10.46000
2015-11-13,10.46000
2015-11-20,10.44000
2015-11-27,10.45000
2015-12-04,10.37000
2015-12-11,10.59000
2015-12-18,10.88000
2015-12-25,10.97000
2016-01-01,11.15000
2016-01-08,10.85000
2016-01-15,10.73000
2016-01-22,10.78000
2016-01-29,10.75000
2016-02-05,10.87000
2016-02-12,10.99000
2016-02-19,11.06000
2016-02-26,11.15000
2016-03-04,10.97000
2016-03-11,10.98000
2016-03-18,11.07000
2016-03-25,11.03000
2016-04-01,11.08000
2016-04-08,10.97000
2016-04-15,10.84000
2016-04-22,10.64000
2016-04-29,10.54000
2016-05-06,10.47000
2016-05-13,10.54000
2016-05-20,10.54000
2016-05-27,10.43000
2016-06-03,10.30000
2016-06-10,10.30000
2016-06-17,10.28000
2016-06-24,10.12000
2016-07-01,10.19000
2016-07-08,9.67000
2016-07-15,10.09000
2016-07-22,9.92000
2016-07-29,9.89000
2016-08-05,9.89000
2016-08-12,9.87000
2016-08-19,9.94000
2016-08-26,10.01000
2016-09-02,9.78000
2016-09-09,10.05000
2016-09-16,9.48000
2016-09-23,10.08000
2016-09-30,10.02000
2016-10-07,9.89000
2016-10-14,9.83000
2016-10-21,9.70000
2016-10-28,9.75000
2016-11-04,9.77000
2016-11-11,9.68000
2016-11-18,9.64000
2016-11-25,9.50000
2016-12-02,9.59000
2016-12-09,9.57000
2016-12-16,9.45000
2016-12-23,9.60000
2016-12-30,9.64000
2017-01-06,9.50000
2017-01-13,9.43000
2017-01-20,9.49000
2017-01-27,9.57000
2017-02-03,9.68000
2017-02-10,9.90000
2017-02-17,9.96000
2017-02-24,9.80000
2017-03-03,9.73000
2017-03-10,9.87000
2017-03-17,10.01000
2017-03-24,10.19000
2017-03-31,10.42000
2017-04-07,10.37000
2017-04-14,10.64000
2017-04-21,10.78000
2017-04-28,10.93000
2017-05-05,10.96000
2017-05-12,11.39000
2017-05-19,11.38000
2017-05-26,11.62000
2017-06-02,11.43000
2017-06-09,11.66000
2017-06-16,11.89000
2017-06-23,12.15000
2017-06-30,12.05000
2017-07-07,11.94000
2017-07-14,11.94000
2017-07-21,11.87000
2017-07-28,11.81000
2017-08-04,11.86000
2017-08-11,11.93000
2017-08-18,11.98000
2017-08-25,11.89000
