date,value
2012-01-01,92.49931
2012-02-01,93.80052
2012-03-01,93.18602
2012-04-01,88.70761
2012-05-01,91.93474
2012-06-01,91.41702
2012-07-01,92.49644
2012-08-01,90.28248
2012-09-01,89.01883
2012-10-01,84.86560
2012-11-01,89.88362
2012-12-01,89.06822
2013-01-01,91.51710
2013-02-01,91.75975
2013-03-01,92.05650
2013-04-01,92.70699
2013-05-01,95.52600
2013-06-01,94.69725
2013-07-01,96.53800
2013-08-01,95.28775
2013-09-01,91.42750
2013-10-01,93.33900
2013-11-01,96.77550
2013-12-01,94.15975
2014-01-01,91.53853
2014-02-01,89.21453
2014-03-01,92.42525
2014-04-01,97.36987
2014-05-01,95.11075
2014-06-01,93.49903
2014-07-01,93.72542
2014-08-01,93.64845
2014-09-01,94.01861
2014-10-01,91.42706
2014-11-01,90.87379
2014-12-01,90.15420
2015-01-01,89.34782
2015-02-01,88.79513
2015-03-01,86.48974
2015-04-01,87.42186
2015-05-01,86.79943
2015-06-01,89.62664
2015-07-01,88.23777
2015-08-01,85.19584
2015-09-01,82.15392
2015-10-01,86.03619
2015-11-01,95.15386
2015-12-01,93.34194
2016-01-01,91.94619
2016-02-01,89.68278
2016-03-01,89.86856
2016-04-01,91.24926
2016-05-01,91.69577
2016-06-01,92.00709
2016-07-01,89.65780
2016-08-01,95.16622
2016-09-01,94.77674
2016-10-01,95.02017
2016-11-01,91.40910
2016-12-01,87.00705
2017-01-01,88.38577
2017-02-01,87.63446
2017-03-01,89.89269
2017-04-01,91.95329
2017-05-01,94.22008
2017-06-01,92.67385
2017-07-01,93.21032
2017-08-01,93.49159
2017-09-01,92.00100
2017-10-01,89.59682
2017-11-01,87.35353
2017-12-01,87.80835
2018-01-01,92.38316
2018-02-01,92.97421
2018-03-01,92.27550
2018-04-01,91.65108
2018-05-01,90.94875
2018-06-01,91.05238
2018-07-01,92.92047
2018-08-01,88.70138
2018-09-01,81.14840
2018-10-01,78.41815
2018-11-01,80.94738
2018-12-01,79.66067
2019-01-01,80.11330
2019-02-01,78.79039
2019-03-01,81.10049
2019-04-01,83.61171
2019-05-01,77.04568
2019-06-01,80.09404
2019-07-01,78.93810
2019-08-01,79.60415
2019-09-01,77.63886
2019-10-01,78.17049
2019-11-01,81.24018
2019-12-01,80.48867
2020-01-01,81.11781
2020-02-01,79.29115
2020-03-01,80.98380
2020-04-01,78.17728
2020-05-01,82.85047
2020-06-01,82.97922
2020-07-01,82.82247
2020-08-01,79.77182
2020-09-01,81.90816
2020-10-01,81.54335
2020-11-01,79.98411
2020-12-01,79.79660
2021-01-01,82.86952
2021-02-01,84.10742
2021-03-01,86.62952
2021-04-01,80.25357
2021-05-01,77.52774
2021-06-01,81.97084
2021-07-01,80.09377
2021-08-01,78.49323
2021-09-01,79.60434
2021-10-01,76.46038
2021-11-01,70.84798
2021-12-01,68.51105
2022-01-01,72.74467
2022-02-01,70.76649
2022-03-01,72.56593
2022-04-01,67.28000
2022-05-01,67.76000
2022-06-01,63.41000
2022-07-01,68.51000
2022-08-01,72.73000
2022-09-01,72.87000
2022-10-01,76.25000
2022-11-01,76.58000
2022-12-01,75.38000
2023-01-01,79.10000
2023-02-01,82.50000
2023-03-01,80.13000
2023-04-01,87.52000
2023-05-01,91.06000
2023-06-01,85.13000
2023-07-01,80.07000
2023-08-01,68.01000
2023-09-01,71.47000
2023-10-01,74.62000
2023-11-01,75.47000
2023-12-01,77.42000
2024-01-01,80.42311
2024-02-01,79.34287
2024-03-01,79.35479
2024-04-01,80.46085
2024-05-01,80.50804
2024-06-01,78.30088
2024-07-01,75.87955
2024-08-01,76.36547
2024-09-01,78.22093
2024-10-01,80.55365
2024-11-01,79.77237
2024-12-01,81.27129
2025-01-01,80.96201
2025-02-01,82.07125
2025-03-01,85.85942
2025-04-01,83.86291
2025-05-01,84.79219
2025-06-01,85.06418
2025-07-01,83.51879
2025-08-01,84.25052
2025-09-01,83.87427
2025-10-01,83.62820
2025-11-01,84.98021
2025-12-01,83.48995
2026-01-01,83.72307
2026-02-01,85.68984
2026-03-01,85.04365
2026-04-01,85.50276
2026-05-01,85.75542
2026-06-01,87.93245
2026-07-01,89.82972
2026-08-01,90.76533
