date,value
2020-09-11,101312.49000
2020-09-18,101015.60000
2020-09-25,99850.79000
2020-10-02,101013.08000
2020-10-09,99922.36000
2020-10-16,102437.37000
2020-10-23,103251.20000
2020-10-30,100353.24000
2020-11-06,100835.96000
2020-11-13,108332.72000
2020-11-20,111307.61000
2020-11-27,111133.42000
2020-12-04,113941.98000
2020-12-11,114689.56000
2020-12-18,117326.88000
2020-12-25,117834.11000
2021-01-01,120419.28000
2021-01-08,123087.28000
2021-01-15,122352.49000
2021-01-22,122745.85000
2021-01-29,125225.21000
2021-02-05,128872.02000
2021-02-12,129242.82000
2021-02-19,129662.78000
2021-02-26,125388.02000
2021-03-05,124351.87000
2021-03-12,123689.39000
2021-03-19,122699.31000
2021-03-26,110840.44000
2021-04-02,109641.88000
2021-04-09,109450.47000
2021-04-16,110510.08000
2021-04-23,108574.67000
2021-04-30,107908.35000
2021-05-07,108544.26000
2021-05-14,108617.93000
2021-05-21,109199.56000
2021-05-28,108378.85000
2021-06-04,107707.91000
2021-06-11,108780.28000
2021-06-18,107459.70000
2021-06-25,109375.83000
2021-07-02,109508.74000
2021-07-09,110551.55000
2021-07-16,110812.68000
2021-07-23,110878.58000
2021-07-30,111314.51000
2021-08-06,112461.96000
2021-08-13,112546.12000
2021-08-20,112977.18000
2021-08-27,114186.65000
2021-09-03,114967.54000
2021-09-10,113895.45000
2021-09-17,112644.97000
2021-09-24,111068.11000
2021-10-01,109617.19000
2021-10-08,108686.29000
2021-10-15,107076.47000
2021-10-22,106013.18000
2021-10-29,105952.36000
2021-11-05,107069.51000
2021-11-12,106400.87000
2021-11-19,104275.29000
2021-11-26,99394.50000
2021-12-03,96307.75000
2021-12-10,96882.50000
2021-12-17,95198.51000
2021-12-24,96542.29000
2021-12-31,93142.70000
2022-01-07,92716.71000
2022-01-14,93382.55000
2022-01-21,93322.45000
2022-01-28,92644.03000
2022-02-04,91789.48000
2022-02-11,92715.73000
2022-02-18,91836.67000
2022-02-25,88569.09000
2022-03-04,86738.10000
2022-03-11,84765.56000
2022-03-18,85067.25000
2022-03-25,85307.67000
2022-04-01,86448.06000
2022-04-08,86348.58000
2022-04-15,87614.37000
2022-04-22,87301.55000
2022-04-29,85479.68000
2022-05-06,83899.48000
2022-05-13,80227.03000
2022-05-20,77222.80000
2022-05-27,76823.73000
2022-06-03,77792.39000
2022-06-10,73488.65000
2022-06-17,72243.28000
2022-06-24,73118.42000
2022-07-01,71870.22000
2022-07-08,70328.42000
2022-07-15,68797.40000
2022-07-22,69859.95000
2022-07-29,70522.37000
2022-08-05,72977.46000
2022-08-12,75110.76000
2022-08-19,74439.94000
2022-08-26,75521.64000
2022-09-02,75021.25000
2022-09-09,77181.65000
2022-09-16,75138.98000
2022-09-23,73741.71000
2022-09-30,70771.63000
2022-10-07,72457.59000
2022-10-14,73451.04000
2022-10-21,75154.31000
2022-10-28,74945.07000
2022-11-04,75943.43000
2022-11-11,78283.41000
2022-11-18,79054.83000
2022-11-25,82124.46000
2022-12-02,84127.10000
2022-12-09,84903.24000
2022-12-16,86209.94000
2022-12-23,86780.90000
