date,value
2026-05-31,754.04208
2026-06-01,1298.27458
2026-06-02,1657.98458
2026-06-03,976.28375
2026-06-04,1183.39458
2026-06-05,1662.41000
2026-06-06,1235.75125
2026-06-07,388.12625
2026-06-08,764.59333
2026-06-09,1377.24417
2026-06-10,1934.76500
2026-06-11,1733.00042
2026-06-12,1478.22375
2026-06-13,689.55417
2026-06-14,533.85708
2026-06-15,1370.62625
2026-06-16,1413.68458
2026-06-17,1095.89292
2026-06-18,764.41583
2026-06-19,631.88958
2026-06-20,573.40958
2026-06-21,378.00167
2026-06-22,908.94917
2026-06-23,1564.50250
2026-06-24,2111.62708
2026-06-25,1744.73125
2026-06-26,1729.21958
2026-06-27,1313.15208
2026-06-28,773.16625
2026-06-29,1729.08042
2026-06-30,2189.03583
2026-07-01,3287.75875
2026-07-02,3299.27875
2026-07-03,3194.62875
2026-07-04,2438.24750
2026-07-05,1430.85833
2026-07-06,2294.71167
2026-07-07,2712.16542
2026-07-08,2852.76042
2026-07-09,3218.70583
2026-07-10,3165.20625
2026-07-11,2501.60958
2026-07-12,2085.32417
2026-07-13,2630.26250
2026-07-14,2641.34500
2026-07-15,2274.10750
2026-07-16,2885.22500
2026-07-17,2790.90750
2026-07-18,2624.64500
2026-07-19,2501.67375
2026-07-20,3180.55542
2026-07-21,3077.65125
2026-07-22,3607.74708
2026-07-23,3185.80042
2026-07-24,3361.37292
2026-07-25,2428.62292
2026-07-26,2372.16917
2026-07-27,2875.53500
2026-07-28,2691.89542
2026-07-29,1850.37625
2026-07-30,2086.23958
2026-07-31,2140.63167
2026-08-01,2356.37625
2026-08-02,2325.26250
2026-08-03,3432.81833
2026-08-04,3193.20833
2026-08-05,3219.87292
2026-08-06,3280.59833
2026-08-07,3378.67625
2026-08-08,2753.64958
2026-08-09,1980.20625
2026-08-10,2749.05042
2026-08-11,3149.45708
2026-08-12,3045.54542
2026-08-13,2731.11042
2026-08-14,2737.39875
2026-08-15,2401.09583
2026-08-16,2502.89167
2026-08-17,3414.10042
2026-08-18,3371.30458
2026-08-19,3109.24833
2026-08-20,3083.75208
2026-08-21,3184.17583
2026-08-22,3433.62917
2026-08-23,2405.14292
2026-08-24,2732.45083
2026-08-25,3039.21375
2026-08-26,3634.98417
2026-08-27,3466.40500
2026-08-28,2926.32500
