date,value
2016-01-01,648689.21000
2016-01-02,702163.31000
2016-01-03,684922.57000
2016-01-04,794374.71000
2016-01-05,796268.42000
2016-01-06,782708.11000
2016-01-07,780305.48000
2016-01-08,775017.44000
2016-01-09,748184.63000
2016-01-10,674846.02000
2016-01-11,762830.67000
2016-01-12,764872.77000
2016-01-13,774584.07000
2016-01-14,784066.96000
2016-01-15,781958.01000
2016-01-16,746281.42000
2016-01-17,663657.21000
2016-01-18,780843.77000
2016-01-19,809196.68000
2016-01-20,819194.49000
2016-01-21,818856.40000
2016-01-22,812696.47000
2016-01-23,782900.57000
2016-01-24,696940.47000
2016-01-25,813896.19000
2016-01-26,838403.67000
2016-01-27,829632.01000
2016-01-28,829661.57000
2016-01-29,806796.85000
2016-01-30,758549.68000
2016-01-31,662382.97000
2016-02-01,763070.55000
2016-02-02,762948.04000
2016-02-03,758355.09000
2016-02-04,762177.55000
2016-02-05,773712.35000
2016-02-06,759895.26000
2016-02-07,678182.88000
2016-02-08,778011.29000
2016-02-09,785966.89000
2016-02-10,782078.38000
2016-02-11,788577.85000
2016-02-12,772396.10000
2016-02-13,729007.78000
2016-02-14,641764.14000
2016-02-15,715504.78000
2016-02-16,714304.97000
2016-02-17,712644.82000
2016-02-18,723173.14000
2016-02-19,728366.85000
2016-02-20,701995.85000
2016-02-21,635996.86000
2016-02-22,727771.33000
2016-02-23,734325.95000
2016-02-24,736243.50000
2016-02-25,747824.28000
2016-02-26,729003.40000
2016-02-27,697038.01000
2016-02-28,617088.64000
2016-02-29,695738.35000
2016-03-01,699355.39000
2016-03-02,706343.37000
2016-03-03,722919.69000
2016-03-04,726886.23000
2016-03-05,702405.26000
2016-03-06,620581.72000
2016-03-07,704301.36000
2016-03-08,711769.54000
2016-03-09,714081.90000
2016-03-10,720961.82000
2016-03-11,717059.39000
2016-03-12,691140.75000
2016-03-13,617828.61000
2016-03-14,729013.79000
2016-03-15,749531.61000
2016-03-16,754584.14000
2016-03-17,762313.08000
2016-03-18,750070.42000
2016-03-19,731769.88000
2016-03-20,646105.62000
2016-03-21,728348.88000
2016-03-22,732919.69000
2016-03-23,728007.43000
2016-03-24,726728.09000
2016-03-25,736984.16000
2016-03-26,721810.88000
2016-03-27,625205.21000
2016-03-28,746198.37000
2016-03-29,750703.70000
2016-03-30,746918.58000
2016-03-31,737733.40000
2016-04-01,726478.94000
2016-04-02,701733.07000
2016-04-03,624565.40000
2016-04-04,706629.88000
2016-04-05,725733.81000
2016-04-06,724573.33000
2016-04-07,728611.23000
2016-04-08,725773.86000
2016-04-09,693750.46000
2016-04-10,617176.72000
2016-04-11,715793.90000
2016-04-12,731988.42000
2016-04-13,725401.71000
2016-04-14,729469.56000
2016-04-15,727162.51000
2016-04-16,705384.07000
2016-04-17,630105.64000
2016-04-18,717333.56000
2016-04-19,724223.01000
2016-04-20,730890.03000
2016-04-21,733979.89000
2016-04-22,732809.98000
2016-04-23,666088.21000
2016-04-24,614353.63000
2016-04-25,726414.07000
2016-04-26,742228.52000
2016-04-27,744370.07000
2016-04-28,753444.67000
2016-04-29,753127.37000
2016-04-30,722228.16000
2016-05-01,622769.65000
2016-05-02,728730.94000
2016-05-03,737734.78000
2016-05-04,736819.28000
2016-05-05,741196.38000
2016-05-06,738443.87000
2016-05-07,705650.52000
2016-05-08,629695.96000
2016-05-09,722095.95000
2016-05-10,743847.22000
