date,value
2024-01-01,135.19000
2024-02-01,137.56000
2024-03-01,138.45000
2024-04-01,140.51000
2024-05-01,143.98000
2024-06-01,147.14000
2024-07-01,156.48000
2024-08-01,168.31000
2024-09-01,177.27000
2024-10-01,185.36000
2024-11-01,193.03000
2024-12-01,202.23000
2025-01-01,215.45000
2025-02-01,222.92000
2025-03-01,229.98000
2025-04-01,247.17000
2025-05-01,253.86000
2025-06-01,260.70000
2025-07-01,277.37000
2025-08-01,284.25000
2025-09-01,290.75000
2025-10-01,297.19000
2025-11-01,304.03000
2025-12-01,309.80000
2026-01-01,317.72000
2026-02-01,325.39000
2026-03-01,332.42000
2026-04-01,361.69000
2026-05-01,372.56000
2026-06-01,381.37000
2026-07-01,389.03000
2026-08-01,398.06000
