date,value
2024-01-01,148.37000
2024-02-01,155.37000
2024-03-01,160.07000
2024-04-01,173.56000
2024-05-01,177.14000
2024-06-01,180.92000
2024-07-01,185.39000
2024-08-01,189.66000
2024-09-01,195.01000
2024-10-01,199.73000
2024-11-01,202.93000
2024-12-01,208.16000
2025-01-01,225.45000
2025-02-01,234.50000
2025-03-01,234.47000
2025-04-01,241.91000
2025-05-01,245.95000
2025-06-01,250.83000
2025-07-01,256.09000
2025-08-01,257.09000
2025-09-01,263.69000
2025-10-01,274.16000
2025-11-01,277.91000
2025-12-01,286.91000
2026-01-01,304.75000
2026-02-01,310.07000
2026-03-01,314.48000
2026-04-01,319.43000
2026-05-01,332.65000
2026-06-01,336.81000
2026-07-01,342.00000
2026-08-01,344.45000
