date,value
2024-01-01,132.87000
2024-02-01,137.20000
2024-03-01,144.88000
2024-04-01,145.60000
2024-05-01,146.29000
2024-06-01,147.94000
2024-07-01,156.13000
2024-08-01,159.35000
2024-09-01,159.86000
2024-10-01,157.57000
2024-11-01,158.97000
2024-12-01,159.10000
2025-01-01,176.13000
2025-02-01,179.23000
2025-03-01,184.51000
2025-04-01,192.84000
2025-05-01,193.76000
2025-06-01,196.99000
2025-07-01,197.99000
2025-08-01,198.35000
2025-09-01,207.08000
2025-10-01,208.35000
2025-11-01,208.28000
2025-12-01,206.84000
2026-01-01,227.45000
2026-02-01,238.70000
2026-03-01,250.96000
2026-04-01,252.18000
2026-05-01,254.35000
2026-06-01,251.92000
2026-07-01,263.05000
2026-08-01,266.82000
