date,value
2011-09-01,119.94000
2011-10-01,120.49000
2011-11-01,119.29000
2011-12-01,119.89000
2012-01-01,120.21000
2012-02-01,117.76000
2012-03-01,119.58000
2012-04-01,119.21000
2012-05-01,118.89000
2012-06-01,118.01000
2012-07-01,116.65000
2012-08-01,116.53000
2012-09-01,118.90000
2012-10-01,119.77000
2012-11-01,117.46000
2012-12-01,118.54000
2013-01-01,118.85000
2013-02-01,119.41000
2013-03-01,119.59000
2013-04-01,118.49000
2013-05-01,119.86000
2013-06-01,124.53000
2013-07-01,126.74000
2013-08-01,129.49000
2013-09-01,133.46000
2013-10-01,132.61000
2013-11-01,133.87000
2013-12-01,137.68000
2014-01-01,145.57000
2014-02-01,145.67000
2014-03-01,145.93000
2014-04-01,141.24000
2014-05-01,138.95000
2014-06-01,139.69000
2014-07-01,140.56000
2014-08-01,142.20000
2014-09-01,142.64000
2014-10-01,143.49000
2014-11-01,140.85000
2014-12-01,141.30000
2015-01-01,139.20000
2015-02-01,143.87000
2015-03-01,146.87000
2015-04-01,149.82000
2015-05-01,152.10000
2015-06-01,154.37000
2015-07-01,152.40000
2015-08-01,159.55000
2015-09-01,165.83000
2015-10-01,162.39000
2015-11-01,156.14000
2015-12-01,156.70000
2016-01-01,159.13000
2016-02-01,157.77000
2016-03-01,156.62000
2016-04-01,155.91000
2016-05-01,160.62000
2016-06-01,159.89000
2016-07-01,160.83000
2016-08-01,162.25000
2016-09-01,162.35000
2016-10-01,166.93000
2016-11-01,175.34000
2016-12-01,184.48000
2017-01-01,197.86000
2017-02-01,196.02000
2017-03-01,196.96000
2017-04-01,197.04000
2017-05-01,195.31000
2017-06-01,195.04000
2017-07-01,199.41000
2017-08-01,201.15000
2017-09-01,201.40000
2017-10-01,209.97000
2017-11-01,220.94000
2017-12-01,220.92000
2018-01-01,221.79000
2018-02-01,225.56000
2018-03-01,230.61000
2018-04-01,239.83000
2018-05-01,255.18000
2018-06-01,263.95000
2018-07-01,270.88000
2018-08-01,320.07000
2018-09-01,352.54000
2018-10-01,326.29000
2018-11-01,298.74000
2018-12-01,294.81000
2019-01-01,300.20000
2019-02-01,294.84000
2019-03-01,304.97000
2019-04-01,320.00000
2019-05-01,333.41000
2019-06-01,322.62000
2019-07-01,315.10000
2019-08-01,310.67000
2019-09-01,313.22000
2019-10-01,316.88000
2019-11-01,315.45000
2019-12-01,321.15000
2020-01-01,328.82000
2020-02-01,331.35000
2020-03-01,342.89000
2020-04-01,361.61000
2020-05-01,366.94000
2020-06-01,370.43000
2020-07-01,376.50000
2020-08-01,404.59000
2020-09-01,417.06000
2020-10-01,436.32000
2020-11-01,445.15000
2020-12-01,441.77000
2021-01-01,435.72000
2021-02-01,425.01000
2021-03-01,456.68000
2021-04-01,489.30000
2021-05-01,512.24000
2021-06-01,532.39000
2021-07-01,534.20000
2021-08-01,529.26000
2021-09-01,537.48000
2021-10-01,580.11000
2021-11-01,658.34000
2021-12-01,828.95000
2022-01-01,855.93000
2022-02-01,876.07000
2022-03-01,939.92000
2022-04-01,964.46000
2022-05-01,1027.24000
2022-06-01,1121.55000
2022-07-01,1128.97000
2022-08-01,1158.76000
2022-09-01,1166.52000
2022-10-01,1182.20000
2022-11-01,1209.11000
2022-12-01,1242.60000
2023-01-01,1292.31000
2023-02-01,1297.75000
2023-03-01,1319.19000
2023-04-01,1351.19000
2023-05-01,1357.26000
2023-06-01,1569.22000
2023-07-01,1809.99000
2023-08-01,1845.26000
2023-09-01,1834.30000
2023-10-01,1859.04000
2023-11-01,1924.27000
2023-12-01,1968.23000
2024-01-01,2058.20000
2024-02-01,2107.26000
2024-03-01,2206.38000
2024-04-01,2236.60000
2024-05-01,2246.00000
2024-06-01,2267.70000
2024-07-01,2306.16000
2024-08-01,2374.22000
2024-09-01,2427.65000
2024-10-01,2429.73000
2024-11-01,2408.94000
2024-12-01,2430.77000
2025-01-01,2479.52000
2025-02-01,2530.37000
2025-03-01,2633.02000
2025-04-01,2749.17000
2025-05-01,2815.04000
2025-06-01,2911.28000
2025-07-01,2999.47000
2025-08-01,3039.16000
2025-09-01,3100.35000
2025-10-01,3128.21000
2025-11-01,3160.27000
2025-12-01,3219.70000
2026-01-01,3350.38000
2026-02-01,3429.99000
2026-03-01,3565.20000
2026-04-01,3713.37000
2026-05-01,3776.73000
2026-06-01,3794.26000
2026-07-01,3889.32000
2026-08-01,4029.84000
