date,value
2011-09-01,114.09000
2011-10-01,116.82000
2011-11-01,118.61000
2011-12-01,121.41000
2012-01-01,123.18000
2012-02-01,122.04000
2012-03-01,124.01000
2012-04-01,123.84000
2012-05-01,126.67000
2012-06-01,126.54000
2012-07-01,124.62000
2012-08-01,125.39000
2012-09-01,128.10000
2012-10-01,130.46000
2012-11-01,130.18000
2012-12-01,130.77000
2013-01-01,130.90000
2013-02-01,131.40000
2013-03-01,132.58000
2013-04-01,129.97000
2013-05-01,129.24000
2013-06-01,133.27000
2013-07-01,136.11000
2013-08-01,139.39000
2013-09-01,141.03000
2013-10-01,140.62000
2013-11-01,135.60000
2013-12-01,137.53000
2014-01-01,143.42000
2014-02-01,144.41000
2014-03-01,144.89000
2014-04-01,128.99000
2014-05-01,126.09000
2014-06-01,129.23000
2014-07-01,129.47000
2014-08-01,129.20000
2014-09-01,128.42000
2014-10-01,132.19000
2014-11-01,132.51000
2014-12-01,133.83000
2015-01-01,130.88000
2015-02-01,133.21000
2015-03-01,135.55000
2015-04-01,140.15000
2015-05-01,144.52000
2015-06-01,149.89000
2015-07-01,145.46000
2015-08-01,152.89000
2015-09-01,161.40000
2015-10-01,156.72000
2015-11-01,149.71000
2015-12-01,152.13000
2016-01-01,154.38000
2016-02-01,152.96000
2016-03-01,152.11000
2016-04-01,150.37000
2016-05-01,154.30000
2016-06-01,153.26000
2016-07-01,151.31000
2016-08-01,153.25000
2016-09-01,153.21000
2016-10-01,158.54000
2016-11-01,164.03000
2016-12-01,169.54000
2017-01-01,177.73000
2017-02-01,175.47000
2017-03-01,176.61000
2017-04-01,178.04000
2017-05-01,178.77000
2017-06-01,177.56000
2017-07-01,182.90000
2017-08-01,183.28000
2017-09-01,183.72000
2017-10-01,190.50000
2017-11-01,200.61000
2017-12-01,201.76000
2018-01-01,202.37000
2018-02-01,208.66000
2018-03-01,212.08000
2018-04-01,218.46000
2018-05-01,229.88000
2018-06-01,233.80000
2018-07-01,240.06000
2018-08-01,278.42000
2018-09-01,300.70000
2018-10-01,284.88000
2018-11-01,271.48000
2018-12-01,268.00000
2019-01-01,269.84000
2019-02-01,267.32000
2019-03-01,275.47000
2019-04-01,283.73000
2019-05-01,294.17000
2019-06-01,289.43000
2019-07-01,284.20000
2019-08-01,280.79000
2019-09-01,283.17000
2019-10-01,283.74000
2019-11-01,283.91000
2019-12-01,285.29000
2020-01-01,288.66000
2020-02-01,290.15000
2020-03-01,306.19000
2020-04-01,317.94000
2020-05-01,320.72000
2020-06-01,324.27000
2020-07-01,325.83000
2020-08-01,342.39000
2020-09-01,353.98000
2020-10-01,362.48000
2020-11-01,368.90000
2020-12-01,365.94000
2021-01-01,354.95000
2021-02-01,349.56000
2021-03-01,372.73000
2021-04-01,401.20000
2021-05-01,422.75000
2021-06-01,437.35000
2021-07-01,441.57000
2021-08-01,452.58000
2021-09-01,460.06000
2021-10-01,489.46000
2021-11-01,566.86000
2021-12-01,706.73000
2022-01-01,757.46000
2022-02-01,779.07000
2022-03-01,828.71000
2022-04-01,845.28000
2022-05-01,897.30000
2022-06-01,976.75000
2022-07-01,1008.24000
2022-08-01,1051.21000
2022-09-01,1097.17000
2022-10-01,1112.14000
2022-11-01,1157.52000
2022-12-01,1195.85000
2023-01-01,1174.27000
2023-02-01,1171.21000
2023-03-01,1194.35000
2023-04-01,1234.77000
2023-05-01,1260.66000
2023-06-01,1398.54000
2023-07-01,1575.52000
2023-08-01,1581.02000
2023-09-01,1571.26000
2023-10-01,1620.67000
2023-11-01,1695.08000
2023-12-01,1716.07000
2024-01-01,1774.21000
2024-02-01,1811.65000
2024-03-01,1859.39000
2024-04-01,1890.09000
2024-05-01,1896.63000
2024-06-01,1930.37000
2024-07-01,1958.01000
2024-08-01,2027.53000
2024-09-01,2051.66000
2024-10-01,2052.69000
2024-11-01,2008.80000
2024-12-01,2028.95000
2025-01-01,2060.17000
2025-02-01,2100.03000
2025-03-01,2251.04000
2025-04-01,2410.03000
2025-05-01,2477.46000
2025-06-01,2567.20000
2025-07-01,2667.46000
2025-08-01,2707.78000
2025-09-01,2745.99000
2025-10-01,2734.90000
2025-11-01,2731.45000
2025-12-01,2831.03000
2026-01-01,2878.00000
2026-02-01,2910.34000
2026-03-01,2925.10000
2026-04-01,2974.41000
2026-05-01,3068.10000
2026-06-01,3134.47000
2026-07-01,3185.55000
