date,value
2011-09-01,116.36000
2011-10-01,118.78000
2011-11-01,119.76000
2011-12-01,120.57000
2012-01-01,121.87000
2012-02-01,117.59000
2012-03-01,120.30000
2012-04-01,119.36000
2012-05-01,120.83000
2012-06-01,120.30000
2012-07-01,117.93000
2012-08-01,117.11000
2012-09-01,118.22000
2012-10-01,117.27000
2012-11-01,116.35000
2012-12-01,115.63000
2013-01-01,115.76000
2013-02-01,115.30000
2013-03-01,117.36000
2013-04-01,115.85000
2013-05-01,117.17000
2013-06-01,121.68000
2013-07-01,123.49000
2013-08-01,125.83000
2013-09-01,130.83000
2013-10-01,131.35000
2013-11-01,132.22000
2013-12-01,136.24000
2014-01-01,144.42000
2014-02-01,142.62000
2014-03-01,143.73000
2014-04-01,139.02000
2014-05-01,137.33000
2014-06-01,139.32000
2014-07-01,140.02000
2014-08-01,142.56000
2014-09-01,146.56000
2014-10-01,153.28000
2014-11-01,152.66000
2014-12-01,156.50000
2015-01-01,157.98000
2015-02-01,165.05000
2015-03-01,171.13000
2015-04-01,174.07000
2015-05-01,176.39000
2015-06-01,179.05000
2015-07-01,179.02000
2015-08-01,186.81000
2015-09-01,190.85000
2015-10-01,185.79000
2015-11-01,180.40000
2015-12-01,183.45000
2016-01-01,180.49000
2016-02-01,177.93000
2016-03-01,173.37000
2016-04-01,170.55000
2016-05-01,174.42000
2016-06-01,172.51000
2016-07-01,172.89000
2016-08-01,173.27000
2016-09-01,176.02000
2016-10-01,182.09000
2016-11-01,191.53000
2016-12-01,199.34000
2017-01-01,210.30000
2017-02-01,207.49000
2017-03-01,206.38000
2017-04-01,205.33000
2017-05-01,202.20000
2017-06-01,200.02000
2017-07-01,202.95000
2017-08-01,201.40000
2017-09-01,199.09000
2017-10-01,206.38000
2017-11-01,213.94000
2017-12-01,212.48000
2018-01-01,211.40000
2018-02-01,211.58000
2018-03-01,217.04000
2018-04-01,224.54000
2018-05-01,239.26000
2018-06-01,249.33000
2018-07-01,257.06000
2018-08-01,303.59000
2018-09-01,333.73000
2018-10-01,314.34000
2018-11-01,293.00000
2018-12-01,291.11000
2019-01-01,294.67000
2019-02-01,292.49000
2019-03-01,303.33000
2019-04-01,317.14000
2019-05-01,332.90000
2019-06-01,325.19000
2019-07-01,317.56000
2019-08-01,314.32000
2019-09-01,317.57000
2019-10-01,319.55000
2019-11-01,319.10000
2019-12-01,326.77000
2020-01-01,332.28000
2020-02-01,338.11000
2020-03-01,355.00000
2020-04-01,380.75000
2020-05-01,388.15000
2020-06-01,384.06000
2020-07-01,381.78000
2020-08-01,403.10000
2020-09-01,418.33000
2020-10-01,437.95000
2020-11-01,449.52000
2020-12-01,441.15000
2021-01-01,431.50000
2021-02-01,421.45000
2021-03-01,448.70000
2021-04-01,482.57000
2021-05-01,496.95000
2021-06-01,514.28000
2021-07-01,515.65000
2021-08-01,511.60000
2021-09-01,522.34000
2021-10-01,561.01000
2021-11-01,645.89000
2021-12-01,817.79000
2022-01-01,848.66000
2022-02-01,866.12000
2022-03-01,924.96000
2022-04-01,961.78000
2022-05-01,1035.84000
2022-06-01,1131.90000
2022-07-01,1154.93000
2022-08-01,1197.94000
2022-09-01,1230.55000
2022-10-01,1256.46000
2022-11-01,1266.94000
2022-12-01,1286.01000
2023-01-01,1335.15000
2023-02-01,1344.72000
2023-03-01,1356.17000
2023-04-01,1385.61000
2023-05-01,1395.38000
2023-06-01,1604.82000
2023-07-01,1795.75000
2023-08-01,1827.16000
2023-09-01,1849.58000
2023-10-01,1918.52000
2023-11-01,1993.35000
2023-12-01,2053.44000
2024-01-01,2153.88000
2024-02-01,2196.80000
2024-03-01,2309.51000
2024-04-01,2344.17000
2024-05-01,2354.92000
2024-06-01,2408.70000
2024-07-01,2439.99000
2024-08-01,2496.06000
2024-09-01,2548.25000
2024-10-01,2564.82000
2024-11-01,2578.40000
2024-12-01,2638.12000
2025-01-01,2696.05000
2025-02-01,2754.80000
2025-03-01,2837.44000
2025-04-01,2963.70000
2025-05-01,3020.86000
2025-06-01,3091.21000
2025-07-01,3179.96000
2025-08-01,3234.26000
2025-09-01,3338.45000
2025-10-01,3449.48000
2025-11-01,3537.29000
2025-12-01,3596.72000
2026-01-01,3712.74000
2026-02-01,3806.58000
2026-03-01,3844.16000
2026-04-01,3949.62000
2026-05-01,4014.51000
2026-06-01,4084.68000
2026-07-01,4123.24000
2026-08-01,4165.15000
