date,value
2011-09-01,107.51000
2011-10-01,107.08000
2011-11-01,110.52000
2011-12-01,107.51000
2012-01-01,108.30000
2012-02-01,102.41000
2012-03-01,104.51000
2012-04-01,104.57000
2012-05-01,105.70000
2012-06-01,103.57000
2012-07-01,102.03000
2012-08-01,102.09000
2012-09-01,104.89000
2012-10-01,105.84000
2012-11-01,105.69000
2012-12-01,110.03000
2013-01-01,112.49000
2013-02-01,116.16000
2013-03-01,116.11000
2013-04-01,114.61000
2013-05-01,116.99000
2013-06-01,122.26000
2013-07-01,124.80000
2013-08-01,127.96000
2013-09-01,133.71000
2013-10-01,130.18000
2013-11-01,132.24000
2013-12-01,135.54000
2014-01-01,145.64000
2014-02-01,147.38000
2014-03-01,147.85000
2014-04-01,144.34000
2014-05-01,142.47000
2014-06-01,143.60000
2014-07-01,143.47000
2014-08-01,144.30000
2014-09-01,144.47000
2014-10-01,146.85000
2014-11-01,145.61000
2014-12-01,147.57000
2015-01-01,148.15000
2015-02-01,161.20000
2015-03-01,161.11000
2015-04-01,163.61000
2015-05-01,165.04000
2015-06-01,168.23000
2015-07-01,166.37000
2015-08-01,174.85000
2015-09-01,183.31000
2015-10-01,179.94000
2015-11-01,173.85000
2015-12-01,177.11000
2016-01-01,179.48000
2016-02-01,176.69000
2016-03-01,174.80000
2016-04-01,172.74000
2016-05-01,178.94000
2016-06-01,179.05000
2016-07-01,182.69000
2016-08-01,180.19000
2016-09-01,181.09000
2016-10-01,184.14000
2016-11-01,196.13000
2016-12-01,207.39000
2017-01-01,218.67000
2017-02-01,214.51000
2017-03-01,216.29000
2017-04-01,213.84000
2017-05-01,212.65000
2017-06-01,206.97000
2017-07-01,210.22000
2017-08-01,208.58000
2017-09-01,206.72000
2017-10-01,217.58000
2017-11-01,229.30000
2017-12-01,226.91000
2018-01-01,223.57000
2018-02-01,224.98000
2018-03-01,233.78000
2018-04-01,246.99000
2018-05-01,264.46000
2018-06-01,277.28000
2018-07-01,283.66000
2018-08-01,336.08000
2018-09-01,378.48000
2018-10-01,353.59000
2018-11-01,324.14000
2018-12-01,316.35000
2019-01-01,320.75000
2019-02-01,315.74000
2019-03-01,328.60000
2019-04-01,344.65000
2019-05-01,367.04000
2019-06-01,354.21000
2019-07-01,348.47000
2019-08-01,344.82000
2019-09-01,348.87000
2019-10-01,354.51000
2019-11-01,350.90000
2019-12-01,357.18000
2020-01-01,362.13000
2020-02-01,367.22000
2020-03-01,382.00000
2020-04-01,409.76000
2020-05-01,414.49000
2020-06-01,413.66000
2020-07-01,416.40000
2020-08-01,444.02000
2020-09-01,458.09000
2020-10-01,484.78000
2020-11-01,496.53000
2020-12-01,482.51000
2021-01-01,470.55000
2021-02-01,452.35000
2021-03-01,477.48000
2021-04-01,507.85000
2021-05-01,523.77000
2021-06-01,541.60000
2021-07-01,543.37000
2021-08-01,536.42000
2021-09-01,539.30000
2021-10-01,569.85000
2021-11-01,645.92000
2021-12-01,814.63000
2022-01-01,870.39000
2022-02-01,906.85000
2022-03-01,960.04000
2022-04-01,981.53000
2022-05-01,1053.42000
2022-06-01,1151.64000
2022-07-01,1183.00000
2022-08-01,1252.11000
2022-09-01,1284.54000
2022-10-01,1304.41000
2022-11-01,1322.53000
2022-12-01,1342.32000
2023-01-01,1383.99000
2023-02-01,1403.81000
2023-03-01,1442.69000
2023-04-01,1462.85000
2023-05-01,1504.08000
2023-06-01,1712.36000
2023-07-01,1956.07000
2023-08-01,2023.73000
2023-09-01,2001.06000
2023-10-01,2053.63000
2023-11-01,2115.99000
2023-12-01,2158.15000
2024-01-01,2164.86000
2024-02-01,2235.70000
2024-03-01,2339.25000
2024-04-01,2364.86000
2024-05-01,2377.94000
2024-06-01,2397.41000
2024-07-01,2427.68000
2024-08-01,2491.20000
2024-09-01,2563.53000
2024-10-01,2570.97000
2024-11-01,2525.06000
2024-12-01,2579.23000
2025-01-01,2656.42000
2025-02-01,2723.64000
2025-03-01,2828.87000
2025-04-01,2925.15000
2025-05-01,2977.64000
2025-06-01,3042.15000
2025-07-01,3133.96000
2025-08-01,3156.87000
2025-09-01,3214.27000
2025-10-01,3196.28000
2025-11-01,3248.70000
2025-12-01,3294.07000
2026-01-01,3372.32000
2026-02-01,3443.85000
2026-03-01,3587.90000
2026-04-01,3588.29000
2026-05-01,3772.27000
2026-06-01,3783.46000
2026-07-01,3887.10000
