date,value
2011-09-01,129.69000
2011-10-01,131.26000
2011-11-01,136.75000
2011-12-01,147.20000
2012-01-01,148.32000
2012-02-01,148.32000
2012-03-01,148.32000
2012-04-01,148.32000
2012-05-01,150.84000
2012-06-01,150.84000
2012-07-01,150.84000
2012-08-01,151.91000
2012-09-01,151.91000
2012-10-01,151.91000
2012-11-01,149.92000
2012-12-01,149.92000
2013-01-01,159.02000
2013-02-01,160.68000
2013-03-01,160.68000
2013-04-01,160.68000
2013-05-01,160.68000
2013-06-01,160.15000
2013-07-01,159.92000
2013-08-01,159.92000
2013-09-01,159.92000
2013-10-01,161.23000
2013-11-01,162.29000
2013-12-01,163.11000
2014-01-01,164.68000
2014-02-01,163.63000
2014-03-01,163.63000
2014-04-01,163.63000
2014-05-01,168.51000
2014-06-01,168.51000
2014-07-01,170.53000
2014-08-01,170.30000
2014-09-01,163.19000
2014-10-01,163.19000
2014-11-01,163.19000
2014-12-01,163.38000
2015-01-01,159.79000
2015-02-01,165.46000
2015-03-01,165.46000
2015-04-01,167.04000
2015-05-01,167.04000
2015-06-01,167.04000
2015-07-01,166.90000
2015-08-01,167.13000
2015-09-01,167.50000
2015-10-01,167.50000
2015-11-01,175.28000
2015-12-01,179.18000
2016-01-01,173.40000
2016-02-01,173.97000
2016-03-01,177.60000
2016-04-01,178.34000
2016-05-01,179.82000
2016-06-01,179.82000
2016-07-01,184.70000
2016-08-01,200.17000
2016-09-01,200.70000
2016-10-01,201.78000
2016-11-01,201.78000
2016-12-01,196.70000
2017-01-01,192.19000
2017-02-01,199.24000
2017-03-01,206.67000
2017-04-01,215.24000
2017-05-01,219.48000
2017-06-01,219.48000
2017-07-01,219.48000
2017-08-01,215.86000
2017-09-01,214.05000
2017-10-01,214.05000
2017-11-01,214.05000
2017-12-01,217.70000
2018-01-01,219.84000
2018-02-01,219.84000
2018-03-01,219.84000
2018-04-01,219.84000
2018-05-01,219.84000
2018-06-01,219.84000
2018-07-01,244.22000
2018-08-01,260.31000
2018-09-01,260.43000
2018-10-01,261.65000
2018-11-01,272.49000
2018-12-01,277.91000
2019-01-01,191.11000
2019-02-01,191.11000
2019-03-01,191.11000
2019-04-01,207.98000
2019-05-01,229.33000
2019-06-01,229.37000
2019-07-01,223.49000
2019-08-01,309.01000
2019-09-01,325.87000
2019-10-01,333.91000
2019-11-01,336.72000
2019-12-01,347.87000
2020-01-01,314.18000
2020-02-01,290.25000
2020-03-01,279.39000
2020-04-01,279.39000
2020-05-01,280.66000
2020-06-01,281.29000
2020-07-01,275.13000
2020-08-01,281.13000
2020-09-01,281.13000
2020-10-01,281.15000
2020-11-01,265.48000
2020-12-01,286.04000
2021-01-01,330.21000
2021-02-01,330.21000
2021-03-01,330.21000
2021-04-01,361.40000
2021-05-01,368.00000
2021-06-01,368.00000
2021-07-01,383.12000
2021-08-01,383.12000
2021-09-01,383.12000
2021-10-01,457.37000
2021-11-01,457.39000
2021-12-01,499.54000
2022-01-01,593.32000
2022-02-01,600.42000
2022-03-01,667.98000
2022-04-01,701.76000
2022-05-01,741.59000
2022-06-01,735.54000
2022-07-01,816.50000
2022-08-01,936.89000
2022-09-01,936.89000
2022-10-01,952.38000
2022-11-01,983.36000
2022-12-01,983.36000
2023-01-01,1107.76000
2023-02-01,1111.93000
2023-03-01,1111.93000
2023-04-01,1052.23000
2023-05-01,1052.23000
2023-06-01,1168.22000
2023-07-01,1178.28000
2023-08-01,1190.78000
2023-09-01,1696.35000
2023-10-01,1457.16000
2023-11-01,1545.22000
2023-12-01,1574.05000
2024-01-01,1678.30000
2024-02-01,1678.52000
2024-03-01,1678.52000
2024-04-01,1877.65000
2024-05-01,1988.39000
2024-06-01,1998.32000
2024-07-01,1944.41000
2024-08-01,2193.20000
2024-09-01,2375.18000
2024-10-01,2303.91000
2024-11-01,2303.91000
2024-12-01,2303.91000
2025-01-01,2306.34000
2025-02-01,2306.34000
2025-03-01,2641.05000
2025-04-01,2766.65000
2025-05-01,2766.65000
2025-06-01,2766.65000
2025-07-01,2583.90000
2025-08-01,2930.21000
2025-09-01,2930.21000
2025-10-01,3054.95000
2025-11-01,3326.21000
2025-12-01,3326.21000
2026-01-01,3285.56000
2026-02-01,3519.45000
2026-03-01,4105.52000
2026-04-01,4147.02000
2026-05-01,3706.32000
2026-06-01,3894.88000
2026-07-01,3448.73000
2026-08-01,3773.30000
