date,fiyat,pay,hesap,buyukluk
2024-09-02,0.066528,55318846208.338,654953,3680239185.1
2024-09-03,0.067054,55274105790.847,654876,3706362416.38
2024-09-04,0.067051,55397013671.949,656213,3714437127.57
2024-09-05,0.066952,55436135224.096,655886,3711567761.83
2024-09-06,0.066843,55528011725.078,656214,3711674597.05
2024-09-09,0.066643,55606408419.143,657362,3705802526.98
2024-09-10,0.066644,55727983132.771,658990,3713924550.1
2024-09-11,0.066697,55925264012.525,660917,3730026714.99
2024-09-12,0.066528,56011481022.165,660530,3726355072.52
2024-09-13,0.066656,56081775771.628,661296,3738186434.67
2024-09-16,0.066843,56079199691.622,661505,3748474742.24
2024-09-17,0.066697,56061090107.444,661602,3739079754.1
2024-09-18,0.067075,56110265244.847,661602,3763611800.39
2024-09-19,0.067168,56214438848.926,662956,3775828087.89
2024-09-20,0.067524,56315161884.708,663427,3802646549.16
2024-09-23,0.067593,56258624257.613,663249,3802716639.3
2024-09-24,0.06773,56213888954.061,663544,3807374863.96
2024-09-25,0.068085,56183859750.779,664062,3825267602.14
2024-09-26,0.067925,56099057646.966,663649,3810553714.6
2024-09-27,0.067814,56035577435.102,663874,3799985315.52
2024-09-30,0.067797,55990648611.235,664029,3796017401.3
2024-10-01,0.067747,55983726027.606,664302,3792713371.39
2024-10-02,0.067536,56129571274.317,665159,3790740015.88
2024-10-03,0.066945,56300367946.742,664808,3769037145.34
2024-10-04,0.066657,56451343393.033,665379,3762892659.84
2024-10-07,0.066973,56545717686.55,666356,3787021175.45
2024-10-08,0.066839,56593518354.52,666649,3782637516.54
2024-10-09,0.06683,56851683571.166,670282,3799373338.57
2024-10-10,0.067147,56934065990.998,669950,3822931094.54
2024-10-11,0.067034,57000590770.715,670654,3820991433.15
2024-10-14,0.067046,56979070429.902,671007,3820226377.57
2024-10-15,0.066765,56980202390.342,671007,3804304302.23
2024-10-16,0.066877,57002446552.071,672296,3812131197.37
2024-10-17,0.067075,57052634505.892,671959,3826833709.85
2024-10-18,0.067033,57203530234.41,672404,3834496726.34
2024-10-21,0.066665,57404005007.774,673914,3826824442.3
2024-10-22,0.066469,57421148009.931,674102,3816754725.24
2024-10-23,0.06679,57414729056.257,674572,3834724226.92
2024-10-24,0.066639,57362958616.444,674273,3822616161.65
