date,fiyat,pay,hesap,buyukluk
2024-09-02,0.339732,2264284720.0,20830,769249271.45
2024-09-03,0.338706,2264284720.0,20843,766926073.92
2024-09-04,0.337242,2265424387.0,21085,763995452.84
2024-09-05,0.33237,2260522473.0,21143,751328735.45
2024-09-06,0.331171,2258683763.0,21064,748009945.16
2024-09-09,0.329215,2257165396.0,21062,743092453.5
2024-09-10,0.327224,2246793963.0,21081,735205326.46
2024-09-11,0.326314,2275179025.0,21078,742422568.31
2024-09-12,0.326353,2265116259.0,20997,739227117.35
2024-09-13,0.327485,2257719161.0,20956,739368235.9
2024-09-16,0.329475,2226637226.0,20908,733620851.53
2024-09-17,0.331439,2221899886.0,20903,736424603.7
2024-09-18,0.333405,2164563744.0,20914,721677107.94
2024-09-19,0.332025,2159583112.0,20838,717034873.71
2024-09-20,0.335811,2153982643.0,20815,723330427.39
2024-09-23,0.33319,2154521135.0,20809,717865905.96
2024-09-24,0.331186,2155777708.0,20826,713963657.32
2024-09-25,0.335023,2152856025.0,20843,721257143.15
2024-09-26,0.336307,2148026798.0,20765,722395833.92
2024-09-27,0.339197,2143635109.0,20723,727114980.44
2024-09-30,0.340388,2145725715.0,20696,730378742.18
2024-10-01,0.340072,2146015668.0,20706,729800362.69
2024-10-02,0.336839,2113111165.0,20712,711779199.44
2024-10-03,0.335974,2112666735.0,20662,709801347.37
2024-10-04,0.332583,2103737000.0,20625,699667291.11
2024-10-07,0.332561,2101880687.0,20558,699002909.44
2024-10-08,0.332563,2100550322.0,20545,698565660.56
2024-10-09,0.331602,2089107084.0,20539,692752093.5
2024-10-10,0.331477,2085287275.0,20476,691223772.21
2024-10-11,0.33248,2081553946.0,20421,692075639.5
2024-10-14,0.333227,2080366350.0,20378,693233249.35
2024-10-15,0.335388,2077742950.0,20338,696850736.14
2024-10-16,0.333708,2070867966.0,20319,691065167.48
2024-10-17,0.328364,2032046250.0,20207,667250386.18
2024-10-18,0.329078,2026098278.0,20123,666745223.76
2024-10-21,0.330888,2025543594.0,20051,670228248.34
2024-10-22,0.330848,2019538281.0,20011,668159774.42
2024-10-23,0.328114,2012693214.0,19967,660392014.36
2024-10-24,0.32668,2004916585.0,19863,654967071.49
2024-10-25,0.328149,2003522504.0,19789,657453175.28
2024-10-28,0.327012,2000506956.0,19715,654189664.56
2024-10-30,0.327934,1998612560.0,19687,655413213.34
2024-10-31,0.323151,1995061179.0,19673,644705592.46
2024-11-01,0.320655,1977636153.0,19638,634138479.2
2024-11-04,0.322651,1966305322.0,19555,634431058.44
2024-11-05,0.324969,1963435888.0,19492,638055549.14
2024-11-06,0.32295,1957972901.0,19440,632326409.41
2024-11-07,0.320994,1956000168.0,19352,627864945.0
2024-11-08,0.316212,1952433135.0,19306,617383652.99
2024-11-11,0.316913,1950663936.0,19259,618191534.67
2024-11-12,0.316469,1940870989.0,19230,614225859.16
2024-11-13,0.312069,1933671407.0,19181,603438749.53
2024-11-14,0.308765,1919038286.0,19092,592532422.74
2024-11-15,0.30928,1912310455.0,19037,591438887.62
2024-11-18,0.309434,1901704701.0,18985,588451180.27
2024-11-19,0.307724,1900565985.0,18946,584850687.08
2024-11-20,0.307573,1895346225.0,18921,582957368.35
2024-11-21,0.309043,1888268406.0,18826,583556617.4
2024-11-22,0.306578,1884020474.0,18771,577599564.26
2024-11-25,0.307182,1882173865.0,18729,578170252.97
2024-11-26,0.311078,1877890627.0,18722,584170357.95
2024-11-27,0.310572,1872653588.0,18681,581593825.67
2024-11-28,0.309126,1870384722.0,18681,578184302.08
2024-11-29,0.311736,1870384722.0,18603,583065365.44
2024-12-02,0.312355,1868578689.0,18566,583659341.97
2024-12-03,0.314669,1862965000.0,18543,586216910.72
