date,fiyat,pay,hesap,buyukluk
2024-09-02,0.105672,10672970617.748,41108,1127830197.0
2024-09-03,0.106603,10677500168.204,41142,1138249288.21
2024-09-04,0.106445,10672430719.628,41157,1136022709.88
2024-09-05,0.106191,10675605318.29,41143,1133654285.68
2024-09-06,0.106126,10673789059.91,41112,1132767654.9
2024-09-09,0.105928,10645832734.425,41085,1127692747.12
2024-09-10,0.105594,10627659484.149,41058,1122222388.51
2024-09-11,0.105623,10622597755.52,41066,1121987499.42
2024-09-12,0.105031,10621149074.37,41048,1115547348.53
2024-09-13,0.105078,10604537418.377,40979,1114306008.57
2024-09-16,0.105529,10597753723.274,40965,1118373671.71
2024-09-17,0.105331,10576122144.208,40943,1113998541.26
2024-09-18,0.105911,10527425985.791,40925,1114973897.73
2024-09-19,0.105885,10554952050.424,40901,1117606212.3
2024-09-20,0.106351,10506582732.301,40893,1117387338.88
2024-09-23,0.106144,10506761606.067,40883,1115230157.05
2024-09-24,0.106421,10472969128.492,40843,1114540669.13
2024-09-25,0.106664,10451430809.618,40805,1114788669.69
2024-09-26,0.105989,10441278626.631,40800,1106656571.62
2024-09-27,0.105867,10425353335.445,40782,1103705126.03
2024-09-30,0.106011,10417198232.761,40756,1104339363.36
2024-10-01,0.106088,10413152910.588,40727,1104705831.7
2024-10-02,0.105381,10403011005.054,40691,1096278267.56
2024-10-03,0.104531,10410574507.946,40716,1088223575.31
2024-10-04,0.104506,10403627706.321,40685,1087241458.73
2024-10-07,0.105513,10389507115.609,40658,1096230171.6
2024-10-08,0.105418,10379550460.055,40663,1094189470.82
2024-10-09,0.105589,10401745328.129,40668,1098310418.23
2024-10-10,0.105593,10382368836.415,40628,1096301354.13
2024-10-11,0.10541,10369851072.302,40600,1093089161.83
2024-10-14,0.105338,10369057710.713,40596,1092253910.46
2024-10-15,0.104667,10355929562.905,40596,1083919123.34
2024-10-16,0.105027,10336570992.276,40556,1085616417.97
2024-10-17,0.105199,10318613599.165,40516,1085508230.7
2024-10-18,0.105252,10322154083.487,40560,1086432065.59
2024-10-21,0.104917,10328884713.702,40544,1083677715.66
2024-10-22,0.104289,10346458029.308,40504,1079021529.89
2024-10-23,0.104746,10343536993.644,40491,1083445083.14
2024-10-24,0.104483,10340493653.109,40481,1080410792.01
2024-10-25,0.104977,10327333601.272,40424,1084134294.24
2024-10-28,0.105269,10306990873.066,40415,1085006917.33
2024-10-30,0.105481,10312211463.778,40431,1087739263.72
2024-10-31,0.105695,10308852927.145,40413,1089594972.97
2024-11-01,0.105661,10303809954.829,40402,1088710140.14
2024-11-04,0.106261,10310481745.166,40387,1095604787.7
2024-11-05,0.10531,10311204186.587,40395,1085874086.49
2024-11-06,0.105216,10284085598.762,40381,1082048892.76
2024-11-07,0.105966,10277780134.423,40365,1089093109.12
2024-11-08,0.106317,10352432208.052,40354,1100642491.54
2024-11-11,0.107102,10362699086.149,40359,1109869337.34
2024-11-12,0.107637,10356763131.092,40369,1114768376.6
2024-11-13,0.107545,10352909716.609,40365,1113403400.69
2024-11-14,0.107728,10399864561.53,40358,1120355580.35
2024-11-15,0.108107,10368387078.146,40344,1120896157.92
2024-11-18,0.108254,10383918053.939,40350,1124100180.88
2024-11-19,0.1084,10406296637.41,40337,1128039512.54
2024-11-20,0.108887,10400764458.739,40312,1132507025.87
2024-11-21,0.108406,10388635710.776,40274,1126194629.02
2024-11-22,0.109408,10375600910.211,40244,1135171269.49
2024-11-25,0.110179,10278945694.889,40210,1132523694.45
2024-11-26,0.110731,10263572791.202,40171,1136494847.09
2024-11-27,0.110436,10284694820.312,40174,1135803000.62
2024-11-28,0.110371,10277689896.709,40157,1134362386.58
2024-11-29,0.110648,10276178716.527,40139,1137035232.12
2024-12-02,0.11103,10274644275.957,40110,1140790973.89
2024-12-03,0.111343,10288826517.868,40099,1145585633.39
2024-12-04,0.111788,10295252889.696,40123,1150882686.62
2024-12-05,0.111913,10278966475.678,40111,1150353016.29
2024-12-06,0.112113,10274632758.924,40119,1151916220.74
2024-12-09,0.112471,10278821793.948,40138,1156073305.26
2024-12-10,0.11366,10288181507.021,40136,1169357491.18
2024-12-11,0.113611,10290489612.566,40120,1169113000.34
2024-12-12,0.113984,10305935773.014,40137,1174712662.59
2024-12-13,0.113893,10313828274.312,40141,1174677001.78
2024-12-16,0.1142,10304914135.328,40137,1176819347.45
2024-12-17,0.1138,10303576614.983,40119,1172546546.17
2024-12-18,0.114109,10304469400.744,40145,1175829000.67
2024-12-19,0.113837,10292209856.323,40125,1171631955.83
2024-12-20,0.113404,10297316747.684,40146,1167759347.41
2024-12-23,0.113425,10360605453.496,40123,1175148693.56
2024-12-24,0.113395,10361533892.283,40111,1174942596.08
2024-12-25,0.113553,10378104345.425,40104,1178468195.39
2024-12-26,0.113965,10387702960.509,40129,1183835564.15
2024-12-27,0.114174,10396138721.723,40129,1186968324.93
2024-12-30,0.114833,10415800260.315,40138,1196079594.45
2024-12-31,0.114916,10421676773.057,40144,1197615068.87
2025-01-02,0.114103,10418930506.618,40139,1188826232.75
2025-01-03,0.115139,10446406318.799,40161,1202791668.79
2025-01-06,0.115464,10454605419.932,40169,1207133282.39
2025-01-07,0.11562,10465023362.633,40181,1209963840.87
2025-01-08,0.11561,10459670687.444,40214,1209243191.35
2025-01-09,0.115409,10469529294.473,40228,1208275909.74
2025-01-10,0.115926,10470974485.005,40216,1213857628.52
2025-01-13,0.11616,10462735083.818,40216,1215348820.88
2025-01-14,0.115857,10454314110.202,40206,1211207301.73
2025-01-15,0.115821,10435692659.217,40180,1208672384.18
2025-01-16,0.116003,10432592162.373,40168,1210207103.21
2025-01-17,0.11639,10416379755.067,40139,1212365506.46
2025-01-20,0.116877,10352241092.606,40121,1209943266.93
