date,fiyat,pay,hesap,buyukluk
2024-09-02,0.098817,4248221894.746,56916,419794903.58
2024-09-03,0.098929,4251776901.445,56910,420624585.28
2024-09-04,0.098731,4252287490.532,56939,419833416.5
2024-09-05,0.098679,4243583753.093,56938,418752745.0
2024-09-06,0.099095,4240089936.369,56913,420172256.71
2024-09-09,0.099001,4239810819.819,56918,419745909.37
2024-09-10,0.098784,4232834484.531,56898,418134860.27
2024-09-11,0.098693,4236549752.595,56888,418119415.71
2024-09-12,0.099231,4236292757.379,56882,420371247.05
2024-09-13,0.09908,4226015286.242,56868,418715179.11
2024-09-16,0.099243,4222696956.103,56840,419074866.92
2024-09-17,0.09958,4225940079.742,56840,420819685.7
2024-09-18,0.099865,4224928974.01,56814,421922435.36
2024-09-19,0.099829,4218013208.658,56779,421081843.0
2024-09-20,0.100102,4216358847.259,56759,422064232.92
2024-09-23,0.100573,4203485329.57,56749,422757529.91
2024-09-24,0.101063,4204732944.804,56754,424942144.99
2024-09-25,0.100947,4199500450.277,56720,423929060.91
2024-09-26,0.101373,4192308070.439,56714,424987151.23
2024-09-27,0.101446,4190422223.803,56698,425099752.19
2024-09-30,0.102084,4192481564.236,56693,427985064.37
2024-10-01,0.102394,4193437356.719,56693,429383702.57
2024-10-02,0.102316,4192566715.528,56689,428966232.84
2024-10-03,0.101508,4197949681.124,56722,426127379.78
2024-10-04,0.101501,4202337195.154,56718,426540726.7
2024-10-07,0.101792,4203883171.502,56675,427921533.81
2024-10-08,0.102059,4207693765.818,56673,429433800.65
2024-10-09,0.101848,4209784192.538,56663,428756861.18
2024-10-10,0.101797,4206284058.805,56649,428186083.27
2024-10-11,0.102429,4199700235.051,56645,430172874.65
2024-10-14,0.102364,4205740048.372,56629,430515834.43
2024-10-15,0.101925,4211190730.241,56635,429225630.61
2024-10-16,0.102893,4213146756.7,56632,433503488.55
2024-10-17,0.102572,4199830322.977,56609,430785219.07
2024-10-18,0.10316,4188973232.39,56583,432134732.21
2024-10-21,0.103228,4183459383.325,56575,431848363.28
2024-10-22,0.103658,4184742301.904,56576,433783512.14
2024-10-23,0.103693,4176887672.139,56581,433114749.05
2024-10-24,0.104103,4170584820.578,56538,434168993.62
2024-10-25,0.103312,4169726679.027,56536,430782623.48
2024-10-28,0.104261,4169459017.239,56537,434713947.28
2024-10-30,0.104423,4180551220.815,56527,436545388.44
2024-10-31,0.104451,4195763572.008,56540,438251656.59
2024-11-01,0.104677,4196298182.288,56542,439254920.64
2024-11-04,0.10495,4199049785.175,56537,440689590.12
2024-11-05,0.104473,4199485397.093,56639,438734423.35
2024-11-06,0.104481,4202998102.965,56643,439135082.55
2024-11-07,0.104257,4205809703.475,56619,438486436.27
2024-11-08,0.104198,4200949164.233,56605,437730274.7
2024-11-11,0.104498,4206131525.09,56589,439531929.79
2024-11-12,0.104308,4242911386.527,56553,442569453.93
2024-11-13,0.104459,4242309067.994,56554,443145770.97
2024-11-14,0.103926,4239156735.876,56546,440558662.39
2024-11-15,0.103678,4247676458.583,56535,440391332.55
2024-11-18,0.104337,4248523071.161,56532,443279635.58
2024-11-19,0.104237,4235444360.797,56495,441491361.7
2024-11-20,0.105471,4245695637.741,56495,447799451.64
2024-11-21,0.105121,4250541506.528,56498,446822498.33
2024-11-22,0.10532,4247375821.179,56470,447333098.21
2024-11-25,0.10641,4252981605.74,56461,452558789.24
2024-11-26,0.105475,4250404684.576,56451,448310747.47
2024-11-27,0.105911,4242933147.065,56423,449375178.82
2024-11-28,0.106187,4242058206.327,56418,450451557.43
2024-11-29,0.106168,4243242645.898,56420,450497353.54
2024-12-02,0.10589,4242252932.647,56417,449213463.76
2024-12-03,0.106161,4244203458.952,56414,450570586.85
2024-12-04,0.106554,4251185223.521,56464,452980981.21
2024-12-05,0.106676,4249309611.05,56456,453298328.87
2024-12-06,0.106427,4246311757.668,56413,451920621.66
2024-12-09,0.106878,4240552905.701,56403,453220988.57
2024-12-10,0.106953,4246549112.027,56407,454182565.85
2024-12-11,0.107521,4244880517.573,56400,456415781.53
2024-12-12,0.10757,4244651057.022,56383,456597250.07
2024-12-13,0.10783,4244718874.38,56369,457707240.61
2024-12-16,0.107919,4240320807.994,56367,457611857.89
2024-12-17,0.107921,4246195717.478,56358,458251639.26
2024-12-18,0.107678,4252248345.248,56365,457871723.31
2024-12-19,0.107844,4244046229.705,56344,457696892.02
2024-12-20,0.107531,4243892308.295,56348,456349335.9
2024-12-23,0.10763,4242815050.269,56347,456654891.94
2024-12-24,0.108019,4236351778.033,56343,457608589.09
2024-12-25,0.107968,4238401232.907,56328,457611140.63
2024-12-26,0.108569,4238966278.145,56311,460221421.78
2024-12-27,0.10905,4246102916.201,56306,463039644.2
2024-12-30,0.109364,4236446204.633,56296,463316461.47
2024-12-31,0.109466,4242336987.734,56325,464389788.08
2025-01-02,0.109456,4256877701.065,56346,465942322.59
2025-01-03,0.112026,4274568537.139,56372,478862558.36
2025-01-06,0.112425,4296464276.333,56419,483030140.68
2025-01-07,0.111993,4291535460.135,56421,480621329.23
2025-01-08,0.112081,4330910376.401,56379,485410799.58
2025-01-09,0.112178,4328131849.273,56377,485520567.96
2025-01-10,0.112332,4333283320.969,56369,486766600.93
2025-01-13,0.112651,4336559160.209,56373,488519626.95
2025-01-14,0.112137,4345801159.497,56380,487325034.11
2025-01-15,0.112031,4337391675.346,56370,485923809.03
2025-01-16,0.112184,4338187076.998,56345,486675353.48
2025-01-17,0.11242,4345638786.438,56349,488537588.94
2025-01-20,0.112673,4345851946.164,56342,489661667.72
2025-01-21,0.112627,4347008841.818,56345,489590673.92
2025-01-22,0.112824,4352048716.091,56338,491017650.48
2025-01-23,0.113071,4352994648.785,56326,492196347.47
2025-01-24,0.113159,4331289105.043,56319,490125658.84
2025-01-27,0.113416,4328051621.259,56320,490871309.53
2025-01-28,0.113482,4338158173.614,56293,492302355.53
2025-01-29,0.113369,4341487382.863,56296,492188941.56
2025-01-30,0.113491,4354048240.812,56288,494143406.91
2025-01-31,0.11362,4356286991.549,56286,494961198.18
2025-02-03,0.114122,4363193480.526,56288,497934999.82
2025-02-04,0.114157,4372361341.328,56300,499135235.8
2025-02-05,0.114584,4377451235.24,56372,501586101.24
2025-02-06,0.114951,4375766465.796,56369,503000357.98
2025-02-07,0.114938,4375342680.473,56318,502891125.1
2025-02-10,0.115165,4383761134.358,56313,504857220.48
2025-02-11,0.11552,4386528551.84,56307,506731163.5
2025-02-12,0.115613,4385516714.707,56286,507024280.7
2025-02-13,0.115326,4379579387.526,56253,505077606.82
2025-02-14,0.115738,4378509628.116,56243,506759139.85
2025-02-17,0.115928,4382000822.666,56244,507994933.6
2025-02-18,0.115536,4386863916.638,56223,506839455.04
2025-02-19,0.116404,4375461917.077,56162,509322461.66
2025-02-20,0.116735,4367997835.27,56152,509899719.34
2025-02-21,0.116691,4365313829.798,56140,509393936.26
2025-02-24,0.11711,4372830830.661,56127,512103169.13
2025-02-25,0.117259,4376556069.466,56107,513189345.96
