date,fiyat,pay,hesap,buyukluk
2024-09-02,0.626753,16595104682.789,326071,10401023933.48
2024-09-03,0.625855,16591781958.029,326003,10384053793.94
2024-09-04,0.624061,16599701136.177,325882,10359232949.86
2024-09-05,0.625055,16604743699.201,325995,10378873649.23
2024-09-06,0.628083,16602775296.541,325867,10427924404.7
2024-09-09,0.627676,16592261353.315,325724,10414572260.79
2024-09-10,0.62742,16585860904.231,325628,10406299249.01
2024-09-11,0.62904,16588312279.723,325582,10434706949.55
2024-09-12,0.629865,16583771774.963,325482,10445534326.19
2024-09-13,0.630505,16566275640.163,325118,10445117109.13
2024-09-16,0.629049,16545343878.437,324937,10407824855.55
2024-09-17,0.629799,16532183972.154,324685,10411951666.68
2024-09-18,0.634611,16510527711.577,324301,10477768351.27
2024-09-19,0.635009,16498143752.861,324033,10476473973.32
2024-09-20,0.636869,16495112185.186,323854,10505220863.23
2024-09-23,0.636928,16488454985.511,323717,10501964585.73
2024-09-24,0.637398,16468164696.089,323478,10496773785.83
2024-09-25,0.640626,16452911167.066,323013,10540158705.9
2024-09-26,0.639909,16436366403.878,322806,10517784114.85
2024-09-27,0.640098,16406167980.246,322531,10501559342.65
2024-09-30,0.640459,16391525479.862,322297,10498097235.88
2024-10-01,0.639977,16368926747.941,322106,10475739588.58
2024-10-02,0.637392,16343638196.988,322106,10417305293.36
2024-10-03,0.633713,16338411458.863,321617,10353868097.27
2024-10-04,0.629702,16327868856.441,321623,10281687103.11
2024-10-07,0.628728,16310703786.22,321448,10255003462.76
2024-10-08,0.625314,16285348704.133,321207,10183452772.87
2024-10-09,0.624236,16270245858.727,321047,10156479608.46
2024-10-10,0.627801,16264466705.645,320905,10210854668.43
2024-10-11,0.626364,16244131995.399,320709,10174743075.18
2024-10-14,0.625606,16238922010.869,320536,10159171786.35
2024-10-15,0.626356,16226944124.686,320536,10163848250.01
2024-10-16,0.630804,16200400483.825,320157,10219270934.74
2024-10-17,0.632605,16146859209.844,319833,10214591231.77
2024-10-18,0.630578,16126546834.506,319676,10169040089.59
2024-10-21,0.628959,16108405034.156,319439,10131529194.01
2024-10-22,0.627184,16078266550.355,319176,10084039300.41
2024-10-23,0.627534,16065153042.106,318984,10081430682.32
2024-10-24,0.625762,16047864484.941,318747,10042143851.55
2024-10-25,0.627354,16024553973.791,318294,10053071753.19
2024-10-28,0.628978,16011299338.192,318045,10070759430.4
2024-10-30,0.627904,15999822156.98,317896,10046350528.16
2024-10-31,0.631613,15976487563.623,317628,10090953833.06
2024-11-01,0.626585,15968271416.004,317358,10005478198.25
2024-11-04,0.627896,15963175158.853,317159,10023207353.37
2024-11-05,0.629663,15948894610.962,316997,10042435604.56
2024-11-06,0.62826,15947020271.877,316989,10018882405.13
2024-11-07,0.626497,15931629524.661,316806,9981110831.49
2024-11-08,0.631251,15922306533.844,316566,10050972239.6
2024-11-11,0.638852,15905339390.863,316319,10161163974.29
2024-11-12,0.641947,15899953172.345,316109,10206934703.75
2024-11-13,0.639348,15895246219.764,315906,10162593336.86
2024-11-14,0.638834,15891251882.657,315720,10151870168.69
2024-11-15,0.640137,15880650329.372,315395,10165792564.54
2024-11-18,0.63873,15876254756.866,315209,10140638415.08
2024-11-19,0.637434,15847308542.435,314817,10101620940.75
2024-11-20,0.639246,15837618530.346,314589,10124138992.98
2024-11-21,0.638649,15832698681.182,314409,10111531299.58
2024-11-22,0.642134,15813894875.471,314156,10154637570.48
2024-11-25,0.642421,15807431641.864,314001,10155018689.98
2024-11-26,0.645221,15792828891.936,313631,10189860274.27
2024-11-27,0.644884,15775353880.91,313428,10173278585.82
2024-11-28,0.6462,15767655001.643,313236,10189054539.65
2024-11-29,0.645471,15759403729.533,313014,10172241100.76
2024-12-02,0.646286,15747795329.592,312791,10177576225.42
2024-12-03,0.648272,15739314584.997,312561,10203356962.0
2024-12-04,0.650999,15735384065.563,312374,10243720279.41
2024-12-05,0.651463,15742404008.064,312305,10255591024.18
2024-12-06,0.653721,15736481848.815,312225,10287274403.37
2024-12-09,0.657623,15725212556.393,312013,10341262080.34
2024-12-10,0.660552,15718499418.032,311835,10382893905.19
2024-12-11,0.658685,15696188093.052,311574,10338839111.96
2024-12-12,0.657292,15682828498.018,311331,10308195374.27
2024-12-13,0.65702,15676039591.223,311144,10299473684.05
2024-12-16,0.65929,15669116597.778,310918,10330489559.66
2024-12-17,0.658494,15647594372.277,310664,10303854359.89
2024-12-18,0.658052,15641417269.349,310542,10292866384.16
2024-12-19,0.659026,15644326093.025,310402,10310009893.93
2024-12-20,0.650854,15628009501.128,310215,10171552415.01
2024-12-23,0.648494,15613312375.714,309965,10125141039.7
2024-12-24,0.648747,15608037620.554,309746,10125674695.56
2024-12-25,0.650559,15607108401.13,309459,10153350660.02
2024-12-26,0.655411,15609969680.094,309320,10230942487.68
2024-12-27,0.660924,15610447956.032,309320,10317324980.57
2024-12-30,0.661045,15615558097.926,309106,10322579449.44
2024-12-31,0.661487,15617287177.452,308976,10330633925.58
2025-01-02,0.664053,15620133630.248,308846,10372594261.09
2025-01-03,0.667672,15638549577.513,308761,10441427953.0
2025-01-06,0.670826,15646944574.847,308734,10496383609.65
2025-01-07,0.670517,15645571413.281,308872,10490620836.55
2025-01-08,0.668981,15637281621.028,308702,10461037425.22
2025-01-09,0.666234,15623235742.613,308480,10408736395.26
2025-01-10,0.667865,15614853903.256,308296,10428608088.42
2025-01-13,0.667664,15607677412.537,308116,10420690886.88
2025-01-14,0.663143,15591111178.691,307805,10339137926.75
2025-01-15,0.663835,15566249142.921,307502,10333415009.0
2025-01-16,0.664216,15556331039.049,307357,10332766574.41
2025-01-17,0.668017,15537065713.53,306978,10379020257.52
2025-01-20,0.669536,15519701699.811,306684,10390999927.37
2025-01-21,0.671159,15498561257.717,306398,10402004905.92
2025-01-22,0.672507,15476909036.348,306054,10408329535.6
2025-01-23,0.677448,15467791384.231,305834,10478623140.83
2025-01-24,0.678941,15459363537.239,305640,10496002165.37
2025-01-27,0.68112,15429122187.962,305168,10509090190.24
2025-01-28,0.683501,15421237237.949,304964,10540423552.05
2025-01-29,0.684602,15405635198.653,304693,10546724100.97
2025-01-30,0.687747,15403986199.684,304518,10594042087.83
2025-01-31,0.690597,15398845336.174,304307,10634403442.78
2025-02-03,0.690262,15392994995.354,304117,10625197786.3
2025-02-04,0.687319,15387880114.775,303874,10576374763.35
2025-02-05,0.690902,15386186950.145,303733,10630342581.99
2025-02-06,0.693308,15383510961.701,303697,10665511485.6
2025-02-07,0.694115,15376862895.525,303543,10673312851.69
2025-02-10,0.695192,15357314210.751,303322,10676286525.85
2025-02-11,0.693752,15340926610.187,303124,10642799786.6
2025-02-12,0.693884,15330363825.073,302928,10637499414.02
2025-02-13,0.694561,15315645273.733,302765,10637647835.09
2025-02-14,0.695408,15302062875.307,302440,10641172003.44
2025-02-17,0.697734,15287631162.175,302165,10666693192.19
2025-02-18,0.699396,15282042935.955,301914,10688192877.76
2025-02-19,0.701224,15266481631.982,301566,10705215821.51
2025-02-20,0.698712,15273410555.158,301386,10671708327.33
2025-02-21,0.700485,15278567056.326,301216,10702414392.41
2025-02-24,0.701419,15273591022.04,300972,10713185612.45
2025-02-25,0.701516,15264220113.43,300554,10708093157.45
2025-02-26,0.702035,15269134879.197,300329,10719468558.43
2025-02-27,0.703645,15286775415.219,300167,10756462135.26
2025-02-28,0.705553,15293026886.844,300070,10790041825.26
2025-03-03,0.70622,15287805768.72,299833,10796555590.45
2025-03-04,0.70889,15299966745.679,299656,10845997686.06
