date,fiyat,pay,hesap,buyukluk
2024-09-02,0.352271,296745431.0,9792,104534868.44
2024-09-03,0.353422,296508707.0,9794,104792596.54
2024-09-04,0.353884,296544390.0,9787,104942223.96
2024-09-05,0.350399,296573759.0,9779,103919078.68
2024-09-06,0.350909,296524793.0,9775,104053297.71
2024-09-09,0.350987,296407549.0,9772,104035275.19
2024-09-10,0.350927,277976964.0,9765,97549690.87
2024-09-11,0.352149,273503422.0,9757,96313854.16
2024-09-12,0.351831,270299200.0,9738,95099588.51
2024-09-13,0.35212,261217581.0,9726,91979828.47
2024-09-16,0.352364,260270729.0,9711,91710089.7
2024-09-17,0.352279,260112720.0,9704,91632362.02
2024-09-18,0.352469,260028397.0,9696,91651894.03
2024-09-19,0.351864,259937696.0,9688,91462797.63
2024-09-20,0.353939,260182671.0,9686,92088740.01
2024-09-23,0.356146,260846726.0,9689,92899586.91
2024-09-24,0.35688,260031779.0,9707,92800243.1
2024-09-25,0.358988,260003842.0,9721,93338249.58
2024-09-26,0.359199,263316089.0,9735,94582871.51
2024-09-27,0.358232,264266417.0,9750,94668801.1
2024-09-30,0.358584,266277721.0,10498,95482958.86
2024-10-01,0.359748,307997737.0,10506,110801497.25
2024-10-02,0.359479,306120867.0,10532,110043950.21
2024-10-03,0.357785,304513818.0,10564,108950545.1
2024-10-04,0.35657,307566748.0,10571,109668978.29
2024-10-07,0.354827,306575880.0,10556,108781327.38
2024-10-08,0.35412,305707930.0,10556,108257262.18
2024-10-09,0.352768,318968731.0,10561,112521875.61
2024-10-10,0.354139,314674354.0,10543,111438377.05
2024-10-11,0.356648,307678027.0,10544,109732896.45
2024-10-14,0.357789,307831544.0,10547,110138891.34
2024-10-15,0.357135,306941714.0,10539,109619770.52
2024-10-16,0.355355,305090581.0,10526,108415508.94
2024-10-17,0.355542,304677318.0,10518,108325470.08
2024-10-18,0.356034,305181198.0,10519,108654824.06
2024-10-21,0.355852,299909184.0,10515,106723272.05
2024-10-22,0.356222,299792830.0,10512,106792939.68
2024-10-23,0.355458,299905930.0,10490,106603918.36
2024-10-24,0.355091,297204245.0,10490,105534454.2
2024-10-25,0.354025,291351238.0,10487,103145543.04
2024-10-28,0.354508,291186865.0,10486,103228155.54
2024-10-30,0.354801,290757060.0,10477,103160870.49
2024-10-31,0.354569,289134948.0,10460,102518266.85
2024-11-01,0.353747,288247165.0,10450,101966713.86
2024-11-04,0.354699,288400729.0,10453,102295593.61
2024-11-05,0.353673,288187861.0,10444,101924143.36
2024-11-06,0.351933,287353529.0,10429,101129094.16
2024-11-07,0.352786,285556886.0,10411,100740411.81
2024-11-08,0.353835,420746886.0,10397,148874910.53
2024-11-11,0.356816,419757871.0,10396,149776273.24
2024-11-12,0.359982,420166847.0,10394,151252396.13
