date,fiyat,pay,hesap,buyukluk
2024-09-02,0.723941,9998068465.042,306532,7238008946.84
2024-09-03,0.722856,9976829997.166,306408,7211809732.16
2024-09-04,0.720933,9980701157.2,306454,7195415926.5
2024-09-05,0.72148,9958453760.033,306350,7184829436.1
2024-09-06,0.724224,9877860651.835,305979,7153784911.94
2024-09-09,0.725517,9860318051.488,305842,7153830995.03
2024-09-10,0.725921,9850609210.204,305887,7150759405.87
2024-09-11,0.726668,9837737185.651,305860,7148773063.36
2024-09-12,0.726466,9789500768.658,305816,7111741139.7
2024-09-13,0.727686,9787829099.605,305797,7122469724.63
2024-09-16,0.728352,9772789894.626,305609,7118029630.42
2024-09-17,0.73125,9767921765.766,305573,7142795740.46
2024-09-18,0.737694,9762201676.727,305374,7201515217.44
2024-09-19,0.739355,9752958510.522,305556,7210901474.33
2024-09-20,0.739769,9741607750.798,305600,7206542137.8
2024-09-23,0.740399,9735166392.005,305583,7207909003.05
2024-09-24,0.740422,9716850747.95,305468,7194567563.27
2024-09-25,0.742464,9709502577.465,305917,7208958805.39
2024-09-26,0.743576,9669041878.973,305931,7189663855.49
2024-09-27,0.74481,9642809347.987,306130,7182061313.93
2024-09-30,0.744743,9624534546.203,306116,7167807158.37
2024-10-01,0.745694,9602537042.566,306035,7160555437.97
2024-10-02,0.746356,9572581166.833,305596,7144551989.26
2024-10-03,0.742743,9561962800.78,306006,7102080753.56
2024-10-04,0.739974,9538350821.552,305988,7058130378.37
2024-10-07,0.737271,9521468410.121,305827,7019898284.31
2024-10-08,0.735961,9511577953.114,305870,7000150801.37
2024-10-09,0.735584,9501906067.16,305864,6989449006.0
2024-10-10,0.736224,9489654516.896,306036,6986511195.27
2024-10-11,0.734195,9477710870.152,306174,6958487847.14
2024-10-14,0.734175,9466359595.84,306171,6949966144.8
2024-10-15,0.735494,9460706566.152,306194,6958295252.76
2024-10-16,0.738977,9434698598.119,306285,6972023683.14
2024-10-17,0.739614,9418810322.551,306208,6966282884.61
2024-10-18,0.739144,9419326664.664,306698,6962240612.24
2024-10-21,0.736618,9402240658.268,306912,6925855033.2
2024-10-22,0.732008,9389551262.955,306233,6873226472.27
2024-10-23,0.728929,9382482946.765,305804,6839160042.87
2024-10-24,0.728444,9371145563.446,305511,6826357568.76
2024-10-25,0.730742,9358618018.949,305414,6838735465.76
2024-10-28,0.732363,9351812384.338,305331,6848920370.49
2024-10-30,0.731007,9336310680.319,305289,6824904608.85
2024-10-31,0.735416,9316808159.81,305353,6851734252.78
2024-11-01,0.733661,9313508720.946,305792,6832961079.09
2024-11-04,0.734165,9306291335.578,305653,6832349081.73
2024-11-05,0.734938,9310629823.348,305658,6842732214.62
2024-11-06,0.733864,9286173284.677,305207,6814789691.12
2024-11-07,0.731474,9265409810.539,304952,6777402157.26
2024-11-08,0.735689,9236203244.474,304917,6794974073.34
2024-11-11,0.743242,9220740798.714,304909,6853238052.14
2024-11-12,0.743418,9206828812.583,304856,6844522046.66
2024-11-13,0.740076,9191815183.602,304824,6802645336.76
2024-11-14,0.740774,9183864927.622,304669,6803167445.79
2024-11-15,0.73884,9169935376.301,304629,6775114219.31
2024-11-18,0.739454,9162655302.702,304605,6775358220.3
2024-11-19,0.74043,9144410387.962,304488,6770795705.4
2024-11-20,0.7432,9136825885.651,304408,6790486487.25
