date,fiyat,pay,hesap,buyukluk
2024-09-02,0.338201,12045198332.149,135751,4073697753.54
2024-09-03,0.338152,12013886182.53,135666,4062515291.04
2024-09-04,0.337608,12059494173.723,135723,4071378721.83
2024-09-05,0.338207,12069067122.079,135688,4081846729.22
2024-09-06,0.338569,12007855005.402,135583,4065487146.09
2024-09-09,0.338883,11993193594.45,135585,4064295288.41
2024-09-10,0.339431,12007463126.217,135690,4075705821.67
2024-09-11,0.339736,12011579005.785,135633,4080769159.61
2024-09-12,0.33946,11996719321.719,135532,4072410650.26
2024-09-13,0.339903,12005545277.019,135521,4080718931.66
2024-09-16,0.339916,12022342560.692,135647,4086587855.82
2024-09-17,0.34098,12087433538.871,136323,4121574738.11
2024-09-18,0.342898,12085346504.383,136242,4144044578.64
2024-09-19,0.343661,12075881888.144,136165,4150003861.57
2024-09-20,0.343801,12044847493.742,136044,4141036600.53
2024-09-23,0.343979,12035964156.241,135991,4140124660.48
2024-09-24,0.344749,12015399214.55,135765,4142300127.7
2024-09-25,0.34571,11992280832.026,135459,4145846019.4
2024-09-26,0.34614,11920611845.084,135171,4126205657.9
2024-09-27,0.346622,11869930620.252,134978,4114381141.5
2024-09-30,0.346761,11838899862.292,134811,4105265057.37
2024-10-01,0.347294,11838260338.221,134672,4111355035.28
2024-10-02,0.34715,11780323080.994,134359,4089544403.35
2024-10-03,0.346506,11766495613.261,134222,4077165828.47
2024-10-04,0.345777,11736708212.194,134069,4058287075.83
2024-10-07,0.345572,11707429105.55,133913,4045759463.31
2024-10-08,0.345451,11687923148.487,133859,4037607840.23
2024-10-09,0.345599,11674991208.368,133763,4034866051.46
2024-10-10,0.345819,11633240751.75,133724,4022995321.84
2024-10-11,0.345257,11628525805.979,133679,4014832283.44
2024-10-14,0.345339,11626082185.467,133646,4014939417.62
2024-10-15,0.345932,11616422005.17,133577,4018491248.01
2024-10-16,0.346743,11592706767.47,133473,4019687367.35
2024-10-17,0.346798,11570499123.868,133648,4012624537.95
2024-10-18,0.346502,11587010942.701,134163,4014925664.55
2024-10-21,0.3464,11588312528.83,134260,4014188554.08
2024-10-22,0.345433,11583706150.544,134148,4001394639.71
2024-10-23,0.344878,11558054707.368,133941,3986117269.59
2024-10-24,0.34481,11529324471.731,133525,3975428828.28
2024-10-25,0.345339,11510991476.937,133240,3975190044.95
2024-10-28,0.345781,11479215296.495,133020,3969295548.64
2024-10-30,0.34556,11458561543.376,132892,3959625391.24
2024-10-31,0.346625,11444454489.407,132714,3966928604.83
2024-11-01,0.345888,11445084872.719,132711,3958718847.4
2024-11-04,0.346201,11432759944.38,132615,3958037857.18
2024-11-05,0.346602,11438410347.566,132555,3964577864.36
2024-11-06,0.34648,11404735520.767,132315,3951512157.82
2024-11-07,0.345707,11379632152.266,132203,3934015319.37
2024-11-08,0.346616,11352314329.195,132196,3934891974.89
2024-11-11,0.348687,11357278268.842,132161,3960130458.35
2024-11-12,0.34909,11349137903.549,132127,3961869445.53
2024-11-13,0.348445,11338552858.765,132053,3950865189.62
2024-11-14,0.348886,11320561093.419,131949,3949581338.51
2024-11-15,0.348575,11343937824.205,132192,3954209284.69
2024-11-18,0.348879,11383032046.132,133039,3971301310.03
2024-11-19,0.349737,11386742431.047,133047,3982368971.06
2024-11-20,0.350766,11376314035.776,132989,3990426317.89
2024-11-21,0.350257,11363136106.0,132864,3980023303.82
2024-11-22,0.350861,11342083059.3,132596,3979495002.77
2024-11-25,0.351644,11320911994.39,132198,3980929738.12
2024-11-26,0.352396,11304067138.482,132071,3983503216.36
2024-11-27,0.353019,11291851155.198,131790,3986235334.47
2024-11-28,0.353452,11279963716.3,131699,3986923979.56
2024-11-29,0.353685,11258091400.406,131621,3981819330.24
2024-12-02,0.354336,11236115868.172,131547,3981362316.77
2024-12-03,0.355055,11232206540.698,131515,3988046508.07
2024-12-04,0.355658,11232378403.797,131452,3994886686.99
2024-12-05,0.35578,11222303808.853,131384,3992675261.58
2024-12-06,0.35597,11214399555.124,131316,3991992175.1
2024-12-09,0.356563,11194678347.171,131243,3991608467.57
2024-12-10,0.357737,11183110598.194,131211,4000611012.83
2024-12-11,0.357458,11174342413.846,131063,3994353355.59
2024-12-12,0.357406,11093517412.842,130875,3964891041.57
2024-12-13,0.357124,11058831871.06,130791,3949376786.69
