date,fiyat,pay,hesap,buyukluk
2024-09-02,55.731984,10663401.248,1327,594292511.36
2024-09-03,56.931468,10698628.248,1385,609088613.54
2024-09-04,56.732723,10811526.248,1434,613367325.66
2024-09-05,56.725649,11132265.248,1494,631484966.45
2024-09-06,56.505804,11436487.248,1517,646227911.89
2024-09-09,56.024868,11467991.248,1552,642492697.72
2024-09-10,55.81811,11596539.248,1582,647296907.17
2024-09-11,55.781844,11591858.248,1584,646615227.57
2024-09-12,55.782567,11481322.248,1581,640457625.05
2024-09-13,55.699732,12154252.248,1612,676988598.14
2024-09-16,56.846649,12167781.248,1637,691697586.44
2024-09-17,56.554205,12131615.248,1729,686093859.16
2024-09-18,57.408542,12013261.248,1780,689663809.91
2024-09-19,57.40609,11773800.248,1841,675887838.83
2024-09-20,57.920372,12022788.248,1907,696364373.71
2024-09-23,58.398091,11685147.248,1963,682390289.86
2024-09-24,58.339074,11048258.248,2051,644545154.42
2024-09-25,58.087031,10401237.248,2117,604176991.44
2024-09-26,58.213385,9875543.248,2158,574888797.43
2024-09-27,58.381348,9940090.248,2181,580315863.93
2024-09-30,58.777887,9935681.248,2225,583998348.65
2024-10-01,58.909344,10033543.248,2296,591069448.04
2024-10-02,57.209108,11123644.248,2369,636373762.16
2024-10-03,55.368794,11449844.248,2401,633964064.88
2024-10-04,54.267631,11353683.248,2394,616137487.78
2024-10-07,55.806372,11491574.248,2370,641303069.33
2024-10-08,54.759348,11475884.248,2349,628411944.56
2024-10-09,54.738634,11575933.248,2343,633650775.28
2024-10-10,55.356548,10236842.248,2315,566676253.08
2024-10-11,53.953683,9951431.248,2298,536916366.89
2024-10-14,53.079214,8573943.248,2290,455098168.11
2024-10-15,51.863449,8210260.248,2266,425812414.28
2024-10-16,53.395761,7754864.248,2202,414076880.79
2024-10-17,54.258499,7728105.248,2181,419315387.47
2024-10-18,54.44448,7734463.248,2182,421098832.62
2024-10-21,53.183814,7758920.248,2175,412648974.04
2024-10-22,52.276205,7772240.248,2170,406303227.61
