date,fiyat,pay,hesap,buyukluk
2025-08-27,0.999925,100000.0,1,99992.47
2025-08-28,0.999849,100000.0,1,99984.94
2025-08-29,0.999774,100000.0,1,99977.41
2025-09-01,0.999655,1062212038.0,2,1061845107.2
2025-09-02,1.005442,100000.0,1,100544.23
2025-09-03,1.006483,100000.0,1,100648.34
2025-09-04,1.007526,100000.0,1,100752.64
2025-09-05,1.007236,5100000.0,1,5136905.7
2025-09-08,1.007449,5100000.0,1,5137989.39
2025-09-09,1.010612,5100000.0,1,5154123.22
2025-09-10,1.011421,5100000.0,1,5158244.99
2025-09-11,1.012266,5100000.0,1,5162555.9
2025-09-12,1.013082,5100000.0,1,5166716.34
2025-09-15,1.013266,5100000.0,1,5167656.08
2025-09-16,1.013878,5100000.0,1,5170775.7
2025-09-17,1.014621,5100000.0,1,5174566.16
2025-09-18,1.016068,1030113282.0,2,1046665227.49
2025-09-19,1.017557,833276062.0,2,847905983.4
2025-09-22,1.022002,833276062.0,2,851609941.3
2025-09-23,1.023494,833276062.0,2,852853069.62
2025-09-24,1.024961,835835576.0,10,856699092.64
2025-09-25,1.026572,838567140.0,16,860849391.22
2025-09-26,1.028214,846308494.0,27,870185868.46
2025-09-29,1.033144,849349392.0,32,877500076.6
2025-09-30,1.034832,786537173.0,35,813933711.74
2025-10-01,1.036457,834379952.0,46,864798892.4
2025-10-02,1.038066,835416825.0,51,867217801.5
2025-10-03,1.039696,836343928.0,59,869543520.96
2025-10-06,1.044772,934782776.0,65,976634753.96
2025-10-07,1.046426,935033605.0,70,978443457.07
2025-10-08,1.048067,942275322.0,80,987567301.38
2025-10-09,1.049693,1001299171.0,85,1051056321.8
2025-10-10,1.051303,1000156469.0,90,1051467963.67
2025-10-13,1.056102,1001188219.0,92,1057356997.37
2025-10-14,1.057702,1004138668.0,93,1062079529.58
2025-10-15,1.059288,1003445809.0,103,1062938520.51
2025-10-16,1.060966,1012286792.0,118,1074001844.72
2025-10-17,1.062613,1041137259.0,140,1106325794.74
2025-10-20,1.067889,984990335.0,158,1051860210.02
2025-10-21,1.069569,967558394.0,164,1034870385.34
2025-10-22,1.070835,981972782.0,190,1051531077.28
2025-10-23,1.072469,1027663575.0,223,1102137410.9
2025-10-24,1.073857,1036873885.0,239,1113453918.23
2025-10-27,1.078663,1053362754.0,268,1136223857.04
2025-10-28,1.080456,1057926736.0,277,1143043795.19
2025-10-30,1.083443,1113784596.0,316,1206722461.61
2025-10-31,1.085118,1111711709.0,328,1206337861.49
2025-11-03,1.08936,1139437706.0,379,1241257943.27
2025-11-04,1.091036,1051741807.0,438,1147488339.84
2025-11-05,1.092288,1056690368.0,488,1154209930.36
2025-11-06,1.093842,1108751659.0,534,1212798669.63
2025-11-07,1.095357,1109621632.0,546,1215431922.98
2025-11-10,1.10073,1122503021.0,551,1235573061.86
2025-11-11,1.102285,1124430680.0,546,1239443339.55
2025-11-12,1.103872,1122889420.0,551,1239526253.09
2025-11-13,1.10541,1108228173.0,554,1225046587.3
2025-11-14,1.109487,1379799679.0,562,1530869740.98
2025-11-17,1.114377,1395178022.0,566,1554754787.3
2025-11-18,1.116563,1159013775.0,566,1294111982.02
2025-11-19,1.117678,1138234033.0,584,1272178647.93
2025-11-20,1.118882,1162418663.0,607,1300609675.14
2025-11-21,1.120075,1184589369.0,621,1326829456.01
2025-11-24,1.125067,1185746861.0,630,1334044977.56
2025-11-25,1.126645,1062875960.0,629,1197484404.84
2025-11-26,1.128261,970511468.0,619,1094990097.87
2025-11-27,1.131405,871425613.0,620,985935222.72
2025-11-28,1.132977,872845510.0,625,988913557.11
2025-12-01,1.137771,889987360.0,639,1012601712.9
2025-12-02,1.139316,980455963.0,656,1117049607.82
2025-12-03,1.140867,898626682.0,678,1025213323.91
2025-12-04,1.142488,787371089.0,676,899562390.08
2025-12-05,1.144055,791237708.0,673,905219249.51
2025-12-08,1.148806,787175837.0,686,904311974.38
2025-12-09,1.150392,792077245.0,681,911199187.1
2025-12-10,1.151979,791627214.0,690,911937981.01
2025-12-11,1.153579,795550375.0,684,917730343.94
