date,fiyat,pay,hesap,buyukluk
2024-09-02,1.208029,34032231.0,1241,41111938.23
2024-09-03,1.22261,33583004.0,1262,41058928.68
2024-09-04,1.229562,34501186.0,1262,42421339.31
2024-09-05,1.231467,33754690.0,1271,41567777.61
2024-09-06,1.240795,33421802.0,1273,41469603.19
2024-09-09,1.24057,33902987.0,1298,42059040.17
2024-09-10,1.231249,34684107.0,1356,42704763.73
2024-09-11,1.229135,35653874.0,1389,43823438.8
2024-09-12,1.230107,38681209.0,1416,47582013.14
2024-09-13,1.243301,38910993.0,1458,48378075.2
2024-09-16,1.255683,39939054.0,1486,50150798.9
2024-09-17,1.2597,41410419.0,1559,52164685.66
2024-09-18,1.262285,43898518.0,1617,55412457.83
2024-09-19,1.26149,48077540.0,1668,60649358.39
2024-09-20,1.258034,53201902.0,1703,66929804.78
2024-09-23,1.264337,55161839.0,1718,69743177.21
2024-09-24,1.269273,53894496.0,1732,68406806.73
2024-09-25,1.247877,54837202.0,1746,68430085.62
2024-09-26,1.23453,55241258.0,1749,68196978.23
2024-09-27,1.228435,53315540.0,1718,65494671.16
2024-09-30,1.214159,49362081.0,1692,59933430.72
2024-10-01,1.206266,48584690.0,1685,58606066.01
2024-10-02,1.167963,47099137.0,1658,55010054.05
2024-10-03,1.128862,46127348.0,1627,52071393.65
2024-10-04,1.125782,45443791.0,1593,51159816.84
2024-10-07,1.134898,45338691.0,1573,51454801.46
2024-10-08,1.125209,45782462.0,1571,51514839.85
2024-10-09,1.12258,44949476.0,1553,50459385.74
2024-10-10,1.134,44934484.0,1541,50955725.54
2024-10-11,1.129944,45267691.0,1526,51149969.37
2024-10-14,1.123711,45253782.0,1521,50852172.66
2024-10-15,1.104181,43817814.0,1507,48382779.84
2024-10-16,1.119241,42579839.0,1491,47657101.44
2024-10-17,1.133066,41626399.0,1477,47165454.25
2024-10-18,1.158458,41437365.0,1468,48003451.44
2024-10-21,1.160713,41555541.0,1462,48234048.68
2024-10-22,1.148046,41343081.0,1460,47463775.0
2024-10-23,1.155414,41108719.0,1458,47497609.35
2024-10-24,1.14013,41187473.0,1449,46959083.8
2024-10-25,1.16209,41271820.0,1442,47961565.29
2024-10-28,1.171395,41574760.0,1442,48700472.63
2024-10-30,1.17834,41353637.0,1432,48728629.71
2024-10-31,1.187107,41453871.0,1433,49210199.45
2024-11-01,1.19728,41491428.0,1426,49676840.79
2024-11-04,1.205948,41748753.0,1433,50346826.53
2024-11-05,1.19569,41832186.0,1459,50018311.07
2024-11-06,1.188713,48227710.0,1481,57328920.81
2024-11-07,1.205154,48777693.0,1499,58784612.31
2024-11-08,1.212333,49615125.0,1510,60150045.62
2024-11-11,1.219486,50075440.0,1528,61066302.59
2024-11-12,1.225594,54737472.0,1565,67085940.71
2024-11-13,1.217106,55239286.0,1587,67232080.09
2024-11-14,1.218563,57254792.0,1595,69768554.4
2024-11-15,1.222229,57696241.0,1590,70518036.7
2024-11-18,1.218922,57960766.0,1607,70649652.53
2024-11-19,1.206559,58191016.0,1616,70210882.16
2024-11-20,1.194418,62169826.0,1603,74256782.66
2024-11-21,1.173985,61694841.0,1583,72428834.84
2024-11-22,1.198535,61575355.0,1573,73800248.41
2024-11-25,1.218654,61120008.0,1572,74484141.24
2024-11-26,1.231734,61850800.0,1561,76183741.74
2024-11-27,1.2393,55421951.0,1550,68684428.68
2024-11-28,1.23093,54803212.0,1546,67458900.97
2024-11-29,1.221693,53985646.0,1538,65953895.94
2024-12-02,1.23386,54056909.0,1532,66698646.62
2024-12-03,1.245444,53930968.0,1529,67167984.81
