date,fiyat,pay,hesap,buyukluk
2024-09-02,0.072465,32779554591.343,85541,2375379715.95
2024-09-03,0.073623,32719272010.036,85539,2408878142.29
2024-09-04,0.073006,32673957076.782,85415,2385398013.85
2024-09-05,0.070996,32650823911.708,85446,2318083064.24
2024-09-06,0.071182,32610746229.21,85357,2321297158.26
2024-09-09,0.07025,32583782013.963,85287,2289017002.49
2024-09-10,0.069842,32541964691.216,85191,2272784363.7
2024-09-11,0.070163,32507017327.934,85218,2280774194.28
2024-09-12,0.068757,32419650112.804,85093,2229070032.62
2024-09-13,0.068952,32263818679.414,84750,2224656746.28
2024-09-16,0.070003,32211294618.97,84575,2254878846.97
2024-09-17,0.069924,32101804610.378,84344,2244691047.53
2024-09-18,0.070079,31938470364.236,83970,2238205527.86
2024-09-19,0.069701,31843613108.849,83838,2219531538.05
2024-09-20,0.071168,31745536158.55,83681,2259264783.61
2024-09-23,0.07105,31644174230.295,83541,2248307796.39
2024-09-24,0.071037,31534315771.007,83398,2240110120.74
2024-09-25,0.07131,31336640782.0,83127,2234606534.09
2024-09-26,0.070711,31252614958.231,83055,2209908014.31
2024-09-27,0.070439,31180899346.556,82921,2196338813.06
2024-09-30,0.070175,31104650498.691,82771,2182753663.33
2024-10-01,0.069556,30997798158.356,82617,2156093193.34
2024-10-02,0.067947,30875218006.176,82394,2097878244.43
2024-10-03,0.066876,30788843982.048,82281,2059036412.29
2024-10-04,0.067301,30676305522.709,82089,2064534661.1
2024-10-07,0.068101,30564898271.06,81915,2081505352.24
2024-10-08,0.068115,30504822624.334,81777,2077822838.95
2024-10-09,0.068109,30426138877.783,81654,2072304061.29
2024-10-10,0.068413,30353360528.322,81562,2076563648.34
2024-10-11,0.067689,30286488643.497,81468,2050066815.14
2024-10-14,0.067114,30275706435.985,81358,2031934905.58
2024-10-15,0.066613,30153314434.762,81358,2008600755.27
2024-10-16,0.067629,29989328058.327,80935,2028143522.22
2024-10-17,0.067889,29863989573.824,80650,2027447719.08
2024-10-18,0.068483,29846459439.22,80558,2043962939.34
2024-10-21,0.068659,29782354239.312,80468,2044840376.28
2024-10-22,0.068246,29747605006.23,80360,2030148821.25
2024-10-23,0.068555,29550702230.706,80200,2025852743.48
2024-10-24,0.067995,29465457332.341,80095,2003515223.68
2024-10-25,0.069195,29401916315.4,79925,2034458274.69
2024-10-28,0.069744,29358683473.514,79856,2047579606.6
2024-10-30,0.070207,29328913198.889,79808,2059091860.05
2024-10-31,0.071266,29298146827.577,79731,2087955767.12
2024-11-01,0.070586,29291897701.594,79659,2067594580.56
2024-11-04,0.071042,29473124129.841,79652,2093843659.65
2024-11-05,0.069845,29556206871.067,79669,2064365858.46
2024-11-06,0.070093,29556290877.255,79630,2071692955.18
2024-11-07,0.071181,29556478013.771,79562,2103861053.73
2024-11-08,0.071638,29614380934.938,79541,2121502592.72
2024-11-11,0.072466,29685167774.205,79579,2151176073.26
2024-11-12,0.073817,29802226595.259,79673,2199911666.22
2024-11-13,0.07312,30023979259.415,79880,2195344747.24
2024-11-14,0.073097,30279815794.137,80072,2213373042.76
2024-11-15,0.07333,30377145270.76,80138,2227565799.27
2024-11-18,0.072933,30553534195.63,80285,2228353859.7
2024-11-19,0.072329,30696301617.095,80358,2220245320.45
2024-11-20,0.071822,30802461713.388,80473,2212304341.86
2024-11-21,0.071271,30798158942.009,80502,2195005262.96
2024-11-22,0.072427,30777209028.305,80496,2229096222.74
2024-11-25,0.072622,30704415442.545,80447,2229816961.28
2024-11-26,0.073648,30585905494.72,80338,2252602594.45
2024-11-27,0.073543,30560172695.231,80317,2247500127.3
2024-11-28,0.073556,30524613302.272,80316,2245271367.29
2024-11-29,0.073899,30540008973.937,80296,2256877145.65
2024-12-02,0.07358,30562893948.394,80277,2248825213.46
2024-12-03,0.07373,30515956641.489,80244,2249939293.13
2024-12-04,0.073985,30456149446.983,80207,2253301434.66
2024-12-05,0.074719,30474735583.522,80263,2277028622.53
2024-12-06,0.075628,30435701644.529,80263,2301784457.95
2024-12-09,0.076083,30400382876.226,80227,2312957204.71
2024-12-10,0.076658,30379102544.257,80237,2328800585.07
2024-12-11,0.075436,30376947338.138,80266,2291517195.7
2024-12-12,0.074427,30322204424.367,80223,2256790467.03
2024-12-13,0.074825,30314226270.376,80212,2268270793.65
2024-12-16,0.075763,30306598914.668,80149,2296120592.03
2024-12-17,0.075997,30242429323.82,80084,2298329480.28
2024-12-18,0.075959,30209415845.751,80119,2294680553.98
2024-12-19,0.075446,30161537313.576,80082,2275571881.81
2024-12-20,0.074096,30175265369.165,80112,2235858836.97
2024-12-23,0.073718,30143637197.41,80005,2222136452.15
2024-12-24,0.07445,30101457106.137,79970,2241047203.87
2024-12-25,0.07473,30086488983.696,79861,2248376894.47
2024-12-26,0.07553,30099534919.738,79838,2273430286.57
2024-12-27,0.075532,30082981417.242,79838,2272214790.79
2024-12-30,0.075399,30089764684.713,79846,2268728161.49
2024-12-31,0.075501,30083408406.876,79827,2271340456.07
2025-01-02,0.075718,30075928972.713,79813,2277277100.91
2025-01-03,0.075442,30165978851.221,79850,2275777466.55
2025-01-06,0.07595,30198619122.321,79937,2293598738.4
2025-01-07,0.077468,30168854011.465,79899,2337117851.19
2025-01-08,0.077521,30066577640.005,79854,2330801041.08
2025-01-09,0.076208,30056477785.598,79913,2290550051.62
2025-01-10,0.076827,30127885648.181,79890,2314629466.42
2025-01-13,0.075974,30139544110.977,79887,2289817376.61
2025-01-14,0.074551,30135503994.593,79821,2246631643.13
2025-01-15,0.074479,30049476891.749,79671,2238058314.72
2025-01-16,0.074786,30014535131.328,79608,2244675137.51
2025-01-17,0.075365,29957569355.081,79404,2257742650.4
2025-01-20,0.076933,29927247935.152,79260,2302384592.41
2025-01-21,0.077548,29882777917.241,79177,2317343137.32
2025-01-22,0.07691,29630096759.101,79022,2278846772.88
2025-01-23,0.077436,29587129830.284,78993,2291104380.85
2025-01-24,0.078397,29567344545.328,78909,2317998538.46
2025-01-27,0.078782,29524157478.975,78777,2325968921.2
2025-01-28,0.077119,29483024908.188,78667,2273708433.91
2025-01-29,0.07762,29365090547.196,78646,2279325046.07
2025-01-30,0.077599,29349761324.696,78603,2277498768.45
2025-01-31,0.077319,29302604498.761,78545,2265650333.24
2025-02-03,0.077053,29251622473.966,78480,2253930656.1
2025-02-04,0.075321,29193083839.376,78348,2198853097.96
2025-02-05,0.076349,29104474669.222,78334,2222107900.04
2025-02-06,0.07536,29063217102.518,78222,2190198315.83
2025-02-07,0.075833,28985331995.148,78139,2198037155.93
2025-02-10,0.076584,28891989527.796,78020,2212661074.29
2025-02-11,0.076178,28807447700.785,77917,2194504127.23
2025-02-12,0.075787,28746092602.752,77793,2178570658.39
