date,fiyat,pay,hesap,buyukluk
2025-05-29,1.001281,332016423.0,9,332441664.9
2025-05-30,1.002564,358050641.0,14,358968709.59
2025-06-02,1.006452,351509452.0,26,353777476.7
2025-06-03,1.007707,357395626.0,32,360150050.36
2025-06-04,1.009002,749274892.0,36,756019681.14
2025-06-05,1.010303,1027088849.0,43,1037670738.79
2025-06-10,1.016852,1502204728.0,44,1527519693.58
2025-06-11,1.018159,1536933169.0,49,1564842318.63
2025-06-12,1.019419,2018616607.0,60,2057817021.83
2025-06-13,1.020718,2520128939.0,64,2572341703.29
2025-06-16,1.024603,3336318900.0,91,3418401970.21
2025-06-17,1.025806,3331466261.0,89,3417438886.38
2025-06-18,1.027064,531815039.0,87,546208188.3
2025-06-19,1.028324,678289513.0,91,697501596.42
2025-06-20,1.029604,534241041.0,94,550056750.21
2025-06-23,1.03343,499395383.0,96,516090347.59
2025-06-24,1.034682,499222427.0,98,516536601.99
2025-06-25,1.035928,499861581.0,101,517820649.35
2025-06-26,1.037251,308206063.0,96,319686934.38
2025-06-27,1.03855,311093862.0,99,323086674.48
2025-06-30,1.042441,295805764.0,97,308359963.03
2025-07-01,1.043746,313507238.0,98,327221789.73
2025-07-02,1.045032,273746070.0,98,286073272.18
2025-07-03,1.046327,264742081.0,97,277006856.94
2025-07-04,1.047622,244571822.0,97,256218852.43
2025-07-07,1.051558,254117249.0,98,267219018.19
2025-07-08,1.052866,261539856.0,97,275366349.81
2025-07-09,1.05416,263528483.0,99,277801222.62
2025-07-10,1.055437,626922200.0,102,661676736.24
2025-07-11,1.056702,1150460031.0,98,1215693797.45
2025-07-14,1.0605,1139510125.0,98,1208450917.3
2025-07-16,1.063041,1078125259.0,96,1146091238.61
2025-07-17,1.064317,1077921535.0,98,1147250085.19
2025-07-18,1.065597,1079828868.0,101,1150662340.89
2025-07-21,1.069432,1078430630.0,102,1153308621.82
2025-07-22,1.070717,1078076740.0,103,1154315187.53
2025-07-23,1.072003,1065362542.0,100,1142071569.66
2025-07-24,1.073296,618209602.0,97,663522159.56
2025-07-25,1.074595,609074356.0,99,654508254.56
2025-07-28,1.078232,752141600.0,98,810982841.7
2025-07-29,1.07943,1361243939.0,97,1469367714.84
2025-07-30,1.080641,1327354745.0,98,1434393697.24
2025-07-31,1.081856,1099601115.0,97,1189609758.58
2025-08-01,1.083074,954768400.0,100,1034084562.84
2025-08-04,1.086723,1316935290.0,102,1431144357.3
2025-08-05,1.087942,1511876106.0,101,1644833197.74
2025-08-06,1.089165,1461195211.0,101,1591483020.79
2025-08-07,1.090392,1394047177.0,101,1520057720.24
2025-08-08,1.091615,1717537737.0,101,1874889701.01
2025-08-11,1.095285,1921057167.0,103,2104105999.59
2025-08-12,1.096512,1916717049.0,103,2101702814.34
2025-08-13,1.09774,1893034102.0,102,2078059029.13
2025-08-14,1.098968,1890639432.0,105,2077751314.15
2025-08-15,1.100193,1911793713.0,104,2103342220.32
2025-08-18,1.103995,353987069.0,105,390800018.76
2025-08-19,1.105268,353950918.0,105,391210739.16
2025-08-20,1.106543,354607422.0,106,392388525.01
2025-08-21,1.107823,352544813.0,104,390557255.64
2025-08-22,1.109104,354233150.0,104,392881407.53
2025-08-25,1.112949,354048510.0,102,394037802.59
2025-08-26,1.114236,348506106.0,104,388318192.59
2025-08-27,1.115526,331431716.0,104,369720842.16
2025-08-28,1.116821,331342015.0,104,370049710.44
2025-08-29,1.118114,338226941.0,105,378176345.49
2025-09-01,1.121913,785609058.0,110,881384708.59
2025-09-02,1.123184,784621708.0,113,881274348.24
2025-09-03,1.12422,1135111717.0,114,1276115755.79
2025-09-04,1.125503,1528327197.0,123,1720137422.51
2025-09-05,1.126761,1581913166.0,124,1782438822.29
