date,fiyat,pay,hesap,buyukluk
2024-09-02,0.229916,1752039767.912,27706,402821895.6
2024-09-03,0.233445,1746432500.384,27693,407695875.69
2024-09-04,0.233358,1747543137.145,27684,407802486.65
2024-09-05,0.233374,1745768846.912,27684,407417026.81
2024-09-06,0.232961,1741023288.046,27674,405589692.43
2024-09-09,0.229694,1738496145.504,27663,399322688.85
2024-09-10,0.229717,1737767678.884,27644,399195088.21
2024-09-11,0.2287,1738059452.455,27639,397494476.59
2024-09-12,0.226935,1733837381.134,27635,393468008.16
2024-09-13,0.228458,1729064001.815,27628,395018656.04
2024-09-16,0.228981,1726861543.904,27620,395419041.93
2024-09-17,0.227243,1725626123.231,27605,392136441.55
2024-09-18,0.229072,1729489180.715,27602,396177201.82
2024-09-19,0.23081,1729096853.02,27601,399093011.58
2024-09-20,0.23295,1726862369.163,27595,402272599.8
2024-09-23,0.232816,1726447248.795,27590,401945081.34
2024-09-24,0.232949,1727071313.059,27587,402319864.68
2024-09-25,0.235037,1727176613.335,27587,405950820.36
2024-09-26,0.233251,1724908826.686,27569,402336671.34
2024-09-27,0.233066,1726579644.054,27558,402406663.37
2024-09-30,0.232885,1725029587.523,27549,401733401.37
2024-10-01,0.231457,1724400563.435,27542,399123905.01
2024-10-02,0.227347,1723848431.003,27541,391910943.81
2024-10-03,0.222553,1727423713.417,27527,384443767.61
2024-10-04,0.220227,1723549820.735,27521,379571400.56
2024-10-07,0.223818,1721945616.485,27507,385402708.24
2024-10-08,0.223204,1719121083.904,27495,383715139.23
2024-10-09,0.223798,1718873783.696,27491,384679998.97
2024-10-10,0.226108,1715958785.389,27484,387991311.39
2024-10-11,0.224259,1714907673.246,27471,384583179.41
2024-10-14,0.224067,1713330630.448,27462,383900418.45
2024-10-15,0.221856,1712843405.223,27457,380003870.57
2024-10-16,0.224311,1712858520.071,27448,384212829.24
2024-10-17,0.225662,1712713241.353,27436,386493458.32
2024-10-18,0.225737,1711415406.553,27429,386329817.5
2024-10-21,0.222674,1711688505.01,27422,381148738.52
2024-10-22,0.221331,1710502974.018,27413,378586722.27
2024-10-23,0.223658,1709641870.647,27409,382375509.15
2024-10-24,0.222245,1707069051.668,27396,379387616.89
