date,fiyat,pay,hesap,buyukluk
2024-09-02,0.062702,1961671400.0,1923,123000414.13
2024-09-03,0.06278,1919875800.0,1920,120529568.71
2024-09-04,0.062856,1888439900.0,1928,118699253.68
2024-09-05,0.062939,2042311000.0,1934,128540006.17
2024-09-06,0.063016,2102247200.0,1935,132475448.75
2024-09-09,0.063258,2057341000.0,1937,130142423.1
2024-09-10,0.063342,2045489100.0,1944,129566168.55
2024-09-11,0.063424,2055016400.0,1951,130337672.48
2024-09-12,0.063491,2036354900.0,1943,129289662.63
2024-09-13,0.063561,2033410400.0,1941,129244824.41
2024-09-16,0.063792,2027387000.0,1944,129331561.38
2024-09-17,0.063981,2038031200.0,1953,130394897.8
2024-09-18,0.064063,2038561100.0,1952,130596014.97
2024-09-19,0.064149,2041253900.0,1973,130944084.4
2024-09-20,0.064226,2055432800.0,1988,132012448.84
2024-09-23,0.064469,2095023200.0,2001,135064348.63
2024-09-24,0.06456,2182332500.0,2030,140891515.52
2024-09-25,0.064645,2187910300.0,2052,141437771.91
2024-09-26,0.064729,2283789100.0,2059,147827865.29
2024-09-27,0.064814,2372532400.0,2061,153773317.77
2024-09-30,0.065064,2399288200.0,2073,156106857.0
2024-10-01,0.065134,2373315800.0,2085,154584307.21
2024-10-02,0.065221,2382859200.0,2111,155412501.02
2024-10-03,0.065301,2482982700.0,2108,162141298.46
2024-10-04,0.065387,2528372800.0,2111,165322835.47
2024-10-07,0.065642,2679445600.0,2114,175883016.09
2024-10-08,0.065728,2653248600.0,2111,174392849.96
2024-10-09,0.065813,2643058100.0,2115,173948390.75
2024-10-10,0.065901,2657719000.0,2116,175145329.61
2024-10-11,0.065977,2652407300.0,2124,174997735.17
2024-10-14,0.066223,2690902800.0,2123,178200398.53
2024-10-15,0.066306,2660666200.0,2125,176417811.89
2024-10-16,0.066386,2545282100.0,2141,168971743.22
2024-10-17,0.066464,2620645200.0,2147,174179850.49
2024-10-18,0.066544,2711164900.0,2151,180410520.76
2024-10-21,0.066792,2733933400.0,2158,182604552.46
2024-10-22,0.066873,2759702400.0,2158,184549698.72
2024-10-23,0.066955,2747190000.0,2158,183938559.36
2024-10-24,0.067039,2738177400.0,2164,183565380.47
2024-10-25,0.067122,2812051400.0,2167,188751166.09
2024-10-28,0.067367,2807927100.0,2166,189162767.96
2024-10-30,0.067535,2798513000.0,2163,188997429.67
2024-10-31,0.067653,2811609000.0,2168,190212965.95
2024-11-01,0.06773,2814153400.0,2167,190601690.48
2024-11-04,0.067987,2712311700.0,2176,184401590.54
2024-11-05,0.068075,2708585400.0,2194,184386082.06
2024-11-06,0.068161,2746260500.0,2191,187188168.17
2024-11-07,0.068243,2719763300.0,2186,185605994.79
2024-11-08,0.068337,2686817500.0,2185,183608607.82
2024-11-11,0.068581,2717449100.0,2185,186366098.5
2024-11-12,0.068663,2688042600.0,2185,184570102.55
2024-11-13,0.06875,2708991700.0,2204,186243858.79
2024-11-14,0.068845,2840428300.0,2219,195549438.41
2024-11-15,0.068931,2866944100.0,2238,197620603.58
2024-11-18,0.069191,2831132800.0,2255,195889201.07
2024-11-19,0.069351,2886256400.0,2261,200164258.76
2024-11-20,0.069441,2768814300.0,2272,192268061.15
2024-11-21,0.069525,2840306300.0,2304,197472828.2
2024-11-22,0.069614,2956797000.0,2321,205834279.92
2024-11-25,0.069881,3039277400.0,2334,212387888.83
2024-11-26,0.069972,3164885100.0,2344,221452743.02
2024-11-27,0.070063,3293419800.0,2372,230746872.11
2024-11-28,0.070147,3390010500.0,2390,237799494.84
2024-11-29,0.070236,3449471600.0,2419,242276651.29
2024-12-02,0.070505,3625358100.0,2436,255604302.33
2024-12-03,0.070597,3642074100.0,2433,257120509.38
2024-12-04,0.070763,3673583300.0,2444,259953649.97
2024-12-05,0.070898,3711425100.0,2457,263131064.07
2024-12-06,0.070982,3794378600.0,2482,269333413.43
2024-12-09,0.071263,3887713100.0,2522,277049418.02
2024-12-10,0.071353,4109870000.0,2557,293250018.72
2024-12-11,0.071452,4294977800.0,2597,306886284.97
2024-12-12,0.071544,4603555500.0,2627,329358366.87
2024-12-13,0.071639,4757665300.0,2665,340833253.94
2024-12-16,0.071911,5024947000.0,2684,361346972.75
2024-12-17,0.072002,5130228800.0,2721,369387786.12
2024-12-18,0.072094,5162322500.0,2753,372174459.64
2024-12-19,0.072186,5300146800.0,2767,382598732.36
2024-12-20,0.072277,5485243600.0,2796,396457452.68
2024-12-23,0.072559,5678292300.0,2809,412009589.53
2024-12-24,0.072651,5651659200.0,2829,410598366.54
2024-12-25,0.072744,5728357600.0,2841,416701240.66
2024-12-26,0.072834,5751635100.0,2842,418913297.11
2024-12-27,0.072943,5769457500.0,2860,420838776.69
2024-12-30,0.073215,5858873100.0,2860,428956111.77
2024-12-31,0.073309,5768591800.0,2931,422887188.57
2025-01-02,0.073492,6399686700.0,2970,470322867.6
2025-01-03,0.073581,6587807700.0,3015,484738868.44
2025-01-06,0.073865,6791194500.0,3057,501630768.63
