date,fiyat,pay,hesap,buyukluk
2024-09-02,0.769597,241077218.0,148,185532350.57
2024-09-03,0.801235,242956397.0,152,194665285.0
2024-09-04,0.794362,244296587.0,153,194059987.62
2024-09-05,0.792166,243201271.0,155,192655707.13
2024-09-06,0.788208,241405814.0,154,190277949.05
2024-09-09,0.772601,241405915.0,154,186510367.54
2024-09-10,0.767491,241405947.0,155,185276940.54
2024-09-11,0.765412,244011859.0,154,186769619.26
2024-09-12,0.738803,231484553.0,154,171021431.51
2024-09-13,0.735122,231755270.0,156,170368371.97
2024-09-16,0.745918,231712974.0,155,172838774.44
2024-09-17,0.73555,233194027.0,157,171525981.26
2024-09-18,0.757489,233194955.0,155,176642523.23
2024-09-19,0.752394,231859490.0,156,174449631.62
2024-09-20,0.768498,232212119.0,157,178454572.36
2024-09-23,0.780495,230773077.0,158,180117280.66
2024-09-24,0.770861,230876272.0,160,177973626.31
2024-09-25,0.773023,228971667.0,162,177000332.97
2024-09-26,0.745425,228922929.0,162,170644867.31
2024-09-27,0.745471,227629440.0,163,169691101.44
2024-09-30,0.748352,226312114.0,159,169361163.48
2024-10-01,0.733111,226204815.0,161,165833337.03
2024-10-02,0.693261,226426317.0,161,156972521.2
2024-10-03,0.65625,227661109.0,161,149402680.49
2024-10-04,0.62807,227655075.0,159,142983361.1
2024-10-07,0.644638,227653395.0,159,146753948.48
2024-10-08,0.637758,226418850.0,162,144400524.12
2024-10-09,0.641824,228791267.0,162,146843742.6
2024-10-10,0.663652,222375197.0,163,147579672.68
2024-10-11,0.651255,220114564.0,165,143350806.2
2024-10-14,0.627875,220279510.0,166,138307987.42
2024-10-15,0.603572,220358905.0,167,133002361.2
2024-10-16,0.623945,236804007.0,167,147752742.58
2024-10-17,0.628834,236728136.0,164,148862733.41
2024-10-18,0.640604,236761083.0,163,151670090.76
2024-10-21,0.617396,237807464.0,163,146821330.6
2024-10-22,0.611413,237840196.0,164,145418646.63
2024-10-23,0.639074,237846832.0,166,152001620.73
2024-10-24,0.633221,237883659.0,169,150633001.46
2024-10-25,0.647436,237469606.0,168,153746440.56
2024-10-28,0.654384,237586012.0,170,155472431.78
2024-10-30,0.653893,238939119.0,172,156240688.65
2024-10-31,0.654833,238445491.0,175,156142028.9
2024-11-01,0.639939,238468002.0,175,152604922.08
2024-11-04,0.63585,237647958.0,173,151108492.49
2024-11-05,0.609135,256794992.0,171,156422931.39
2024-11-06,0.592885,250819126.0,172,148706969.94
2024-11-07,0.639226,250845739.0,172,160347051.7
2024-11-08,0.662647,250924652.0,174,166274348.88
2024-11-11,0.684414,252339657.0,174,172704722.28
2024-11-12,0.702822,252396368.0,180,177389613.23
2024-11-13,0.71155,297376708.0,182,211598420.74
2024-11-14,0.720136,298848452.0,187,215211397.28
2024-11-15,0.738846,299407494.0,202,221215907.32
2024-11-18,0.734,310055891.0,232,227581151.73
2024-11-19,0.733156,318878487.0,252,233787629.14
2024-11-20,0.718259,319993291.0,253,229838042.56
2024-11-21,0.696838,321270726.0,247,223873560.4
2024-11-22,0.727012,343096734.0,241,249435396.83
2024-11-25,0.745571,346148992.0,244,258078606.0
2024-11-26,0.748922,371638718.0,244,278328260.44
2024-11-27,0.753118,371771442.0,245,279987947.3
2024-11-28,0.757071,343381009.0,248,259963879.97
2024-11-29,0.75123,343375504.0,262,257953826.06
2024-12-02,0.753783,345606982.0,267,260512585.02
2024-12-03,0.762195,434014183.0,273,330803284.63
2024-12-04,0.773378,468985086.0,291,362702819.83
2024-12-05,0.777994,478175145.0,298,372017389.64
2024-12-06,0.788991,479829963.0,308,378581406.56
2024-12-09,0.812349,495884892.0,335,402831402.55
2024-12-10,0.823972,500120236.0,376,412084957.46
2024-12-11,0.81724,517924263.0,395,423268445.72
2024-12-12,0.8186,459633600.0,403,376256247.98
2024-12-13,0.820397,450034804.0,405,369207086.6
2024-12-16,0.822925,451679162.0,413,371698258.94
2024-12-17,0.812187,452724532.0,415,367696896.88
2024-12-18,0.811197,452887686.0,412,367381262.39
2024-12-19,0.80132,450380655.0,405,360899123.58
2024-12-20,0.784942,450157731.0,394,353347772.71
2024-12-23,0.774946,450401819.0,386,349037243.27
2024-12-24,0.756083,449908365.0,380,340168050.76
2024-12-25,0.760069,448551901.0,375,340930214.42
2024-12-26,0.805989,448028875.0,371,361106240.69
2024-12-27,0.817661,448293884.0,373,366552498.34
2024-12-30,0.817373,456428487.0,375,373072374.32
2024-12-31,0.804381,456309105.0,376,367046492.0
2025-01-02,0.802706,448497545.0,372,360011448.02
2025-01-03,0.79959,444573231.0,370,355476442.37
2025-01-06,0.804395,444489158.0,371,357544652.88
2025-01-07,0.809135,436201536.0,366,352945845.55
2025-01-08,0.790523,436610160.0,361,345150423.66
2025-01-09,0.778253,436538529.0,355,339737459.02
2025-01-10,0.790511,434689996.0,348,343627018.14
2025-01-13,0.774837,434586244.0,342,336733445.45
2025-01-14,0.747209,434573568.0,340,324717452.15
2025-01-15,0.74431,434005876.0,334,323034761.23
2025-01-16,0.747191,433946518.0,337,324241126.47
2025-01-17,0.763623,436638962.0,333,333427522.5
2025-01-20,0.77113,436334583.0,329,336470669.79
2025-01-21,0.779401,436179249.0,330,339958406.97
2025-01-22,0.772664,436049442.0,327,336919627.8
2025-01-23,0.783814,409273417.0,323,320794102.46
2025-01-24,0.771935,409026030.0,316,315741494.86
2025-01-27,0.7635,407747127.0,309,311315017.47
2025-01-28,0.747324,405228259.0,308,302836851.82
2025-01-29,0.761174,402887481.0,305,306667318.99
2025-01-30,0.755843,405194724.0,305,306263678.43
2025-01-31,0.745215,405654911.0,304,302299955.77
2025-02-03,0.732714,405597948.0,303,297187375.37
2025-02-04,0.693195,411209609.0,303,285048261.99
2025-02-05,0.700458,411031283.0,301,287910229.64
2025-02-06,0.684221,412441492.0,300,282201228.66
2025-02-07,0.699308,412393373.0,297,288389981.04
2025-02-10,0.705631,412392536.0,294,290996965.42
2025-02-11,0.701834,412537086.0,293,289532713.98
2025-02-12,0.709245,412329230.0,294,292442514.1
2025-02-13,0.692445,409504753.0,290,283559438.19
2025-02-14,0.714889,409516054.0,287,292758562.96
2025-02-17,0.712896,402635558.0,285,287037214.67
2025-02-18,0.70543,403092477.0,286,284353481.33
2025-02-19,0.704322,400424673.0,288,282027935.87
2025-02-20,0.683374,400313057.0,285,273563512.82
2025-02-21,0.708019,400265196.0,280,283395447.2
2025-02-24,0.66893,401362610.0,280,268483422.38
2025-02-25,0.671648,400895636.0,275,269260775.5
2025-02-26,0.663084,400504777.0,277,265568276.32
2025-02-27,0.668093,399584926.0,273,266959973.46
2025-02-28,0.673563,399016250.0,273,268762654.41
2025-03-03,0.666105,399746428.0,272,266272963.84
2025-03-04,0.698832,400824558.0,273,280109080.49
2025-03-05,0.707916,401190936.0,274,284009659.44
2025-03-06,0.715565,401214118.0,274,287094724.28
2025-03-07,0.713233,401299232.0,276,286220024.4
2025-03-10,0.716059,401233045.0,275,287306447.06
