date,fiyat,pay,hesap,buyukluk
2025-07-30,40.468115,55684.0,2,2253426.54
2025-07-31,40.449609,55684.0,2,2252396.02
2025-08-01,40.438103,55684.0,3,2251755.32
2025-08-04,40.36959,55684.0,3,2247940.26
2025-08-05,40.660397,161716.0,4,6575436.69
2025-08-06,40.797892,161716.0,4,6597671.96
2025-08-07,40.690351,161716.0,4,6580280.87
2025-08-08,40.813995,162713.0,5,6640967.51
2025-08-11,40.788744,167684.0,6,6839619.67
2025-08-12,41.057342,169672.0,6,6966281.3
2025-08-13,41.072182,169672.0,6,6968799.2
2025-08-14,41.226662,173993.0,8,7173150.67
2025-08-15,41.318643,201631.0,10,8331119.28
2025-08-18,41.094702,327617.0,11,13463322.92
2025-08-19,41.216932,328608.0,11,13544213.73
2025-08-20,41.279552,323645.0,11,13359920.71
2025-08-21,41.153175,322654.0,11,13278236.56
2025-08-22,40.941275,322654.0,10,13209866.21
2025-08-25,40.986598,327269.0,10,13413643.07
2025-08-26,41.350288,327269.0,10,13532667.42
2025-08-27,41.244753,307519.0,10,12683545.31
2025-08-28,41.264565,324519.0,9,13391135.29
2025-08-29,41.441009,324519.0,9,13448394.87
2025-09-01,41.460312,324519.0,9,13454658.94
2025-09-02,41.506046,324519.0,9,13469500.7
2025-09-03,41.115746,329477.0,10,13546692.51
2025-09-04,41.239175,334515.0,12,13795122.62
2025-09-05,41.358562,332537.0,11,13753252.27
2025-09-08,41.868713,329575.0,11,13798880.97
2025-09-09,41.724474,333668.0,11,13922121.71
2025-09-10,41.668187,335641.0,12,13985551.79
2025-09-11,41.734883,337636.0,12,14091198.83
2025-09-12,42.102182,337636.0,12,14215212.47
2025-09-15,41.826526,340555.0,11,14244232.64
2025-09-16,42.399327,345480.0,13,14648119.47
2025-09-17,42.711659,345480.0,13,14756024.09
2025-09-18,42.816026,542399.0,16,23223369.77
2025-09-19,42.604121,664489.0,28,28309969.77
2025-09-22,42.583719,714427.0,40,30422958.61
2025-09-23,42.673367,669394.0,45,28565295.92
2025-09-24,42.740389,751306.0,54,32111110.35
2025-09-25,42.818898,879304.0,65,37650828.45
2025-09-26,42.734392,1250222.0,79,53427477.52
2025-09-29,42.725197,1371557.0,82,58600043.6
2025-09-30,42.861485,1614049.0,93,69180536.25
2025-10-01,42.961824,1936758.0,106,83206656.57
2025-10-02,43.015215,1952697.0,111,83995680.61
2025-10-03,43.25597,2006466.0,121,86791633.32
2025-10-06,43.211587,2533625.0,136,109481957.8
2025-10-07,43.164252,2830171.0,146,122162213.67
2025-10-08,43.138256,2991153.0,153,129033125.32
2025-10-09,43.202595,3051573.0,154,131835872.73
2025-10-10,43.210174,3057101.0,158,132097867.3
2025-10-13,43.138327,3646222.0,165,157291915.34
2025-10-14,43.101533,3646222.0,165,157157757.53
2025-10-15,43.023503,3862956.0,173,166197900.66
2025-10-16,43.369512,3493436.0,182,151508614.22
2025-10-17,43.493387,3685472.0,185,160293659.81
2025-10-20,43.451464,3853583.0,187,167443823.47
2025-10-21,43.646381,3900890.0,191,170259732.06
2025-10-22,44.176586,3938652.0,191,173996198.24
2025-10-23,44.177441,4247203.0,195,187630558.14
2025-10-24,44.096311,4360725.0,203,192291884.38
2025-10-27,44.221701,3740624.0,215,165416755.78
2025-10-28,44.287879,4613407.0,226,204318009.73
2025-10-30,44.403426,4608590.0,226,204637184.35
2025-10-31,44.286441,5467467.0,238,242134653.52
2025-11-03,44.302537,5754246.0,254,254927694.75
2025-11-04,44.446557,6319472.0,267,280878769.9
2025-11-05,44.359131,6684487.0,270,296518032.52
2025-11-06,44.455454,6786801.0,278,301710319.92
2025-11-07,44.388952,7038089.0,280,312413392.67
2025-11-10,44.375385,7085390.0,283,314416909.61
2025-11-11,44.447433,7502452.0,287,333464730.78
2025-11-12,44.533619,7502452.0,287,334111340.89
2025-11-13,44.524453,7539227.0,291,335679960.88
2025-11-14,44.715588,7585423.0,299,339186647.22
2025-11-17,44.639172,9794217.0,300,437205735.89
2025-11-18,44.753804,7633352.0,299,341621537.27
2025-11-19,44.77483,7647069.0,303,342396212.92
2025-11-20,44.771999,7904270.0,308,353889971.16
2025-11-21,44.817588,7948151.0,312,356216955.71
2025-11-24,44.842751,7953401.0,314,356652379.41
2025-11-25,44.982613,8072081.0,314,363103294.04
2025-11-26,44.990708,7925347.0,311,356566976.07
2025-11-27,45.11934,7971603.0,310,359673467.95
2025-11-28,45.150019,7971603.0,310,359918024.76
2025-12-01,45.183318,7935620.0,311,358557642.1
2025-12-02,45.263502,7761403.0,312,351308283.07
2025-12-03,45.263331,8248667.0,311,373362147.55
2025-12-04,45.417804,8259897.0,308,375146386.63
2025-12-05,45.428499,8279719.0,309,376135203.3
2025-12-08,45.439939,8596117.0,314,390607036.39
