date,fiyat,pay,hesap,buyukluk
2024-09-02,52.36881,249521234.644,5097,13067130194.52
2024-09-03,52.36881,249521234.644,5123,13067130194.52
2024-09-04,52.270286,251776335.644,5217,13160421048.75
2024-09-05,52.406058,255759663.644,5252,13403355697.82
2024-09-06,52.418241,261221107.644,5272,13692750925.13
2024-09-09,52.457128,262743137.644,5314,13782750432.0
2024-09-10,52.581876,265137944.644,5369,13941450517.64
2024-09-11,52.647278,266784250.644,5420,14045464598.79
2024-09-12,52.624676,267621354.644,5440,14083487169.83
2024-09-13,52.6337,270086695.644,5481,14215662158.68
2024-09-16,52.618537,272578874.644,5513,14342701670.97
2024-09-17,52.806279,275686343.644,5561,14557969869.72
2024-09-18,53.107041,276653602.644,5629,14692254317.58
2024-09-19,53.215399,281495218.644,5663,14979880346.7
2024-09-20,53.26689,288307236.644,5718,15357229847.1
2024-09-23,53.321594,291788561.644,5771,15558631196.67
2024-09-24,53.460701,295682722.644,5842,15807405729.26
2024-09-25,53.532445,297960380.644,5906,15950547760.56
2024-09-26,53.587441,300851226.644,5949,16121847399.55
2024-09-27,53.682447,304095912.644,5988,16324612727.99
2024-09-30,53.736185,308487946.644,6043,16576965494.5
2024-10-01,53.81642,311742721.644,6095,16776877293.3
2024-10-02,53.848917,315367924.644,6150,16982221262.72
2024-10-03,53.871772,318309441.644,6180,17147893636.21
2024-10-04,53.792899,320193770.644,6223,17224151256.05
2024-10-07,53.794102,321660097.644,6256,17303415982.94
2024-10-08,53.807073,326000194.644,6294,17541116381.25
2024-10-09,53.831938,317697180.644,6306,17102254795.39
2024-10-10,53.751505,317732876.644,6296,17078620173.28
2024-10-11,53.674834,317082081.644,6276,17019328171.73
2024-10-14,53.694422,317874459.644,6276,17068085507.9
2024-10-15,53.694422,317874459.644,6275,17068085507.9
2024-10-16,53.834311,317161852.644,6290,17074189685.89
2024-10-17,53.846456,317305039.644,6274,17085751932.99
2024-10-18,53.799139,314797017.644,6208,16935808534.44
2024-10-21,53.89468,312171366.644,6217,16824375764.65
2024-10-22,53.839467,315696791.644,6229,16996946940.07
2024-10-23,53.769282,315640928.644,6245,16971785949.77
2024-10-24,53.770974,313544384.644,6222,16859586870.0
2024-10-25,53.780371,311751499.644,6211,16766111192.74
2024-10-28,53.852288,308288096.644,6211,16602019276.29
2024-10-30,53.862351,307586906.644,6151,16567353870.96
2024-10-31,53.971635,303804454.644,6149,16396823004.26
2024-11-01,53.904524,302029351.644,6166,16280748289.48
2024-11-04,54.002358,302912151.644,6130,16357970371.63
2024-11-05,54.129971,299733480.644,6128,16224564677.35
2024-11-06,54.121619,299020630.644,6130,16183480594.76
2024-11-07,53.996183,298434984.644,6129,16114349960.8
2024-11-08,54.029363,298692269.644,6135,16138152988.11
2024-11-11,54.400568,299343220.644,6135,16284441226.82
2024-11-12,54.400568,299343220.644,6132,16284441226.82
2024-11-13,54.266217,297081212.644,6163,16121473657.85
2024-11-14,54.329992,298583756.644,6169,16222053090.47
2024-11-15,54.323121,298610934.644,6165,16221477950.67
2024-11-18,54.432848,295233119.644,6171,16070379651.46
2024-11-19,54.584218,295473162.644,6191,16128171452.59
2024-11-20,54.746791,292582334.644,6213,16017943999.54
2024-11-21,54.650698,296717617.644,6204,16215825046.34
2024-11-22,54.674511,295998510.644,6210,16183573891.26
2024-11-25,54.729589,294876015.644,6219,16138443184.9
2024-11-26,54.880955,295840593.644,6250,16236014404.42
2024-11-27,54.960373,296163114.644,6266,16277235104.76
2024-11-28,54.985822,295170822.644,6266,16230210296.74
2024-11-29,54.985822,295170822.644,6261,16230210296.74
2024-12-02,55.074033,295809614.644,6298,16291428543.06
2024-12-03,55.209624,296816771.644,6312,16387142375.36
2024-12-04,55.284493,297135030.644,6308,16426959625.96
2024-12-05,55.320807,292316279.644,6310,16171172493.97
2024-12-06,55.355976,293067887.644,6329,16223058946.0
2024-12-09,55.466423,294434174.644,6348,16331210570.6
2024-12-10,55.609795,294632115.644,6375,16384431495.04
2024-12-11,55.659283,295931849.644,6404,16471354424.87
2024-12-12,55.720757,296697868.644,6411,16532229882.45
2024-12-13,55.777896,295059875.644,6419,16457819048.56
2024-12-16,55.887846,297318446.644,6435,16616487471.13
2024-12-17,55.946168,297873977.644,6453,16664907643.13
2024-12-18,55.966662,298362153.644,6461,16698333875.02
2024-12-19,56.038625,299156973.644,6472,16764345541.42
2024-12-20,55.973245,300785364.644,6475,16835932808.35
2024-12-23,56.011655,301605039.644,6492,16893397565.18
2024-12-24,56.098491,302072164.644,6506,16945792459.6
2024-12-25,56.196277,299908751.644,6506,16853755423.64
2024-12-26,56.196277,299908751.644,6506,16853755423.64
2024-12-27,56.27035,299908751.644,6504,16875970472.34
2024-12-30,56.212273,295962390.644,6514,16636718574.04
2024-12-31,56.37926,294579681.644,6520,16608184561.51
2025-01-02,56.462036,292411989.644,6497,16510176323.27
2025-01-03,56.438708,291876678.644,6507,16473142597.85
2025-01-06,56.512859,295341136.644,6521,16690572068.73
2025-01-07,56.5788,296290427.644,6535,16763756857.96
2025-01-08,56.515745,297872354.644,6551,16834477940.04
2025-01-09,56.548401,297137639.644,6537,16802658392.28
2025-01-10,56.528149,295271281.644,6538,16691138945.04
2025-01-13,56.58435,294745401.644,6536,16677976911.5
2025-01-14,56.566748,293551868.644,6523,16605274573.11
2025-01-15,56.541441,290374172.644,6522,16418174180.83
2025-01-16,56.544342,289280145.644,6485,16357155569.04
2025-01-17,56.609071,284382812.644,6452,16098646789.81
2025-01-20,56.665317,281992427.644,6452,15979190258.16
2025-01-21,56.838799,281992427.644,6428,16028111052.9
2025-01-22,56.941259,283401332.644,6441,16137228650.17
2025-01-23,57.177117,274799773.644,6442,15712258725.39
2025-01-24,57.28517,274547365.644,6401,15727492441.45
2025-01-27,57.458763,273802998.644,6404,15732381575.92
2025-01-28,57.70592,274648189.644,6427,15848826380.36
2025-01-29,57.841837,274718878.644,6440,15890244565.85
2025-01-30,58.005193,278163328.644,6440,16134917512.26
2025-01-31,58.147894,278392195.644,6435,16187919990.72
2025-02-03,58.305178,279172564.644,6455,16277206015.53
2025-02-04,58.429021,279880913.644,6481,16353167725.87
2025-02-05,58.545032,281779797.644,6512,16496807228.97
2025-02-06,58.630782,283222142.644,6519,16605535580.36
2025-02-07,58.704246,284964567.644,6553,16728630005.51
2025-02-10,58.847962,285965669.644,6594,16828496778.14
2025-02-11,58.913714,288761742.644,6633,17012026614.03
2025-02-12,58.959754,290787554.644,6666,17144762790.51
2025-02-13,59.060655,292642511.644,6703,17283658533.78
2025-02-14,59.103787,293440915.644,6739,17343469318.52
2025-02-17,59.30829,301390524.644,6758,17874956558.64
2025-02-18,59.490214,301390524.644,6758,17929786854.85
2025-02-19,59.579206,301839816.644,6779,17983376660.81
2025-02-20,59.611341,304874256.644,6846,18173963301.51
2025-02-21,59.703783,306420801.644,6864,18294481124.57
2025-02-24,59.854505,308067886.644,6867,18439250821.41
2025-02-25,59.967544,308704072.644,6889,18512224921.93
2025-02-26,60.078832,311119968.644,6914,18691724201.86
2025-02-27,60.086916,312644467.644,6937,18785841856.83
2025-02-28,60.108053,309999581.644,6947,18633471258.91
2025-03-03,60.211376,311666666.644,6963,18765878912.01
2025-03-04,60.278137,312852952.644,6978,18858193029.31
2025-03-05,60.320598,313573135.644,7010,18914919039.76
2025-03-06,60.30603,314874310.644,7034,18988819486.36
2025-03-07,60.242875,315807172.644,7059,19025132087.12
2025-03-10,60.216358,317302746.644,7077,19106815788.97
2025-03-11,60.494543,318958308.644,7092,19295237225.48
2025-03-12,60.566361,318502615.644,7103,19290544444.22
2025-03-13,60.567846,318137069.644,7117,19268877145.86
2025-03-14,60.545687,320096856.644,7115,19380484068.41
2025-03-17,60.536624,321115612.644,7127,19439254996.75
2025-03-18,60.70206,320636816.644,7139,19463315358.79
2025-03-19,60.721858,320332905.644,7151,19451209082.14
2025-03-20,62.413198,321281138.644,7161,20052183380.2
2025-03-21,62.363046,316488357.644,7148,19737178013.52
2025-03-24,61.480268,309070685.644,7138,19001748570.09
2025-03-25,61.488025,296436559.644,7083,18227298687.42
2025-03-26,61.661955,284563849.644,7007,17546763194.49
2025-03-27,61.850475,274696487.644,6948,16990108288.74
2025-03-28,61.813804,273249524.644,6781,16890592556.13
2025-04-02,61.587662,275838058.644,6712,16988221098.25
2025-04-03,61.841947,276056014.644,6691,17071841374.15
2025-04-04,61.936323,276821138.644,6700,17145283446.92
2025-04-07,61.698755,277193663.644,6697,17102503925.74
2025-04-08,61.057362,277739021.644,6671,16958011933.44
2025-04-09,61.093357,275609064.644,6665,16837882904.87
2025-04-10,60.755474,267918322.644,6658,16277504552.06
2025-04-11,60.973002,262494324.644,6609,16005067067.6
2025-04-14,60.961319,261023515.644,6528,15912337739.03
2025-04-15,61.261753,256613113.644,6500,15720569160.44
2025-04-16,61.533936,256414461.644,6441,15778191101.21
2025-04-17,61.896953,255890428.644,6415,15838837757.97
2025-04-18,61.620653,255810062.644,6367,15763183179.23
2025-04-21,61.59999,255810062.644,6367,15757897309.74
2025-04-22,61.889676,255810062.644,6367,15832001857.46
2025-04-24,61.903752,256904825.644,6352,15903372724.07
2025-04-25,62.121722,244363082.644,6365,15180255456.32
2025-04-28,62.177009,243252998.644,6356,15124743925.72
2025-04-29,62.215736,242481933.644,6268,15086191882.46
2025-04-30,62.286144,241968784.644,6246,15071302470.41
2025-05-02,62.232271,241515256.644,6237,15030042991.64
2025-05-05,62.376936,229573312.644,6219,14320079844.46
2025-05-06,62.68739,224354154.644,6207,14064176501.82
2025-05-07,62.788543,221402931.644,6198,13901567431.92
2025-05-08,62.935564,220480095.644,6183,13876039277.64
2025-05-09,62.995074,219789433.644,6163,13845651720.03
2025-05-12,63.060244,218806607.644,6154,13797998023.48
2025-05-13,63.357439,219006617.644,6143,13875698326.16
2025-05-14,63.465758,218599816.644,6139,13873603133.85
2025-05-15,63.33127,218764033.644,6151,13854604038.95
2025-05-16,63.330214,218952958.644,6128,13866337764.18
2025-05-20,63.41913,219109822.644,6133,13895754408.7
2025-05-21,63.772066,219385223.644,6128,13990648922.43
2025-05-22,63.812444,219435074.644,6120,14002688465.69
2025-05-23,63.796989,219584365.644,6127,14008821388.5
