date,fiyat,pay,hesap,buyukluk
2024-09-02,0.213716,740756296.914,9609,158311710.18
2024-09-03,0.216404,740033768.028,9598,160146194.25
2024-09-04,0.216116,742195405.563,9617,160400484.98
2024-09-05,0.216177,749936305.351,9669,162119215.97
2024-09-06,0.216561,750024918.012,9665,162426411.53
2024-09-09,0.214781,748117751.497,9691,160681748.97
2024-09-10,0.213945,748204322.087,9688,160074404.07
2024-09-11,0.213697,747319362.892,9681,159700025.38
2024-09-12,0.210976,747116882.961,9677,157624014.41
2024-09-13,0.212506,747858509.736,9707,158924617.89
2024-09-16,0.215002,747693963.092,9696,160755795.99
2024-09-17,0.214512,749135544.295,9687,160698339.53
2024-09-18,0.216688,750441725.346,9678,162611551.48
2024-09-19,0.21663,749591984.433,9659,162384146.28
2024-09-20,0.219314,748558133.464,9633,164169544.1
2024-09-23,0.219663,748452339.694,9618,164407089.38
2024-09-24,0.218846,747380432.712,9595,163560854.9
2024-09-25,0.220372,746687735.776,9583,164549232.64
2024-09-26,0.218689,745571447.041,9556,163048522.23
2024-09-27,0.218021,744563309.079,9550,162330691.93
2024-09-30,0.219336,742439676.879,9536,162843970.17
2024-10-01,0.218565,740551076.053,9536,161858206.05
2024-10-02,0.213872,739968752.469,9536,158258702.03
2024-10-03,0.209452,744035579.233,9508,155839472.65
2024-10-04,0.207678,752575966.247,9568,156293457.89
2024-10-07,0.209188,754097018.634,9558,157748235.93
2024-10-08,0.208599,756645107.489,9565,157835374.57
2024-10-09,0.207552,757978285.031,9595,157320039.36
2024-10-10,0.208613,757419616.578,9550,158007402.56
2024-10-11,0.207969,761962755.204,9583,158464495.94
2024-10-14,0.208239,760960975.129,9555,158461731.56
2024-10-15,0.205858,760395978.15,9544,156533518.32
2024-10-16,0.207409,760051920.096,9527,157641337.51
2024-10-17,0.209387,759383995.058,9508,159004773.82
2024-10-18,0.210077,756254670.294,9493,158871795.63
2024-10-21,0.208259,755000675.85,9477,157235776.36
2024-10-22,0.20652,753875629.272,9457,155690168.37
2024-10-23,0.207928,753248864.903,9441,156621770.38
2024-10-24,0.206627,753082577.055,9419,155607512.03
2024-10-25,0.207944,752698203.259,9397,156519271.87
2024-10-28,0.208512,751297146.248,9379,156654511.64
2024-10-30,0.209099,751500033.134,9357,157137651.72
2024-10-31,0.209851,748472677.359,9327,157067768.06
2024-11-01,0.20876,746605728.994,9315,155861420.96
2024-11-04,0.209159,746240101.624,9302,156082715.44
2024-11-05,0.206601,750470381.685,9357,155048141.55
2024-11-06,0.20624,756388126.118,9375,155997537.2
2024-11-07,0.209345,761970684.831,9423,159514879.11
2024-11-08,0.210068,765246510.388,9476,160754062.36
2024-11-11,0.212254,765161793.678,9459,162408996.52
2024-11-12,0.212898,772672975.267,9441,164500574.16
2024-11-13,0.212992,772152391.552,9419,164461963.58
2024-11-14,0.212916,775512991.507,9396,165119002.44
2024-11-15,0.214192,775167766.163,9380,166034737.61
2024-11-18,0.214554,773943430.427,9374,166052906.48
2024-11-19,0.215406,770975061.705,9368,166072804.68
2024-11-20,0.214249,770620220.354,9359,165104854.47
2024-11-21,0.212822,770664979.123,9346,164014717.51
2024-11-22,0.21637,773118080.954,9339,167279409.67
2024-11-25,0.218548,772870463.481,9330,168909067.29
2024-11-26,0.21995,772670097.428,9321,169948559.67
2024-11-27,0.219767,772434177.775,9309,169755760.14
2024-11-28,0.220027,771459335.428,9387,169741965.16
2024-11-29,0.220708,770981325.821,9373,170162119.69
2024-12-02,0.221201,771016389.402,9369,170549970.05
2024-12-03,0.221379,771646576.605,9360,170825994.89
2024-12-04,0.222608,775215274.85,9417,172569461.56
2024-12-05,0.223143,782662874.738,9478,174645688.68
2024-12-06,0.223819,787429530.293,9481,176241821.45
