date,fiyat,pay,hesap,buyukluk
2024-09-02,8.521481,22070318.0,1224,188071792.98
2024-09-03,8.705397,22069914.0,1227,192127363.78
2024-09-04,8.64051,22039968.0,1222,190436559.76
2024-09-05,8.60207,22014525.0,1217,189370476.47
2024-09-06,8.573087,22019166.0,1218,188772228.24
2024-09-09,8.479181,22096739.0,1219,187362255.18
2024-09-10,8.4351,22249927.0,1217,187680366.92
2024-09-11,8.382607,22233075.0,1213,186371139.56
2024-09-12,8.224385,22336477.0,1211,183703785.67
2024-09-13,8.273146,22351155.0,1209,184914359.43
2024-09-16,8.452411,22227702.0,1202,187877676.91
2024-09-17,8.418088,22186327.0,1210,186766461.67
2024-09-18,8.535198,22166557.0,1208,189195960.82
2024-09-19,8.524156,22159723.0,1210,188892934.74
2024-09-20,8.638758,22505782.0,1211,194422000.75
2024-09-23,8.629871,22547099.0,1213,194578564.0
2024-09-24,8.657557,22544325.0,1211,195178775.68
2024-09-25,8.73471,22451975.0,1208,196111482.31
2024-09-26,8.596198,22470298.0,1212,193159135.87
2024-09-27,8.571533,22463051.0,1210,192542790.71
2024-09-30,8.571246,22508458.0,1210,192925522.5
2024-10-01,8.51452,22684211.0,1213,193145170.51
2024-10-02,8.285228,22705482.0,1211,188120095.31
2024-10-03,8.050981,22736631.0,1203,183052174.87
2024-10-04,8.039797,22741209.0,1199,182834706.89
2024-10-07,8.185461,22838488.0,1199,186943560.38
2024-10-08,8.147115,22961257.0,1199,187068009.75
2024-10-09,8.124358,22942338.0,1195,186391766.36
2024-10-10,8.138651,22957177.0,1197,186840459.39
2024-10-11,8.057616,22942223.0,1196,184859617.91
2024-10-14,8.036404,24051777.0,1195,193289791.1
2024-10-15,7.872962,24051222.0,1199,189354362.69
2024-10-16,7.993866,23958907.0,1194,191524282.77
2024-10-17,8.062575,24163960.0,1195,194823743.12
2024-10-18,8.128265,24182383.0,1199,196560824.12
2024-10-21,8.011042,24179022.0,1199,193699153.54
2024-10-22,7.921873,24217612.0,1198,191848851.77
2024-10-23,8.039855,24220075.0,1194,194725888.82
2024-10-24,7.929366,24210338.0,1188,191972621.38
2024-10-25,8.057267,24210947.0,1186,195074074.97
2024-10-28,8.094034,24276533.0,1185,196495095.57
2024-10-30,8.133884,24260125.0,1183,197329036.45
2024-10-31,8.204195,24260335.0,1185,199036515.82
2024-11-01,8.111802,24266282.0,1184,196843266.37
2024-11-04,8.182124,24149471.0,1186,197593971.08
2024-11-05,8.042848,24157847.0,1190,194297894.23
2024-11-06,8.062676,24172105.0,1189,194891843.21
2024-11-07,8.250597,24177169.0,1191,199476087.62
2024-11-08,8.314212,24175977.0,1189,201004194.12
2024-11-11,8.480866,24176719.0,1187,205039520.93
2024-11-12,8.51668,24176415.0,1188,205902786.82
2024-11-13,8.438488,24179337.0,1186,204037041.14
2024-11-14,8.421935,24183757.0,1181,203674019.71
2024-11-15,8.495117,24186765.0,1179,205469397.87
2024-11-18,8.457278,24186613.0,1183,204552917.49
2024-11-19,8.459198,24190960.0,1184,204636117.27
2024-11-20,8.368828,24206639.0,1181,202581195.74
2024-11-21,8.170647,24180006.0,1181,197566300.44
2024-11-22,8.387982,24550444.0,1178,205928690.76
2024-11-25,8.535319,24667018.0,1172,210540857.97
2024-11-26,8.654778,24661943.0,1175,213443648.38
2024-11-27,8.611465,24654922.0,1171,212314995.06
2024-11-28,8.593406,24635684.0,1164,211704433.54
2024-11-29,8.629618,24634676.0,1161,212587851.39
2024-12-02,8.673506,24624636.0,1158,213581929.31
2024-12-03,8.772564,24622725.0,1158,216004428.41
2024-12-04,8.840399,24629343.0,1155,217733225.8
2024-12-05,8.907684,24630436.0,1153,219400137.41
2024-12-06,8.939325,24624471.0,1149,220126148.12
2024-12-09,9.012235,24628912.0,1154,221961549.14
2024-12-10,9.171686,25503722.0,1156,233912122.99
2024-12-11,9.065428,25671671.0,1158,232724676.91
2024-12-12,9.031583,25457353.0,1156,229920208.47
2024-12-13,9.056177,25453714.0,1153,230513341.79
2024-12-16,9.117771,25387282.0,1155,231475412.39
2024-12-17,9.007103,25387683.0,1153,228669483.91
2024-12-18,9.033348,25389176.0,1147,229349256.11
2024-12-19,8.980314,25542867.0,1145,229382957.37
2024-12-20,8.880729,25547362.0,1147,226879190.18
2024-12-23,8.824457,27119339.0,1143,239313453.81
2024-12-24,8.7852,27110805.0,1143,238173847.19
2024-12-25,8.818926,27440610.0,1141,241996719.32
2024-12-26,8.982294,27437611.0,1135,246452678.53
2024-12-27,9.001739,27437156.0,1137,246982128.65
2024-12-30,9.091425,27462678.0,1136,249674876.52
2024-12-31,9.09282,27452696.0,1137,249622436.4
2025-01-02,9.148453,27559881.0,1139,252130275.46
2025-01-03,9.172484,28329029.0,1142,259847553.79
2025-01-06,9.257755,28417255.0,1136,263079991.45
2025-01-07,9.285111,28146260.0,1136,261341142.69
2025-01-08,9.213706,28196643.0,1132,259795576.05
2025-01-09,9.104314,28194766.0,1131,256694006.22
2025-01-10,9.176223,28263682.0,1127,259353850.98
2025-01-13,9.105471,28558943.0,1126,260042628.05
2025-01-14,8.949348,28562347.0,1126,255614374.44
2025-01-15,8.898024,28557581.0,1123,254106036.26
2025-01-16,8.884921,28657711.0,1123,254621490.16
2025-01-17,8.972144,28940214.0,1121,259655765.79
2025-01-20,9.016278,28911555.0,1118,260674625.97
2025-01-21,9.01272,28907010.0,1119,260530773.97
2025-01-22,8.896631,28962282.0,1115,257666729.07
2025-01-23,8.947237,28949288.0,1113,259016132.66
2025-01-24,8.982055,28947722.0,1112,260010024.17
2025-01-27,9.0122,28945978.0,1108,260866955.28
2025-01-28,8.888254,28960102.0,1104,257404739.17
2025-01-29,8.937458,28954317.0,1096,258777982.07
2025-01-30,8.875442,28925204.0,1096,256723966.37
2025-01-31,8.927906,28932065.0,1090,258302757.61
2025-02-03,8.862461,28931243.0,1090,256402022.71
2025-02-04,8.684447,28886948.0,1086,250867177.26
2025-02-05,8.732037,28825541.0,1090,251705703.94
2025-02-06,8.62298,30309539.0,1080,261358534.76
2025-02-07,8.726251,30540398.0,1075,266503178.74
2025-02-10,8.877807,30526216.0,1073,271005852.27
2025-02-11,8.765484,30545183.0,1070,267743300.8
2025-02-12,8.795571,30504223.0,1066,268302058.14
