date,fiyat,pay,hesap,buyukluk
2024-09-02,0.153716,964731231.792,3431,148294265.67
2024-09-03,0.155169,965578598.366,3435,149827647.83
2024-09-04,0.154656,973573536.505,3461,150568554.26
2024-09-05,0.154608,974416058.822,3466,150652412.47
2024-09-06,0.155215,972014230.606,3451,150870900.45
2024-09-09,0.154639,968719651.545,3444,149801839.89
2024-09-10,0.15415,966802876.48,3443,149032711.44
2024-09-11,0.153403,966575869.822,3442,148276058.96
2024-09-12,0.15227,962933343.399,3437,146626137.43
2024-09-13,0.152716,956245173.959,3438,146034324.51
2024-09-16,0.154031,956335559.192,3432,147305485.93
2024-09-17,0.154319,945794828.214,3419,145953802.79
2024-09-18,0.155656,941761908.951,3418,146590692.05
2024-09-19,0.155749,942424027.292,3407,146781685.15
2024-09-20,0.156959,942037196.032,3396,147860991.82
2024-09-23,0.1578,938731231.794,3379,148131544.01
2024-09-24,0.15722,935373949.45,3371,147059300.34
2024-09-25,0.157888,929123485.139,3360,146697126.87
2024-09-26,0.157238,926703997.077,3339,145712747.98
2024-09-27,0.157039,926519364.758,3337,145499508.03
2024-09-30,0.157486,926585498.068,3322,145924469.5
2024-10-01,0.157125,933932347.675,3322,146744572.42
2024-10-02,0.155032,928383875.849,3322,143928857.31
2024-10-03,0.153533,931794827.728,3329,143061238.0
2024-10-04,0.152914,925585021.525,3319,141535226.86
2024-10-07,0.154494,913788830.075,3302,141174853.53
2024-10-08,0.154303,905320037.59,3296,139693618.32
2024-10-09,0.154172,911510537.594,3292,140529825.77
2024-10-10,0.154758,906945714.192,3284,140357159.8
2024-10-11,0.153954,898869953.811,3284,138384411.34
2024-10-14,0.153902,899428913.765,3284,138423682.93
2024-10-15,0.153273,884041482.239,3278,135499637.25
2024-10-16,0.155095,879559379.508,3262,136415646.77
2024-10-17,0.155176,878522058.328,3256,136325274.05
2024-10-18,0.155408,877291846.968,3251,136337962.18
2024-10-21,0.154285,872500999.222,3248,134613615.62
2024-10-22,0.153796,869540072.619,3236,133731901.14
2024-10-23,0.154712,868387059.819,3238,134349730.67
2024-10-24,0.153643,860435622.368,3230,132199880.71
2024-10-25,0.155044,860525116.899,3231,133419571.19
2024-10-28,0.156248,856740273.542,3216,133864112.11
2024-10-30,0.156791,859088349.918,3208,134697589.53
2024-10-31,0.157253,856648788.577,3196,134710981.49
2024-11-01,0.156795,853476688.144,3194,133820630.46
2024-11-04,0.156326,852571595.629,3186,133279517.09
2024-11-05,0.155467,858051190.711,3194,133398516.54
2024-11-06,0.155487,857580785.126,3203,133342459.43
2024-11-07,0.157263,855852944.71,3197,134593995.09
2024-11-08,0.157559,857395939.707,3195,135090135.46
2024-11-11,0.15878,853685188.757,3179,135547933.6
2024-11-12,0.159131,849716459.693,3169,135216148.74
2024-11-13,0.159951,847412479.697,3165,135544576.0
2024-11-14,0.159912,848527859.118,3163,135689885.79
2024-11-15,0.160457,849490131.1,3160,136306496.03
2024-11-18,0.160347,848446598.496,3159,136045704.27
2024-11-19,0.160706,849462103.112,3153,136514003.29
2024-11-20,0.159995,855131105.643,3148,136816717.48
2024-11-21,0.159124,856338981.388,3143,136264084.57
2024-11-22,0.160973,856372567.999,3134,137852604.2
2024-11-25,0.162165,856105490.407,3131,138830639.31
2024-11-26,0.163028,855969454.528,3126,139546729.61
2024-11-27,0.16308,854110301.641,3117,139288247.35
2024-11-28,0.163121,853031284.524,3115,139147189.24
2024-11-29,0.163497,849867745.202,3103,138950568.69
2024-12-02,0.163766,849638399.762,3105,139142062.98
2024-12-03,0.165103,851667631.178,3110,140613046.46
