date,fiyat,pay,hesap,buyukluk
2024-09-02,0.719522,2734155119.0,3951,1967283692.32
2024-09-03,0.733226,2733625731.0,3936,2004364856.43
2024-09-04,0.728353,2708253583.0,3921,1972563944.07
2024-09-05,0.726575,2699811315.0,3904,1961616690.51
2024-09-06,0.723545,2695907144.0,3896,1950609355.05
2024-09-09,0.714296,2694503341.0,3895,1924672943.14
2024-09-10,0.708305,2697718009.0,3871,1910806200.23
2024-09-11,0.704159,2691156649.0,3839,1895001732.93
2024-09-12,0.692872,2643813995.0,3817,1831824479.0
2024-09-13,0.699674,2629911373.0,3794,1840081355.94
2024-09-16,0.708053,2605846881.0,3786,1845077507.28
2024-09-17,0.704287,2603325494.0,3769,1833487972.31
2024-09-18,0.713363,2595901167.0,3747,1851820738.03
2024-09-19,0.715484,2571443271.0,3742,1839825967.32
2024-09-20,0.727691,2570010219.0,3736,1870174547.31
2024-09-23,0.727224,2568105320.0,3724,1867586718.66
2024-09-24,0.726896,2581113500.0,3714,1876200772.45
2024-09-25,0.737001,2577457001.0,3702,1899587824.64
2024-09-26,0.730164,2568568041.0,3691,1875475928.96
2024-09-27,0.728713,2559450593.0,3684,1865105952.27
2024-09-30,0.728214,2544714996.0,3677,1853097630.61
2024-10-01,0.722828,2542252102.0,3659,1837609820.81
2024-10-02,0.705951,2532003285.0,3639,1787470040.88
2024-10-03,0.686724,2524660185.0,3619,1733744879.47
2024-10-04,0.679675,2515635137.0,3607,1709814009.37
2024-10-07,0.690064,2513411463.0,3599,1734415269.25
2024-10-08,0.688541,2508289080.0,3585,1727060480.8
2024-10-09,0.689094,2504330820.0,3566,1725719284.37
2024-10-10,0.695493,2497221180.0,3552,1736799650.14
2024-10-11,0.687919,2486311141.0,3552,1710381099.25
2024-10-14,0.68285,2471347139.0,3549,1687559978.9
2024-10-15,0.67283,2470040421.0,3528,1661916391.78
2024-10-16,0.68155,2461090085.0,3517,1677355410.43
2024-10-17,0.686267,2459541177.0,3512,1687902380.51
2024-10-18,0.686318,2456962559.0,3508,1686256480.14
2024-10-21,0.673838,2456892026.0,3502,1655547876.98
2024-10-22,0.664779,2452804633.0,3493,1630572062.42
2024-10-23,0.673417,2448785287.0,3480,1649053828.88
2024-10-24,0.666748,2384554603.0,3470,1589897740.08
2024-10-25,0.674125,2376085170.0,3458,1601778579.38
2024-10-28,0.677154,2374048286.0,3454,1607595354.74
2024-10-30,0.678835,2372359094.0,3447,1610439222.49
2024-10-31,0.681725,2371378660.0,3434,1616628923.52
2024-11-01,0.675615,2366663851.0,3422,1598954690.22
2024-11-04,0.675526,2350393998.0,3417,1587752246.22
2024-11-05,0.664369,2346986269.0,3402,1559265431.06
2024-11-06,0.661817,2344242166.0,3389,1551459195.15
2024-11-07,0.673936,2331422239.0,3375,1571229432.25
2024-11-08,0.679298,2328284863.0,3370,1581600187.92
2024-11-11,0.695554,2317206250.0,3364,1611741818.01
2024-11-12,0.701809,2314405065.0,3360,1624269334.52
2024-11-13,0.701653,2311630458.0,3350,1621961632.15
2024-11-14,0.707619,2308561412.0,3345,1633581606.1
2024-11-15,0.713232,2307890273.0,3342,1646060481.51
2024-11-18,0.712274,2309130048.0,3341,1644733486.88
2024-11-19,0.714366,2316504888.0,3336,1654832117.47
2024-11-20,0.707099,2313402739.0,3321,1635805006.23
2024-11-21,0.698401,2308236176.0,3319,1612073697.73
2024-11-22,0.716157,2305185298.0,3317,1650874370.94
