date,fiyat,pay,hesap,buyukluk
2024-09-02,2.926866,661163241.387,4137,1935136342.68
2024-09-03,2.947865,659705006.387,4137,1944721226.1
2024-09-04,2.935149,656376756.387,4131,1926563426.21
2024-09-05,2.92864,651526434.387,4122,1908086557.05
2024-09-06,2.929554,647696623.387,4105,1897462510.14
2024-09-09,2.914723,645411256.387,4099,1881195215.69
2024-09-10,2.904662,643029243.387,4084,1867782418.81
2024-09-11,2.902277,633396779.387,4067,1838292839.49
2024-09-12,2.890885,622471519.387,4026,1799493595.49
2024-09-13,2.909958,614578603.387,4004,1788397831.98
2024-09-16,2.92867,610173945.387,3976,1786998040.24
2024-09-17,2.92965,607010860.387,3966,1778329202.46
2024-09-18,2.947821,600012553.387,3950,1768729441.74
2024-09-19,2.949646,597479157.387,3919,1762351958.07
2024-09-20,2.974092,594570458.387,3915,1768307088.52
2024-09-23,2.977277,592517450.387,3915,1764088587.27
2024-09-24,2.984371,588412673.387,3906,1756042004.59
2024-09-25,2.99772,580435538.387,3893,1739983115.3
2024-09-26,2.998164,576364607.387,3870,1728035374.13
2024-09-27,3.006918,574884539.387,3869,1728630912.81
2024-09-30,3.017145,566581337.387,3869,1709458000.92
2024-10-01,3.015353,547742333.387,3869,1651636406.6
2024-10-02,2.999465,545064172.387,3862,1634900778.42
2024-10-03,2.979547,548765645.387,3853,1635073128.51
2024-10-04,2.982221,545705498.387,3834,1627414629.06
2024-10-07,2.99408,544613115.387,3812,1630615370.29
2024-10-08,3.004754,543395941.387,3796,1632771369.37
2024-10-09,3.001221,534753665.387,3785,1604914089.32
2024-10-10,3.007766,532718735.387,3767,1602293338.15
2024-10-11,3.01541,530644994.387,3758,1600112423.62
2024-10-14,3.01794,529522628.387,3754,1598067376.55
2024-10-15,3.016334,524006791.387,3754,1580579631.99
2024-10-16,3.029318,518791143.387,3729,1571583458.52
2024-10-17,3.027313,517367863.387,3720,1566234223.16
2024-10-18,3.036945,514885574.387,3718,1563679071.98
2024-10-21,3.036973,513078382.387,3715,1558205100.74
2024-10-22,3.039338,511312987.387,3710,1554052997.02
2024-10-23,3.044975,509274177.387,3714,1550727312.92
2024-10-24,3.045018,508505305.387,3702,1548408003.89
2024-10-25,3.042183,506864638.387,3699,1541975052.14
2024-10-28,3.059636,506327427.387,3693,1549177704.47
2024-10-30,3.064246,504078615.387,3678,1544620632.92
2024-10-31,3.068549,501338010.387,3670,1538380375.56
2024-11-01,3.066046,499594465.387,3659,1531779551.15
2024-11-04,3.070375,499938141.387,3647,1534997358.28
2024-11-05,3.067564,499827154.387,3654,1533251874.03
2024-11-06,3.066134,499621507.387,3642,1531906400.51
2024-11-07,3.075176,495147287.387,3636,1522665202.54
2024-11-08,3.08858,494243331.387,3628,1526510157.42
2024-11-11,3.107999,492184918.387,3625,1529710349.77
