date,fiyat,pay,hesap,buyukluk
2024-09-02,1.072725,181883584.0,3286,195111151.95
2024-09-03,1.105124,181983734.0,3297,201114553.49
2024-09-04,1.095037,182931598.0,3275,200316855.99
2024-09-05,1.090605,182895815.0,3273,199467014.65
2024-09-06,1.084412,183698646.0,3263,199205064.35
2024-09-09,1.063637,183238772.0,3253,194899596.32
2024-09-10,1.052594,183570981.0,3250,193225759.54
2024-09-11,1.049351,183367448.0,3228,192416827.68
2024-09-12,1.033804,181680788.0,3203,187822371.43
2024-09-13,1.046476,181289204.0,3189,189714840.7
2024-09-16,1.067412,183646686.0,3179,196026668.57
2024-09-17,1.057819,183608045.0,3182,194224036.59
2024-09-18,1.077191,178995619.0,3157,192812530.86
2024-09-19,1.080763,178894257.0,3146,193342265.72
2024-09-20,1.100459,179180154.0,3141,197180425.94
2024-09-23,1.093792,179266860.0,3138,196080614.87
2024-09-24,1.089594,179565790.0,3141,195653870.52
2024-09-25,1.115715,179613177.0,3128,200397030.05
2024-09-26,1.106232,179571014.0,3128,198647112.69
2024-09-27,1.096973,179184113.0,3119,196560072.83
2024-09-30,1.101273,178055790.0,3112,196088001.59
2024-10-01,1.093204,177868194.0,3113,194446224.11
2024-10-02,1.06673,177718276.0,3097,189577379.52
2024-10-03,1.030766,177425671.0,3089,182884260.79
2024-10-04,1.012524,177165392.0,3068,179384133.73
2024-10-07,1.030457,177364213.0,3052,182766106.82
2024-10-08,1.022563,177336835.0,3050,181338021.2
2024-10-09,1.021114,177024539.0,3043,180762259.11
2024-10-10,1.037133,176713767.0,3036,183275684.56
2024-10-11,1.018347,176170766.0,3025,179403032.4
2024-10-14,1.021047,176352857.0,3021,180064596.42
2024-10-15,1.006294,176382419.0,3025,177492576.83
2024-10-16,1.023211,176245133.0,3013,180335895.84
2024-10-17,1.033321,175907992.0,3000,181769503.25
2024-10-18,1.038924,164361680.0,3000,170759295.37
2024-10-21,1.021634,164645731.0,3002,168207631.18
2024-10-22,1.005253,164963334.0,3007,165829853.97
2024-10-23,1.021908,164602199.0,2991,168208223.48
2024-10-24,1.010592,165113076.0,2980,166861973.68
2024-10-25,1.024162,165181474.0,2982,169172576.93
2024-10-28,1.023727,165452890.0,2978,169378629.67
2024-10-30,1.025323,165323351.0,2970,169509779.55
2024-10-31,1.028446,165044143.0,2972,169739002.47
2024-11-01,1.012663,165136684.0,2966,167227808.18
2024-11-04,1.02068,165368037.0,2963,168787783.98
2024-11-05,1.000782,166143892.0,2959,166273836.76
2024-11-06,1.001843,161685185.0,2946,161983188.06
2024-11-07,1.028281,161577512.0,2942,166147136.77
2024-11-08,1.0388,161644345.0,2939,167916195.45
2024-11-11,1.066007,161663629.0,2942,172334633.2
2024-11-12,1.069469,162177448.0,2964,173443713.01
2024-11-13,1.072121,163844923.0,2973,175661616.13
2024-11-14,1.079378,165576804.0,2977,178719941.64
2024-11-15,1.090921,166628325.0,2989,181778392.82
2024-11-18,1.084171,167502680.0,3019,181601590.65
2024-11-19,1.086596,170485194.0,3042,185248453.86
2024-11-20,1.071844,172385544.0,3038,184770450.53
2024-11-21,1.051669,172300131.0,3033,181202773.58
2024-11-22,1.08827,171234745.0,3032,186349671.75
2024-11-25,1.104891,172654397.0,3041,190764371.96
2024-11-26,1.112825,176805585.0,3059,196753672.3
2024-11-27,1.108706,178757449.0,3054,198189540.14
2024-11-28,1.105795,182033249.0,3051,201291437.63
2024-11-29,1.112056,181665191.0,3044,202021791.24
2024-12-02,1.114223,181789339.0,3027,202553876.4
2024-12-03,1.11464,181691054.0,3039,202520132.27
2024-12-04,1.137553,182181007.0,3031,207240482.19
2024-12-05,1.139564,183625368.0,3035,209252926.11
2024-12-06,1.144354,182714134.0,3034,209089682.55
2024-12-09,1.15707,183004883.0,3038,211749384.47
2024-12-10,1.187167,183010775.0,3051,217264394.23
2024-12-11,1.164408,182643709.0,3057,212671807.53
2024-12-12,1.160432,180708451.0,3057,209699799.0
2024-12-13,1.161477,180974057.0,3055,210197181.2
2024-12-16,1.174035,180773669.0,3056,212234563.66
2024-12-17,1.160189,181516665.0,3075,210593618.02
2024-12-18,1.164553,181653180.0,3084,211544748.32
2024-12-19,1.154636,178227885.0,3079,205788330.88
2024-12-20,1.131861,179348670.0,3078,202997832.01
2024-12-23,1.123591,179298294.0,3073,201457950.33
2024-12-24,1.117763,179045013.0,3067,200129834.48
2024-12-25,1.127073,178780187.0,3051,201498373.44
2024-12-26,1.160394,178511489.0,3041,207143719.25
2024-12-27,1.155832,178666014.0,3054,206507876.02
2024-12-30,1.165234,180287975.0,3057,210077606.59
2024-12-31,1.147537,181976360.0,3069,208824628.3
2025-01-02,1.133829,183077646.0,3061,207578654.98
2025-01-03,1.153735,184840999.0,3055,213257478.93
2025-01-06,1.160708,185270459.0,3046,215044884.76
2025-01-07,1.163606,185279601.0,3057,215592424.19
2025-01-08,1.149074,190273234.0,3047,218637988.08
2025-01-09,1.140544,192185031.0,3043,219195395.4
2025-01-10,1.157968,191847611.0,3042,222153364.34
2025-01-13,1.143971,192989515.0,3036,220774403.89
2025-01-14,1.12447,191440315.0,3033,215268838.62
2025-01-15,1.119755,190075748.0,3013,212838284.56
2025-01-16,1.123927,190302096.0,2998,213885636.83
2025-01-17,1.142913,187833651.0,2992,214677521.49
2025-01-20,1.156962,187830181.0,2983,217312429.57
2025-01-21,1.163791,188201400.0,2978,219027006.71
2025-01-22,1.164774,186486802.0,2955,217214979.57
2025-01-23,1.182488,186631241.0,2944,220689268.15
2025-01-24,1.178617,186664095.0,2935,220005513.92
2025-01-27,1.178449,186528876.0,2932,219814709.3
2025-01-28,1.169469,187912806.0,2929,219758156.42
2025-01-29,1.188754,186346600.0,2903,221520227.43
2025-01-30,1.181544,186065113.0,2903,219844110.75
2025-01-31,1.17426,185995869.0,2889,218407553.11
2025-02-03,1.160977,185892061.0,2879,215816347.69
2025-02-04,1.135305,185869672.0,2869,211018843.75
2025-02-05,1.142055,185301551.0,2865,211624652.48
2025-02-06,1.129417,183726213.0,2846,207503453.13
2025-02-07,1.144476,182737275.0,2836,209138500.42
2025-02-10,1.155877,182532151.0,2822,210984705.12
2025-02-11,1.146771,182443621.0,2814,209221115.47
2025-02-12,1.15211,181779017.0,2806,209429397.46
2025-02-13,1.141788,177465275.0,2792,202627744.27
2025-02-14,1.154901,177252665.0,2781,204709277.06
2025-02-17,1.151322,177152926.0,2770,203960025.0
2025-02-18,1.145423,177186243.0,2767,202953118.35
2025-02-19,1.163286,176879021.0,2767,205760915.16
2025-02-20,1.150677,176820920.0,2751,203463713.71
2025-02-21,1.155103,176776737.0,2741,204195254.37
2025-02-24,1.132052,176583169.0,2733,199901288.31
2025-02-25,1.129172,176324197.0,2718,199100260.02
2025-02-26,1.119314,174777229.0,2709,195630595.03
2025-02-27,1.13393,173924316.0,2689,197218006.92
2025-02-28,1.154128,173859594.0,2675,200656305.48
2025-03-03,1.145119,173822420.0,2665,199047404.73
2025-03-04,1.177042,173814688.0,2653,204587201.43
2025-03-05,1.174792,172881277.0,2653,203099577.27
2025-03-06,1.203563,172099418.0,2641,207132501.62
2025-03-07,1.226956,172123485.0,2637,211188008.1
2025-03-10,1.227433,172438838.0,2630,211657153.35
2025-03-11,1.217825,173072072.0,2636,210771458.75
2025-03-12,1.218761,175343391.0,2651,213701759.68
