date,fiyat,pay,hesap,buyukluk
2024-09-02,0.134796,10457668796.746,47687,1409655571.56
2024-09-03,0.13878,10460656357.679,47659,1451728699.88
2024-09-04,0.137732,10473890661.715,47773,1442585605.6
2024-09-05,0.137636,10447210648.107,47728,1437913636.56
2024-09-06,0.136818,10427970841.093,47560,1426736234.89
2024-09-09,0.134063,10421953560.44,47486,1397198813.68
2024-09-10,0.132519,10404894062.875,47469,1378850223.53
2024-09-11,0.131467,10398238047.367,47475,1367030138.12
2024-09-12,0.129154,10393486243.941,47422,1342365085.28
2024-09-13,0.130791,10279975466.604,47375,1344526396.46
2024-09-16,0.132076,10237486980.983,47176,1352131116.39
2024-09-17,0.130234,10219100933.015,47117,1330871663.7
2024-09-18,0.132624,10181839332.101,47084,1350358569.04
2024-09-19,0.133204,10178939690.384,46994,1355873842.18
2024-09-20,0.13583,10160394559.672,46935,1380088316.54
2024-09-23,0.134845,10154085717.332,46882,1369226216.03
2024-09-24,0.135324,10128390060.353,46863,1370614852.3
2024-09-25,0.138309,10109200969.459,47383,1398196423.46
2024-09-26,0.136709,10115261273.42,47299,1382843289.15
2024-09-27,0.135786,10086153346.662,47296,1369559342.6
2024-09-30,0.136158,10072392493.022,47290,1371436917.5
2024-10-01,0.134721,10062351580.338,47248,1355613981.58
2024-10-02,0.1311,9998131505.552,47225,1310751387.54
2024-10-03,0.126006,10019107108.383,47040,1262463114.75
2024-10-04,0.123907,9932789546.463,47033,1230747067.35
2024-10-07,0.126575,9908342461.904,46905,1254146988.48
2024-10-08,0.125923,9886551761.359,46803,1244939426.41
2024-10-09,0.126232,9843137381.603,46700,1242521707.51
2024-10-10,0.128577,9819353511.423,46530,1262538352.93
2024-10-11,0.125795,9811617644.737,46474,1234252256.07
2024-10-14,0.124635,9807244873.995,46441,1222326742.32
2024-10-15,0.122559,9800898091.676,46413,1201184788.85
2024-10-16,0.124641,9787557501.129,46403,1219929828.52
2024-10-17,0.126095,9759037053.014,46344,1230569691.61
2024-10-18,0.126152,9745036827.367,46275,1229359166.87
2024-10-21,0.123098,9740165311.344,46232,1198992072.64
2024-10-22,0.120499,9727534019.183,46194,1172154408.61
2024-10-23,0.123384,9708814718.865,46176,1197909670.93
2024-10-24,0.122184,9690553364.232,46048,1184032416.73
2024-10-25,0.12385,9685734054.51,45979,1199582149.44
2024-10-28,0.12421,9659909336.297,45938,1199859039.1
2024-10-30,0.123981,9655594755.595,45845,1197109957.71
2024-10-31,0.124621,9661863828.577,45835,1204066897.69
2024-11-01,0.122327,9642211659.508,45790,1179501981.68
2024-11-04,0.122582,9630687615.403,45699,1180547792.65
2024-11-05,0.119338,9650350066.499,45687,1151653946.73
2024-11-06,0.118824,9629100760.849,45702,1144164951.88
2024-11-07,0.121691,9637372122.857,45625,1172786146.29
2024-11-08,0.123052,9643285450.737,45578,1186628422.3
2024-11-11,0.126783,9648953295.589,45542,1223322264.1
2024-11-12,0.128436,9654195061.857,45526,1239944751.3
2024-11-13,0.128673,9620780363.345,45565,1237936796.87
2024-11-14,0.130183,9615213424.339,45459,1251737853.72
2024-11-15,0.131583,9635430396.322,45446,1267862475.13
2024-11-18,0.130797,9639779021.447,45434,1260851269.57
2024-11-19,0.13083,9554932417.279,45406,1250074647.27
2024-11-20,0.128466,9547796574.693,45433,1226568783.48
2024-11-21,0.125945,9566633702.891,45372,1204866149.91
2024-11-22,0.131032,9522044464.821,45365,1247693713.96
2024-11-25,0.134004,9504513756.063,45316,1273640206.65
2024-11-26,0.1348,9506452023.432,45294,1281465930.96
2024-11-27,0.134308,9520829730.832,45295,1278724295.87
2024-11-28,0.1349,9526185393.416,45243,1285081331.81
2024-11-29,0.13545,9538900209.387,45265,1292044508.76
2024-12-02,0.135165,9553766864.371,45279,1291332873.44
2024-12-03,0.135654,9568717980.712,45314,1298033070.15
2024-12-04,0.137878,9602349617.377,45394,1323951615.08
2024-12-05,0.138579,9609598966.798,45412,1331686406.71
2024-12-06,0.139523,9650629963.554,45422,1346486932.54
2024-12-09,0.14225,9670409176.098,45496,1375619203.66
2024-12-10,0.144548,9692002884.011,45567,1400961558.97
2024-12-11,0.142282,9725168346.31,45695,1383717544.1
2024-12-12,0.141538,9799964378.656,45758,1387064018.37
2024-12-13,0.141201,9774383818.551,45816,1380156741.73
2024-12-16,0.141937,9818504429.16,45892,1393607904.24
2024-12-17,0.140361,9840065459.259,45895,1381158538.06
2024-12-18,0.140801,9837863642.907,46014,1385185793.59
2024-12-19,0.140022,9865869041.25,46049,1381440424.17
2024-12-20,0.137509,9882636026.838,46109,1358949613.03
2024-12-23,0.136909,9933757763.861,46136,1360025301.72
2024-12-24,0.135953,9952125620.948,46168,1353019946.13
2024-12-25,0.136834,9971202929.387,46234,1364397663.48
2024-12-26,0.14111,9963068512.261,46212,1405887770.35
2024-12-27,0.141234,9962339216.301,46211,1407018673.26
2024-12-30,0.142155,9978711111.151,46204,1418527434.17
2024-12-31,0.140447,9986721498.274,46252,1402609142.62
2025-01-02,0.139166,9989504575.544,46345,1390199707.91
2025-01-03,0.14191,10035700539.179,46379,1424170693.02
2025-01-06,0.143083,10090930576.798,46442,1443844551.11
2025-01-07,0.143388,10100378694.119,46473,1448270231.14
2025-01-08,0.141696,10087764455.343,46558,1429399642.93
2025-01-09,0.140584,10116102744.97,46559,1422158664.36
2025-01-10,0.142148,10103537774.329,46600,1436196513.04
2025-01-13,0.140543,10103875216.11,46592,1420025867.36
2025-01-14,0.137849,10100551270.441,46600,1392349585.27
2025-01-15,0.137572,10094823047.238,46635,1388760283.46
2025-01-16,0.137883,10079048264.387,46587,1389726152.9
2025-01-17,0.139704,10054387545.23,46566,1404639512.59
2025-01-20,0.141617,10048350585.541,46521,1423019334.44
2025-01-21,0.14219,10039771973.442,46474,1427557320.66
2025-01-22,0.142699,10024314021.667,46467,1430461989.71
2025-01-23,0.144816,9972329301.387,46406,1444155413.53
2025-01-24,0.14457,9957469502.933,46362,1439546645.14
2025-01-27,0.143705,9955906926.184,46382,1430708884.67
2025-01-28,0.142303,9965411709.066,46370,1418109774.83
2025-01-29,0.144222,9954749020.165,46389,1435698721.13
2025-01-30,0.143311,9889572251.126,46328,1417284151.44
2025-01-31,0.14315,9887242913.814,46279,1415360312.19
2025-02-03,0.141381,9862562745.153,46249,1394377319.34
2025-02-04,0.137746,9857684650.593,46364,1357853924.33
2025-02-05,0.139171,9831034288.018,46393,1368190498.73
2025-02-06,0.137725,9788125195.484,46292,1348066941.11
2025-02-07,0.138897,9749574436.067,46233,1354185035.33
2025-02-10,0.139499,9722026375.223,46136,1356213755.52
2025-02-11,0.138232,9632881577.386,46069,1331569021.78
2025-02-12,0.139044,9582987725.507,45962,1332458364.68
2025-02-13,0.137759,9546364066.558,45788,1315095145.19
2025-02-14,0.139945,9516783072.841,45638,1331821886.76
2025-02-17,0.139339,9484361081.167,45533,1321538040.45
2025-02-18,0.138485,9458892394.492,45447,1309918084.82
2025-02-19,0.139822,9421678175.9,45421,1317361327.49
2025-02-20,0.137848,9397226562.855,45262,1295389225.54
2025-02-21,0.138761,9370704183.717,45200,1300285057.79
2025-02-24,0.136121,9290507817.465,45149,1264632509.03
2025-02-25,0.13541,9278099880.845,45092,1256351824.13
2025-02-26,0.133913,9257856283.524,45066,1239748821.9
2025-02-27,0.135952,9250140291.84,44947,1257574782.38
2025-02-28,0.138143,9232487665.128,44873,1275400937.19
2025-03-03,0.136916,9220963898.943,44825,1262497293.82
2025-03-04,0.140888,9217624530.767,44808,1298652982.45
2025-03-05,0.141836,9238077217.11,44804,1310287622.47
2025-03-06,0.146139,9257872570.766,44722,1352940729.5
2025-03-07,0.149249,9223967497.484,44691,1376669009.33
2025-03-10,0.149502,9203117862.307,44618,1375884613.46
2025-03-11,0.148046,9201696352.749,44600,1362276545.82
2025-03-12,0.148336,9200223878.553,44664,1364724732.82
2025-03-13,0.15056,9255324528.164,44631,1393485548.04
2025-03-14,0.152337,9270763702.532,44631,1412278619.81
2025-03-17,0.153498,9321632448.197,44669,1430851905.48
2025-03-18,0.153934,9350700125.19,44768,1439387216.18
2025-03-19,0.153135,9387904400.021,44871,1437615217.58
2025-03-20,0.140481,9421231860.006,44870,1323499617.07
2025-03-21,0.13897,9393114013.15,44861,1305357274.47
2025-03-24,0.128503,9398005325.528,44841,1207673160.36
2025-03-25,0.132327,9400998621.018,44767,1244002086.35
2025-03-26,0.13761,9352106774.756,44729,1286945082.34
2025-03-27,0.136315,9331868832.105,44532,1272077612.96
2025-03-28,0.135673,9334723894.732,44490,1266469474.36
2025-04-02,0.137061,9318905316.42,44434,1277261766.33
2025-04-03,0.135322,9347029740.633,44383,1264861820.22
2025-04-04,0.13543,9347117323.139,44400,1265883293.08
2025-04-07,0.133603,9335142270.477,44273,1247203473.36
2025-04-08,0.134186,9306422681.457,44513,1248792995.9
2025-04-09,0.135845,9296517708.49,44473,1262885403.79
