date,fiyat,pay,hesap,buyukluk
2025-10-07,0.01,1.0,0,0.01
2025-10-08,0.01001,1000000000.0,0,10010425.6
2025-10-09,0.010028,1000000000.0,0,10028119.38
2025-10-10,0.010122,4916475460.604,184,49764527.79
2025-10-13,0.010096,12340278031.775,618,124591646.81
2025-10-14,0.010246,21282557982.839,1143,218050650.14
2025-10-15,0.010271,32926271010.11,2002,338201484.12
2025-10-16,0.010506,45118892100.141,2848,474001664.36
2025-10-17,0.010687,60703153866.407,3545,648743710.39
2025-10-20,0.010668,70981148719.401,4238,757254927.1
2025-10-21,0.010534,84126669292.711,5079,886199900.1
2025-10-22,0.010032,96359774121.355,5882,966640475.01
2025-10-23,0.009749,104552126010.065,6483,1019303804.83
2025-10-24,0.009849,110328581940.125,6953,1086609664.2
2025-10-27,0.009764,115084536846.763,7318,1123687218.11
2025-10-28,0.009543,119310499477.225,7535,1138619051.14
2025-10-30,0.009385,122608827738.004,7764,1150635996.21
2025-10-31,0.009662,127026043893.969,8413,1227341941.46
2025-11-03,0.009827,128840369680.292,8879,1266062594.53
2025-11-04,0.009842,129988417072.081,9208,1279406581.66
2025-11-05,0.00967,132075515370.588,9481,1277229051.83
2025-11-06,0.009655,133365376090.656,9698,1287644930.41
2025-11-07,0.009718,135687120038.842,9867,1318667233.39
2025-11-10,0.009768,135643825297.249,9999,1325013428.22
2025-11-11,0.009976,141272386672.696,10154,1409374350.26
2025-11-12,0.010187,142341351523.737,10369,1450074942.57
2025-11-13,0.010372,144579746180.318,10544,1499618167.11
2025-11-14,0.010626,145376488632.873,10692,1544727327.81
2025-11-17,0.010409,148479528302.303,10915,1545568747.18
2025-11-18,0.010276,150302677996.275,11123,1544524787.36
2025-11-19,0.010213,152423028415.887,11459,1556641231.74
2025-11-20,0.010397,155576472994.535,11776,1617501938.15
2025-11-21,0.010358,158700307876.572,11995,1643825969.65
2025-11-24,0.010112,160651634456.852,12195,1624519202.9
2025-11-25,0.010141,162926701101.279,12369,1652318007.53
2025-11-26,0.010298,165079024422.621,12629,1700014170.31
2025-11-27,0.010466,166876743996.944,12804,1746580860.25
2025-11-28,0.010665,168982719661.826,12986,1802149998.55
2025-12-01,0.010884,171193399359.317,13181,1863309066.73
2025-12-02,0.01136,173722115084.692,13374,1973420261.82
2025-12-03,0.011518,179662773334.715,13853,2069407814.88
2025-12-04,0.011634,185393872456.806,14249,2156929382.77
2025-12-05,0.0115,189412875394.187,14603,2178305405.88
2025-12-08,0.011619,196452449063.823,14978,2282536467.54
2025-12-09,0.011703,203212084068.476,15368,2378141231.86
2025-12-10,0.0118,209012334551.028,15899,2466385669.31
2025-12-11,0.012042,216118287805.039,16306,2602521377.66
2025-12-12,0.012321,223149659330.585,16719,2749505685.96
2025-12-15,0.012638,230480977140.026,17171,2912741984.61
2025-12-16,0.012669,239639935726.134,17679,3035973213.44
2025-12-17,0.012606,248297105826.3,18445,3130015700.05
2025-12-18,0.012887,258473979714.329,19186,3330971848.64
2025-12-19,0.013011,267801358896.328,19811,3484312461.13
2025-12-22,0.013082,278398110109.227,20289,3642092277.7
2025-12-23,0.013532,286113906927.485,20800,3871739890.85
2025-12-24,0.013769,295165704410.669,21630,4064232312.05
2025-12-25,0.013971,307415429095.799,22387,4295035769.19
2025-12-26,0.014088,326284474702.288,23157,4596533173.38
2025-12-29,0.01434,337493135097.609,23838,4839552611.94
2025-12-30,0.014548,349430534326.915,24604,5083446789.5
2025-12-31,0.0147,358150098493.192,25588,5264824468.34
2026-01-02,0.014613,364867273414.53,26553,5331631506.63
2026-01-05,0.014616,376585500793.971,27216,5504326084.25
2026-01-06,0.014923,385881877482.6,27906,5758533358.51
2026-01-07,0.015435,395177502119.617,28780,6099744968.85
2026-01-08,0.015414,406155380618.526,29555,6260326184.02
2026-01-09,0.01495,415644927572.928,30350,6213846165.2
2026-01-12,0.015275,424944470739.719,31168,6491238518.19
2026-01-13,0.016222,435759923455.241,31837,7068900337.11
2026-01-14,0.016858,442283323282.932,32618,7455867371.83
2026-01-15,0.017433,451227892612.017,33378,7866195477.8
2026-01-16,0.01748,458210149634.79,34053,8009343048.51
2026-01-19,0.017433,468435809001.236,34984,8166373504.81
2026-01-20,0.017731,484019842145.638,36018,8581996393.45
2026-01-21,0.018247,493745132572.488,37027,9009445854.52
2026-01-22,0.018381,502856913966.776,37966,9242926118.96
2026-01-23,0.018221,510943680349.264,38828,9309702747.22
2026-01-26,0.018867,520572464883.586,39660,9821415401.72
2026-01-27,0.020546,528690841902.625,40505,10862701834.05
2026-01-28,0.021002,541377856634.187,41826,11369775989.54
2026-01-29,0.021566,554722541615.764,43207,11962952994.98
2026-01-30,0.022541,567872972877.684,44640,12800431593.26
2026-02-02,0.020451,580367009293.531,46114,11869014741.73
2026-02-03,0.016824,574655798408.414,47483,9667762794.17
2026-02-04,0.016926,568734459480.122,48923,9626327868.59
2026-02-05,0.017723,577912301250.192,49555,10242347413.37
2026-02-06,0.016158,585702942400.056,49452,9463851968.08
2026-02-09,0.015254,586740579269.976,49775,8949953383.72
2026-02-10,0.015942,581185499312.086,50053,9265319010.26
2026-02-11,0.016279,579957230704.883,50281,9441089429.33
2026-02-12,0.016654,580825070027.031,50355,9673054522.84
2026-02-13,0.016568,578946814542.398,50294,9591884901.06
2026-02-16,0.015867,577729261640.872,50354,9167095645.54
2026-02-17,0.015458,574465002504.065,50356,8880253124.94
2026-02-18,0.01505,572339643227.122,50561,8613803806.77
2026-02-19,0.015322,567721062420.779,50491,8698481696.95
2026-02-20,0.015643,563805858185.403,50287,8819561759.29
2026-02-23,0.016106,563384831437.801,49966,9074099084.11
2026-02-24,0.017051,565452465416.177,49838,9641493978.18
2026-02-25,0.017394,566896195131.148,49988,9860747110.17
2026-02-26,0.017827,566464477609.334,50147,10098149520.0
2026-02-27,0.017539,566939635707.019,50225,9943392160.07
2026-03-02,0.017982,568051315586.436,50381,10214758241.83
2026-03-03,0.018332,568446565275.897,50556,10420916153.13
2026-03-04,0.017079,568571352896.104,51086,9710421736.1
2026-03-05,0.016919,569028205148.961,51371,9627489506.23
2026-03-06,0.016827,569076301292.873,51485,9576046949.71
2026-03-09,0.01672,569559696396.516,51623,9523066090.15
2026-03-10,0.016815,568704089593.515,51768,9562607251.04
2026-03-11,0.01743,566825562556.857,51938,9879613844.8
2026-03-12,0.017323,565584563243.798,52051,9797684637.65
2026-03-13,0.017263,562581065858.818,52012,9711783792.69
2026-03-16,0.016817,561823980561.365,52057,9448471126.85
2026-03-17,0.016281,562078727799.986,52160,9151348411.54
2026-03-18,0.016294,558285629149.633,52275,9096433404.71
2026-03-19,0.015897,556140850871.206,52383,8840904432.0
2026-03-23,0.015329,555932789226.032,52276,8521773664.5
2026-03-24,0.014397,555802653327.147,52229,8001897941.39
2026-03-25,0.014148,547495653645.836,52393,7745831786.91
2026-03-26,0.01469,544249956357.896,52457,7994975903.85
2026-03-27,0.014355,545796516476.748,51995,7834998857.46
2026-03-30,0.014187,544511835955.609,51825,7725103222.4
2026-03-31,0.014422,544198514976.827,51730,7848399545.55
2026-04-01,0.014871,542528899551.051,51712,8067741076.9
2026-04-02,0.015218,541693472681.084,51739,8243467041.76
2026-04-03,0.014852,541082290653.454,51599,8036259877.23
2026-04-06,0.014802,540273796478.985,51531,7997168243.32
2026-04-07,0.014783,539130342761.371,51537,7970018651.95
2026-04-08,0.014727,537330191259.226,51563,7913075778.88
2026-04-09,0.015259,536226045119.734,51535,8182093988.13
2026-04-10,0.015258,535644129095.189,51379,8172979884.76
2026-04-13,0.015392,533886340242.833,51281,8217622979.71
2026-04-14,0.015259,533748826724.83,51200,8144247482.32
2026-04-15,0.015752,531367426696.32,51125,8370319235.48
2026-04-16,0.016115,529634375843.752,51100,8535314899.79
2026-04-17,0.016101,528502837639.024,50930,8509606135.81
2026-04-20,0.01646,526306205848.619,50887,8662982988.95
2026-04-21,0.016318,525660578571.337,50886,8577909356.08
2026-04-22,0.016036,524160181534.417,50897,8405348848.39
2026-04-24,0.015963,522317184184.752,50923,8337634893.68
2026-04-27,0.015649,520926129432.18,50870,8151774412.2
2026-04-28,0.015515,520754377916.589,50874,8079504229.02
2026-04-29,0.015143,519783228917.469,50909,7871270709.54
2026-04-30,0.014951,519138868458.678,50833,7761804273.9
2026-05-04,0.015092,517410763111.053,50745,7808680109.93
2026-05-05,0.015191,517429046650.348,50712,7860312103.19
2026-05-06,0.015217,515914860027.482,50718,7850825965.34
2026-05-07,0.015674,516535408120.479,50712,8096427388.66
2026-05-08,0.016345,515435195849.705,50504,8424702240.91
2026-05-11,0.016542,515311923223.757,50441,8524191888.09
2026-05-12,0.016972,515352936430.554,50381,8746811570.04
2026-05-13,0.017166,515736194245.438,50455,8852956492.43
2026-05-14,0.017626,514484369468.612,50573,9068453686.38
2026-05-15,0.017592,514668279529.553,50568,9053830223.58
2026-05-18,0.016324,537330053794.897,83102,8771522729.23
2026-05-20,0.015937,540915175146.345,87002,8620298265.6
2026-05-21,0.015755,550509822357.728,133366,8673162796.03
2026-05-22,0.015586,579403923817.313,134363,9030437146.22
2026-05-25,0.015706,580040026001.583,134811,9109977208.58
2026-05-26,0.015908,580585689824.553,134988,9235957884.78
2026-06-01,0.015902,581297928871.388,135065,9243677938.59
2026-06-02,0.015712,582583479017.296,135249,9153290347.38
2026-06-03,0.015822,583364221566.424,135585,9230228304.17
2026-06-04,0.01553,584228360871.404,135952,9073111922.8
2026-06-05,0.015441,584350199084.399,135992,9023225072.03
2026-06-08,0.014985,585523889176.22,136143,8774244193.88
2026-06-09,0.014433,586627516495.219,136311,8466644155.47
2026-06-10,0.014114,586382062399.375,136455,8276041383.96
