date,fiyat,pay,hesap,buyukluk
2024-09-02,935.305654,4249653.0,2471,3974724479.43
2024-09-03,964.727105,4247929.0,2470,4098092244.47
2024-09-04,961.755617,4246388.0,2460,4083987508.85
2024-09-05,963.562312,4225619.0,2454,4071647213.42
2024-09-06,958.154615,4202207.0,2446,4026364030.11
2024-09-09,938.264699,4201939.0,2440,3942531032.97
2024-09-10,930.60893,4205802.0,2440,3913956898.77
2024-09-11,926.013652,4156353.0,2433,3848839621.24
2024-09-12,911.611642,4171167.0,2429,3802484397.87
2024-09-13,917.736648,4126102.0,2422,3786675019.53
2024-09-16,929.57194,4100396.0,2414,3811613065.54
2024-09-17,918.405634,4099006.0,2427,3764550203.62
2024-09-18,931.930655,4108350.0,2422,3828697304.82
2024-09-19,936.256157,4107196.0,2417,3845387541.19
2024-09-20,952.786244,4093512.0,2413,3900241924.43
2024-09-23,946.920109,4101827.0,2410,3884102471.54
2024-09-24,950.30124,4096109.0,2414,3892537463.08
2024-09-25,969.50518,4089540.0,2412,3964830214.15
2024-09-26,957.768769,4289115.0,2411,4107980391.66
2024-09-27,948.688527,4402087.0,2410,4176209430.46
2024-09-30,943.089382,4437070.0,2408,4184553602.69
2024-10-01,938.590172,4449354.0,2405,4176119937.47
2024-10-02,909.059039,4451417.0,2404,4046600860.68
2024-10-03,870.40535,4418495.0,2405,3845881686.17
2024-10-04,859.209841,4281492.0,2391,3678700061.93
2024-10-07,883.842935,4277471.0,2392,3780612522.45
2024-10-08,874.786998,4282670.0,2390,3746424031.72
2024-10-09,873.993199,4297947.0,2379,3756376446.16
2024-10-10,885.645913,4296841.0,2374,3805479672.28
2024-10-11,868.545121,4272868.0,2369,3711178655.54
2024-10-14,859.266147,4269153.0,2366,3668338651.23
2024-10-15,838.87203,4269046.0,2366,3581183286.13
2024-10-16,851.241692,4269636.0,2361,3634492174.71
2024-10-17,860.160354,4284644.0,2358,3685480898.54
2024-10-18,864.518736,4224495.0,2351,3652155078.62
2024-10-21,842.161505,4280592.0,2344,3604949802.62
2024-10-22,827.955528,4281081.0,2342,3544544681.47
2024-10-23,844.273196,4283796.0,2334,3616694138.12
2024-10-24,832.185895,4263087.0,2325,3547680869.33
2024-10-25,841.372683,4237156.0,2318,3565027312.55
2024-10-28,843.532518,4234077.0,2318,3571581632.94
2024-10-30,845.423024,4170900.0,2310,3526174892.68
2024-10-31,854.32922,4170579.0,2310,3563047505.68
2024-11-01,848.442998,4167803.0,2304,3536143271.59
2024-11-04,849.053836,4141038.0,2301,3515964197.12
2024-11-05,829.498092,4128793.0,2297,3424825914.99
2024-11-06,822.376618,4111269.0,2285,3381011494.41
2024-11-07,850.310623,3983417.0,2278,3387141792.16
2024-11-08,857.09099,3942923.0,2282,3379443776.64
2024-11-11,877.718375,3936898.0,2268,3455487713.14
2024-11-12,886.384387,3934481.0,2271,3487462528.42
2024-11-13,889.55993,4042660.0,2265,3596188348.44
2024-11-14,900.926269,4033858.0,2263,3634208636.4
2024-11-15,913.598416,4044314.0,2273,3694878862.4
2024-11-18,911.23014,4207639.0,2291,3834127475.56
2024-11-19,913.050283,4229027.0,2292,3861314298.15
2024-11-20,901.985753,4225673.0,2278,3811496843.67
2024-11-21,891.730423,4226664.0,2275,3769044874.85
2024-11-22,927.858785,4235550.0,2271,3929992278.82
2024-11-25,947.194967,4263193.0,2281,4038074952.28
2024-11-26,951.597129,4351232.0,2284,4140619880.29
2024-11-27,954.130301,4381256.0,2289,4180289105.38
2024-11-28,952.728834,4376505.0,2285,4169622507.09
2024-11-29,955.055366,4408084.0,2286,4209964277.18
2024-12-02,964.787144,4411997.0,2280,4256637986.69
2024-12-03,963.462418,4411836.0,2285,4250638181.48
2024-12-04,974.670189,4383452.0,2284,4272419987.97
2024-12-05,977.106153,4384503.0,2289,4284124859.75
2024-12-06,986.395056,4385897.0,2294,4326227114.78
2024-12-09,1007.50473,4381939.0,2293,4414824267.19
2024-12-10,1025.947817,4433142.0,2311,4548172357.55
2024-12-11,1004.68801,4445047.0,2315,4465885424.49
2024-12-12,1002.19617,4462044.0,2312,4471843407.35
2024-12-13,999.001095,4448266.0,2310,4443822604.87
2024-12-16,1010.873454,4410412.0,2307,4458368413.02
2024-12-17,998.883275,4398253.0,2296,4393341359.05
2024-12-18,998.309701,4391217.0,2292,4383794531.2
2024-12-19,992.698107,4398632.0,2288,4366513658.09
2024-12-20,971.073931,4305093.0,2283,4180563584.85
2024-12-23,966.227444,4229217.0,2282,4086385530.23
2024-12-24,964.951648,4246565.0,2281,4097729897.04
2024-12-25,973.830225,4231568.0,2282,4120828818.63
2024-12-26,1006.659933,4232422.0,2275,4260609647.67
2024-12-27,1004.297815,4234584.0,2287,4252783457.16
2024-12-30,1012.123244,4250229.0,2292,4301755562.72
2024-12-31,1014.027789,4266389.0,2292,4326237004.38
2025-01-02,1017.826644,4225400.0,2274,4300724702.32
2025-01-03,1014.932495,4162742.0,2269,4224902124.46
2025-01-06,1004.866502,4171377.0,2271,4191677016.43
2025-01-07,1005.37285,4191344.0,2273,4213863464.64
