date,fiyat,pay,hesap,buyukluk
2024-09-02,1.766899,481326562.0,520,850455381.17
2024-09-03,1.769356,485172864.0,519,858443281.81
2024-09-04,1.771853,478465897.0,517,847771303.11
2024-09-05,1.774334,515964831.0,508,915493961.99
2024-09-06,1.776831,512422429.0,509,910488291.11
2024-09-09,1.784271,534930040.0,497,954459931.3
2024-09-10,1.786758,540557890.0,490,965845882.15
2024-09-11,1.789279,529303517.0,486,947071433.05
2024-09-12,1.791786,546807330.0,482,979761802.09
2024-09-13,1.794185,546632283.0,477,980759591.47
2024-09-16,1.80153,540144213.0,501,973086117.3
2024-09-17,1.803992,521050654.0,563,939971078.64
2024-09-18,1.806381,520653252.0,580,940498095.34
2024-09-19,1.808802,506907534.0,631,916895259.74
2024-09-20,1.811235,502374343.0,741,909917887.08
2024-09-23,1.818517,535457871.0,816,973739227.71
2024-09-24,1.820971,555053444.0,860,1010736500.17
2024-09-25,1.823453,543153831.0,923,990415718.4
2024-09-26,1.82585,546099408.0,964,997095591.23
2024-09-27,1.828538,553193735.0,1086,1011535490.26
2024-09-30,1.835817,590019763.0,1167,1083168082.35
2024-10-01,1.838307,564229892.0,1219,1037227915.21
2024-10-02,1.840792,560779122.0,1239,1032277886.97
2024-10-03,1.843261,564334023.0,1252,1040214781.61
2024-10-04,1.845758,530791051.0,1280,979711804.43
2024-10-07,1.853248,531617426.0,1332,985219014.77
2024-10-08,1.855726,548596693.0,1350,1018044929.29
2024-10-09,1.858234,560818356.0,1382,1042131894.01
2024-10-10,1.860871,553980005.0,1475,1030885179.94
2024-10-11,1.863354,588761224.0,1520,1097070376.82
2024-10-14,1.870791,596709874.66,1557,1116319349.19
2024-10-15,1.873289,645349028.0,1677,1208925241.05
2024-10-16,1.875791,674047376.0,1796,1264371849.23
2024-10-17,1.878297,742553630.0,1861,1394736158.98
2024-10-18,1.880825,683148577.0,1969,1284883041.01
2024-10-21,1.888422,687954390.0,2011,1299148372.04
2024-10-22,1.890938,705068322.0,2025,1333240628.72
2024-10-23,1.893487,703535276.0,2050,1332134732.06
2024-10-24,1.896044,692277066.0,2094,1312588042.55
2024-10-25,1.898574,741823977.0,2194,1408407744.04
2024-10-28,1.906165,782582467.0,2237,1491731200.05
2024-10-30,1.911246,794793293.0,2288,1519045799.89
2024-10-31,1.913834,762315668.0,2444,1458945499.06
2024-11-01,1.916375,881877905.0,2662,1690008564.77
2024-11-04,1.924088,974918086.0,2758,1875828058.95
2024-11-05,1.926673,1017189859.0,2805,1959792634.39
2024-11-06,1.929286,995371513.0,2889,1920356445.43
2024-11-07,1.931898,989412743.0,2951,1911444193.27
2024-11-08,1.934484,1040017643.0,3009,2011897311.74
2024-11-11,1.942276,1071546846.0,3051,2081239545.85
2024-11-12,1.944854,1125420333.0,3053,2188778405.69
2024-11-13,1.947437,1102351435.0,3056,2146759557.53
2024-11-14,1.950003,1115255980.0,3061,2174752031.01
2024-11-15,1.952619,1087932618.0,3164,2124318116.14
2024-11-18,1.960365,1067344356.0,3165,2092384835.57
2024-11-19,1.962966,1046612761.0,3190,2054464969.4
2024-11-20,1.965551,1184212655.0,3190,2327630323.68
2024-11-21,1.968147,1171848955.0,3193,2306370771.83
2024-11-22,1.970748,1141801085.0,3259,2250201929.89
2024-11-25,1.978603,1138544684.0,3211,2252727792.29
2024-11-26,1.981216,1126471034.0,3186,2231782335.39
2024-11-27,1.983833,1112113255.0,3171,2206247034.71
2024-11-28,1.986448,1090256915.0,3145,2165739168.71
2024-11-29,1.989113,1083534412.0,3147,2155272865.0
2024-12-02,1.997037,1090416525.0,3104,2177602147.57
2024-12-03,1.999689,1081471601.0,3053,2162606874.42
2024-12-04,2.002343,1055296960.0,3005,2113066812.25
2024-12-05,2.004985,1033636961.0,2959,2072426170.68
2024-12-06,2.007654,994523550.0,2949,1996659511.18
2024-12-09,2.015723,983319152.0,2872,1982098790.22
2024-12-10,2.01843,969556532.0,2832,1956982427.89
2024-12-11,2.02114,1011544645.0,2797,2044473311.94
2024-12-12,2.023645,1007178743.0,2761,2038172076.58
2024-12-13,2.026338,968089263.0,2746,1961675951.09
2024-12-16,2.034442,972809958.0,2713,1979125457.15
2024-12-17,2.03715,940817390.0,2687,1916586044.42
2024-12-18,2.039864,975019655.0,2666,1988907261.63
2024-12-19,2.042579,991461932.0,2643,2025139655.63
2024-12-20,2.045277,1049528897.0,2621,2146576933.65
2024-12-23,2.053395,1104911280.0,2591,2268819800.33
2024-12-24,2.05612,1054142540.0,2570,2167443313.45
2024-12-25,2.058845,948665035.0,2540,1953154537.09
2024-12-26,2.061572,875310962.0,2512,1804516358.06
2024-12-27,2.06429,836956074.0,2501,1727720028.59
2024-12-30,2.072322,879935880.0,2469,1823510609.46
2024-12-31,2.075111,817721140.0,2471,1696862078.16
2025-01-02,2.08057,818516019.0,2453,1702979937.64
2025-01-03,2.083259,859085296.0,2433,1789697095.88
2025-01-06,2.091314,855947858.0,2403,1790055751.56
2025-01-07,2.094009,817375417.0,2380,1711591194.38
2025-01-08,2.096709,803938005.0,2367,1685624160.36
2025-01-09,2.099438,793878648.0,2354,1666698968.51
2025-01-10,2.102139,797450540.0,2352,1676351754.38
2025-01-13,2.110213,806198993.0,2327,1701251214.53
2025-01-14,2.112911,790429039.0,2312,1670105913.21
2025-01-15,2.115619,782758692.0,2338,1656018821.38
2025-01-16,2.118352,773332201.0,2331,1638189933.63
2025-01-17,2.121124,780073681.0,2333,1654632961.47
2025-01-20,2.129564,778974646.0,2323,1658876017.22
2025-01-21,2.13252,774931810.0,2328,1652557901.31
2025-01-22,2.135252,773205239.0,2301,1650988349.26
2025-01-23,2.137642,745552333.0,2275,1593723901.08
2025-01-24,2.141716,729159200.0,2327,1561652285.0
2025-01-27,2.150855,757695576.0,2457,1629693161.08
2025-01-28,2.154039,792091815.0,2508,1706196645.54
2025-01-29,2.158054,742739778.0,2703,1602872204.76
2025-01-30,2.161669,790862409.0,2703,1709582864.36
2025-01-31,2.165522,832485168.0,2765,1802764672.82
2025-02-03,2.173399,842184084.0,2865,1830401762.98
2025-02-04,2.176875,846014875.0,2960,1841668286.35
2025-02-05,2.179457,1074758879.0,3425,2342391259.81
2025-02-06,2.182043,1361014161.0,3887,2969791351.69
