date,fiyat,pay,hesap,buyukluk
2024-09-02,0.912079,199374300.0,2244,181845097.44
2024-09-03,0.939144,199992200.0,2247,187821522.64
2024-09-04,0.929922,199419300.0,2238,185444489.06
2024-09-05,0.926865,198631200.0,2230,184104229.8
2024-09-06,0.918982,197574700.0,2226,181567523.17
2024-09-09,0.903338,198692000.0,2222,179486059.12
2024-09-10,0.89394,198513600.0,2217,177459213.07
2024-09-11,0.886789,197619300.0,2206,175246615.01
2024-09-12,0.870476,197330900.0,2197,171771717.22
2024-09-13,0.882466,196607700.0,2192,173499534.39
2024-09-16,0.897021,196969500.0,2190,176685756.74
2024-09-17,0.886145,196784100.0,2194,174379243.34
2024-09-18,0.904663,196621700.0,2194,177876421.16
2024-09-19,0.909733,196144400.0,2188,178438973.1
2024-09-20,0.930065,196571200.0,2190,182824040.42
2024-09-23,0.922136,196890700.0,2188,181559915.91
2024-09-24,0.924063,194364300.0,2185,179604906.98
2024-09-25,0.941913,193950500.0,2181,182684431.47
2024-09-26,0.93133,194223200.0,2187,180885885.3
2024-09-27,0.923294,195545900.0,2181,180546414.33
2024-09-30,0.921319,195794600.0,2186,180389286.91
2024-10-01,0.912269,196022800.0,2188,178825539.27
2024-10-02,0.883875,196378600.0,2189,173574085.79
2024-10-03,0.850672,196421600.0,2184,167090350.85
2024-10-04,0.837126,196073400.0,2180,164138190.21
2024-10-07,0.857129,196759000.0,2185,168647928.05
2024-10-08,0.846128,196845700.0,2186,166556685.16
2024-10-09,0.8503,196846100.0,2183,167378167.93
2024-10-10,0.860908,197544800.0,2184,170067810.85
2024-10-11,0.843029,198179400.0,2185,167070936.41
2024-10-14,0.836408,197726300.0,2184,165379828.68
2024-10-15,0.822832,197719300.0,2186,162689711.43
2024-10-16,0.838799,198388400.0,2176,166407928.62
2024-10-17,0.848138,199008900.0,2171,168787097.94
2024-10-18,0.849192,199015400.0,2169,169002202.64
2024-10-21,0.826562,199159700.0,2171,164617923.92
2024-10-22,0.811308,200932000.0,2172,163017800.34
2024-10-23,0.829197,199875500.0,2169,165736204.75
2024-10-24,0.817335,199727000.0,2162,163243854.21
2024-10-25,0.832735,199521800.0,2158,166148744.9
2024-10-28,0.836224,199144300.0,2158,166529310.53
2024-10-30,0.83933,198799800.0,2150,166858584.27
2024-10-31,0.844433,198203900.0,2153,167369872.05
2024-11-01,0.826239,196652200.0,2155,162481763.11
2024-11-04,0.828151,197318700.0,2155,163409714.9
2024-11-05,0.806954,197310200.0,2151,159220352.27
2024-11-06,0.804878,197232500.0,2149,158748111.86
2024-11-07,0.826508,197639300.0,2149,163350441.77
2024-11-08,0.835047,197650600.0,2148,165047455.45
2024-11-11,0.86102,197190000.0,2141,169784460.18
2024-11-12,0.869164,197834800.0,2144,171950918.38
2024-11-13,0.863641,199125800.0,2135,171973246.57
2024-11-14,0.872173,198697500.0,2138,173298555.71
2024-11-15,0.883028,198677800.0,2137,175438060.97
2024-11-18,0.877964,197176900.0,2140,173114206.13
2024-11-19,0.878027,197415800.0,2140,173336473.05
2024-11-20,0.861468,197423100.0,2144,170073723.07
2024-11-21,0.841141,197925600.0,2142,166483320.99
2024-11-22,0.875701,197592900.0,2139,173032237.08
2024-11-25,0.893467,197734400.0,2139,176669225.72
2024-11-26,0.90408,197781100.0,2142,178810001.58
2024-11-27,0.900763,198381100.0,2145,178694332.13
2024-11-28,0.901237,198078900.0,2142,178516060.48
2024-11-29,0.902318,197801600.0,2143,178479968.91
2024-12-02,0.900514,197904100.0,2148,178215354.98
2024-12-03,0.902982,199302900.0,2149,179966845.19
2024-12-04,0.920063,199531200.0,2154,183581187.18
2024-12-05,0.925718,200340800.0,2154,185459101.93
2024-12-06,0.929069,221532900.0,2157,205819452.89
2024-12-09,0.941957,221627000.0,2162,208763134.89
2024-12-10,0.958161,221820700.0,2171,212540043.31
2024-12-11,0.942511,222746000.0,2182,209940525.82
2024-12-12,0.940013,245089900.0,2182,230387810.39
2024-12-13,0.937642,243835100.0,2172,228630148.23
2024-12-16,0.943266,223990000.0,2176,211282084.1
2024-12-17,0.92919,224328100.0,2172,208443345.18
2024-12-18,0.931696,225623700.0,2175,210212631.5
2024-12-19,0.922563,224527500.0,2161,207140666.02
2024-12-20,0.90734,223022300.0,2154,202357038.12
2024-12-23,0.902083,222803900.0,2144,200987677.03
2024-12-24,0.893292,222754700.0,2140,198985063.4
2024-12-25,0.897257,221608700.0,2132,198840027.14
2024-12-26,0.925614,220195200.0,2126,203815713.23
2024-12-27,0.927861,220204400.0,2124,204319126.76
2024-12-30,0.934206,219646400.0,2125,205194880.77
2024-12-31,0.921113,219994300.0,2120,202639613.66
2025-01-02,0.91521,219230700.0,2116,200642211.92
2025-01-03,0.933666,218105600.0,2117,203637786.73
2025-01-06,0.947921,218098100.0,2106,206739861.71
2025-01-07,0.949069,218193200.0,2121,207080403.13
2025-01-08,0.937369,218489400.0,2115,204805266.47
2025-01-09,0.931418,217983000.0,2116,203033391.03
2025-01-10,0.941538,217842300.0,2108,205106799.42
2025-01-13,0.930209,216923100.0,2098,201783783.9
2025-01-14,0.915899,215947800.0,2093,197786408.23
2025-01-15,0.914447,215707800.0,2083,197253399.03
2025-01-16,0.916429,215073300.0,2080,197099406.11
2025-01-17,0.926811,214472400.0,2071,198775434.85
2025-01-20,0.938656,212702200.0,2067,199654183.16
2025-01-21,0.94449,212773800.0,2068,200962686.36
2025-01-22,0.942778,211242700.0,2056,199154897.61
2025-01-23,0.954814,211066800.0,2058,201529615.94
2025-01-24,0.954398,209843800.0,2052,200274495.49
2025-01-27,0.952436,209603900.0,2049,199634350.89
2025-01-28,0.943418,209041800.0,2051,197213901.21
2025-01-29,0.958092,188382500.0,2045,180487749.24
2025-01-30,0.955745,187044700.0,2045,178767006.84
2025-01-31,0.955566,185884900.0,2035,177625377.02
2025-02-03,0.947662,183759800.0,2029,174142162.01
2025-02-04,0.924401,184390500.0,2027,170450829.82
2025-02-05,0.926018,185974000.0,2037,172215186.28
2025-02-06,0.919924,185628100.0,2030,170763702.64
2025-02-07,0.932617,185389600.0,2025,172897535.18
2025-02-10,0.942915,185369400.0,2018,174787619.99
2025-02-11,0.929947,185337300.0,2015,172353888.04
2025-02-12,0.934506,184563000.0,2013,172475217.66
2025-02-13,0.926209,184204300.0,2004,170611693.07
2025-02-14,0.939717,183476300.0,1997,172415744.89
2025-02-17,0.935299,183307500.0,1993,171447304.89
2025-02-18,0.931379,183286000.0,1986,170708821.65
2025-02-19,0.940368,181880800.0,1983,171034867.6
2025-02-20,0.924868,181967500.0,1973,168295975.8
2025-02-21,0.928704,181862300.0,1973,168896330.38
2025-02-24,0.909876,181829500.0,1968,165442302.84
