date,fiyat,pay,hesap,buyukluk
2024-09-02,0.213995,2434205753.196,17691,520907385.46
2024-09-03,0.214273,2436210918.61,17704,522013140.87
2024-09-04,0.213318,2450730006.821,17727,522785754.31
2024-09-05,0.213235,2452502060.851,17736,522959158.38
2024-09-06,0.213194,2457774597.515,17760,523983726.26
2024-09-09,0.213683,2457824559.895,17771,525195568.02
2024-09-10,0.213879,2457031171.091,17770,525507377.22
2024-09-11,0.213961,2466031579.857,17778,527634740.03
2024-09-12,0.213728,2464640294.429,17787,526763832.97
2024-09-13,0.213427,2471992867.557,17796,527590225.51
2024-09-16,0.213796,2476269845.21,17801,529416793.24
2024-09-17,0.21464,2474511566.376,17799,531129845.16
2024-09-18,0.215912,2476553604.895,17799,534717488.05
2024-09-19,0.216919,2477864951.665,17797,537496641.37
2024-09-20,0.216959,2473329865.324,17826,536612145.28
2024-09-23,0.216969,2473466083.766,17849,536665683.09
2024-09-24,0.21742,2474520212.106,17847,538010102.59
2024-09-25,0.217131,2471572203.885,17859,536654757.5
2024-09-26,0.217737,2475622492.489,17872,539035612.21
2024-09-27,0.217624,2471237104.175,17861,537800001.44
2024-09-30,0.217713,2471891813.247,17856,538163566.91
2024-10-01,0.218133,2469962181.659,17852,538780348.41
2024-10-02,0.217766,2462478549.699,17862,536245199.02
2024-10-03,0.217706,2463631305.513,17883,536348330.52
2024-10-04,0.216941,2453875356.053,17892,532346226.88
2024-10-07,0.216697,2449777567.784,17899,530859619.59
2024-10-08,0.216386,2447796140.26,17904,529667940.65
2024-10-09,0.216441,2440204034.92,17919,528160923.84
2024-10-10,0.216275,2439891666.912,17926,527688599.47
2024-10-11,0.215672,2440183272.134,17931,526279246.31
2024-10-14,0.215832,2438886624.401,17933,526389200.78
2024-10-15,0.215901,2435965332.166,17929,525927287.17
2024-10-16,0.216273,2434224430.02,17932,526457200.16
2024-10-17,0.216456,2431397269.764,17940,526290116.72
2024-10-18,0.216338,2434548440.002,17949,526685622.06
2024-10-21,0.216228,2434693477.468,17945,526448095.71
2024-10-22,0.216455,2434613804.979,17931,526985383.28
2024-10-23,0.215132,2436966455.071,17955,524270329.07
2024-10-24,0.214722,2429735217.857,17977,521717955.38
2024-10-25,0.215462,2428384139.409,17998,523223865.38
2024-10-28,0.215844,2422186259.813,18056,522813507.87
2024-10-30,0.216048,2419529730.014,18044,522733887.26
2024-10-31,0.216489,2419395123.913,18119,523771978.68
2024-11-01,0.216653,2419289429.513,18136,524146783.8
2024-11-04,0.216467,2415755467.341,18140,522932295.52
2024-11-05,0.216951,2410922626.567,18133,523052179.32
2024-11-06,0.217088,2402145662.968,18142,521477888.28
2024-11-07,0.215655,2400628429.148,18148,517706869.67
2024-11-08,0.216296,2400430304.339,18162,519203715.77
2024-11-11,0.218072,2402287352.923,18180,523870458.05
2024-11-12,0.21806,2403426382.748,18182,524091619.75
2024-11-13,0.217978,2419024776.085,18190,527293094.58
2024-11-14,0.21727,2415534808.724,18193,524823375.22
2024-11-15,0.217085,2416751620.669,18198,524640023.48
2024-11-18,0.217458,2416719759.569,18206,525534073.92
2024-11-19,0.217798,2402158188.888,18196,523184535.48
2024-11-20,0.218314,2399341248.288,18199,523809218.99
2024-11-21,0.21781,2398323208.288,18200,522379748.29
2024-11-22,0.218186,2398398257.533,18205,523295776.21
2024-11-25,0.218022,2398038762.455,18205,522824675.83
2024-11-26,0.218712,2393857149.445,18198,523564699.05
2024-11-27,0.219415,2387628801.308,18201,523882299.52
2024-11-28,0.219717,2388963403.96,18213,524895113.32
2024-11-29,0.220116,2386970726.654,18218,525410965.73
2024-12-02,0.220551,2387691199.563,18214,526608467.06
2024-12-03,0.220852,2384900060.502,18209,526710361.81
2024-12-04,0.221564,2387697601.877,18219,529027278.76
2024-12-05,0.221668,2384947754.324,18224,528666169.02
2024-12-06,0.222205,2384260765.508,18224,529794519.74
2024-12-09,0.222935,2388190505.224,18227,532411436.92
2024-12-10,0.223783,2385877145.315,18213,533919766.21
2024-12-11,0.223633,2378775360.426,18211,531972540.79
2024-12-12,0.222857,2377952347.287,18237,529942789.42
2024-12-13,0.223131,2378537932.371,18241,530725975.03
2024-12-16,0.223126,2381547704.719,18236,531384771.07
2024-12-17,0.223241,2380766511.598,18231,531483892.65
2024-12-18,0.22324,2374466714.962,18237,530075665.12
2024-12-19,0.223138,2378002240.787,18255,530621559.18
2024-12-20,0.222371,2377507749.848,18273,528688299.45
2024-12-23,0.221761,2377036262.185,18278,527133932.06
2024-12-24,0.221964,2380080697.166,18276,528292278.42
2024-12-25,0.222173,2384277745.948,18287,529721639.6
2024-12-26,0.222553,2385569429.865,18299,530915607.86
2024-12-27,0.223148,2386338994.092,18299,532507585.2
2024-12-30,0.223206,2386520145.615,18326,532686294.74
2024-12-31,0.223963,2387960673.213,18338,534814517.53
2025-01-02,0.225233,2396256509.27,18355,539715851.47
2025-01-03,0.224821,2405467063.746,18382,540800655.71
2025-01-06,0.224821,2408542956.259,18430,541490084.88
2025-01-07,0.22546,2398538872.739,18408,540774717.44
2025-01-08,0.225575,2396091220.678,18410,540499243.1
2025-01-09,0.224818,2387770325.222,18403,536814073.22
2025-01-10,0.224587,2391073965.173,18421,537003126.54
2025-01-13,0.224845,2385782337.51,18435,536430901.86
2025-01-14,0.224166,2384321112.627,18424,534484381.72
2025-01-15,0.223787,2355652438.994,18444,527164927.42
2025-01-16,0.224174,2354528801.801,18463,527824487.61
2025-01-17,0.224031,2351735787.492,18473,526860928.39
2025-01-20,0.225317,2351806728.291,18491,529901804.4
2025-01-21,0.226088,2348438892.874,18484,530953092.47
2025-01-22,0.226822,2346372208.602,18510,532208491.15
2025-01-23,0.227644,2343056078.835,18547,533382108.38
2025-01-24,0.228025,2340948055.199,18567,533795073.17
2025-01-27,0.22886,2341859248.875,18573,535958000.65
2025-01-28,0.22967,2342139404.89,18561,537918495.07
2025-01-29,0.229776,2342711890.513,18638,538299972.04
2025-01-30,0.229938,2339884354.306,18639,538028198.43
2025-01-31,0.230444,2339824090.147,18646,539197637.6
2025-02-03,0.23085,2337503665.64,18650,539612817.28
2025-02-04,0.230601,2336126941.882,18642,538713281.34
2025-02-05,0.231186,2343388078.611,18650,541757673.57
2025-02-06,0.231757,2336752452.077,18641,541559836.05
2025-02-07,0.232012,2336606794.801,18639,542120098.02
2025-02-10,0.232451,2335359287.399,18629,542857258.86
2025-02-11,0.232051,2334872393.924,18625,541809934.4
2025-02-12,0.231997,2335371554.264,18631,541798314.6
2025-02-13,0.232384,2334381567.15,18640,542472873.34
2025-02-14,0.232411,2328903847.329,18636,541263583.25
2025-02-17,0.23354,2330819943.485,18649,544338657.18
2025-02-18,0.234329,2326175408.49,18637,545090450.84
2025-02-19,0.234356,2319837442.82,18628,543668631.59
2025-02-20,0.233921,2320092312.974,18635,542717218.67
2025-02-21,0.23422,2318717748.191,18632,543089267.59
2025-02-24,0.234796,2315950880.814,18618,543776726.04
2025-02-25,0.23509,2303046685.169,18603,541424346.46
2025-02-26,0.23565,2306075683.387,18622,543427871.26
2025-02-27,0.235787,2305632246.164,18621,543637007.69
2025-02-28,0.236038,2302516454.791,18627,543481731.03
2025-03-03,0.235758,2298259343.391,18613,541833717.68
2025-03-04,0.23649,2298387510.224,18613,543546289.02
2025-03-05,0.237151,2301433902.568,18661,545786727.26
2025-03-06,0.237847,2299752426.3,18662,546988481.08
2025-03-07,0.237975,2300157825.064,18671,547380875.12
2025-03-10,0.237881,2301269334.291,18693,547428701.86
2025-03-11,0.238822,2298266028.192,18690,548876877.46
2025-03-12,0.239637,2293872851.082,18723,549697041.1
2025-03-13,0.23997,2299961057.121,18735,551922438.08
2025-03-14,0.239778,2303228992.39,18718,552264017.77
2025-03-17,0.23963,2304077536.921,18725,552127074.85
2025-03-18,0.240588,2306462188.269,18732,554906740.04
2025-03-19,0.241043,2304540177.124,18737,555494210.54
2025-03-20,0.246631,2305403871.681,18729,568584244.67
2025-03-21,0.24569,2305278072.412,18721,566383680.29
2025-03-24,0.243453,2307255403.926,18718,561707605.82
2025-03-25,0.242206,2307711323.629,18725,558940735.31
2025-03-26,0.242764,2324667404.507,18736,564344660.18
2025-03-27,0.243652,2330522791.378,18763,567836009.26
2025-03-28,0.243036,2337760497.914,18774,568159946.07
2025-04-02,0.241761,2343869591.999,18789,566655679.65
2025-04-03,0.243411,2343691873.373,18800,570480321.45
2025-04-04,0.245373,2349397929.773,18816,576477997.82
2025-04-07,0.245063,2347108660.191,18829,575189948.78
2025-04-08,0.243206,2345578360.772,18826,570458616.32
2025-04-09,0.242901,2344569450.8,18839,569498444.84
2025-04-10,0.242317,2346373507.819,18866,568566641.66
2025-04-11,0.243111,2349460506.109,18888,571178770.35
2025-04-14,0.244241,2340368441.301,18896,571613337.04
2025-04-15,0.244783,2340115859.127,18894,572820746.24
2025-04-16,0.245783,2343242358.704,18916,575927982.79
2025-04-17,0.247153,2344612313.971,18935,579477396.81
2025-04-18,0.247295,2337627872.708,18935,578082929.75
2025-04-21,0.246996,2336415574.897,18946,577086290.55
2025-04-22,0.24919,2334015534.596,18941,581613205.3
2025-04-24,0.248793,2335062972.504,18994,580948072.04
2025-04-25,0.24931,2335465862.729,19018,582254095.48
2025-04-28,0.249335,2325318413.38,19086,579783292.1
2025-04-29,0.249559,2324583920.562,19093,580121374.95
