date,fiyat,pay,hesap,buyukluk
2025-07-23,0.010012,20000000.0,1,200230.74
2025-07-24,0.01002,20000000.0,0,200406.54
2025-07-25,0.01006,20000000.0,0,201200.11
2025-07-28,0.010044,20000000.0,0,200880.41
2025-07-29,0.010005,24001750.299,0,240126.09
2025-07-30,0.009986,24011745.301,0,239784.99
2025-07-31,0.010038,35230622.73,0,353650.3
2025-08-01,0.010107,540169368.868,4,5459458.69
2025-08-04,0.010109,521515109.554,6,5272024.35
2025-08-05,0.010186,521904509.051,7,5316170.12
2025-08-06,0.010177,579078733.142,7,5893107.3
2025-08-07,0.010173,582618840.107,12,5927215.15
2025-08-08,0.010234,701381853.96,16,7177598.18
2025-08-11,0.010257,707310647.563,22,7254692.82
2025-08-12,0.01029,736131130.421,27,7575097.12
2025-08-13,0.010268,749310431.095,31,7694053.02
2025-08-14,0.010285,764994477.136,37,7867836.47
2025-08-15,0.010214,833404114.321,46,8512253.48
2025-08-18,0.010224,851895886.72,51,8709652.08
2025-08-19,0.010245,867463141.089,51,8886860.2
2025-08-20,0.010248,919386356.114,63,9421999.23
2025-08-21,0.010317,928553802.686,64,9579964.51
2025-08-22,0.010395,980265986.194,69,10190190.53
2025-08-25,0.010432,975345330.801,77,10175033.51
2025-08-26,0.010487,976996002.522,79,10245380.85
2025-08-27,0.010526,1014990517.263,84,10683599.76
2025-08-28,0.01043,1017162445.665,92,10609288.51
2025-08-29,0.01044,1174407533.852,109,12260364.32
2025-09-01,0.010385,1255414385.514,115,13036889.25
2025-09-02,0.01039,1285894273.596,127,13360192.89
2025-09-03,0.010171,1353686277.834,134,13768115.37
2025-09-04,0.010094,2380533587.109,142,24029719.59
2025-09-05,0.010168,2464942416.078,151,25063634.88
2025-09-08,0.010148,2502515529.368,159,25394404.32
2025-09-09,0.010083,2499198503.724,165,25198785.44
2025-09-10,0.010127,2504682099.326,169,25363998.54
2025-09-11,0.010189,2505019787.355,167,25524276.77
2025-09-12,0.010136,2530528697.372,173,25648652.14
2025-09-15,0.01016,2531650264.888,176,25721992.8
2025-09-16,0.010466,2541561923.543,178,26599782.0
2025-09-17,0.010547,2547337299.904,182,26867916.3
2025-09-18,0.010517,2567255805.693,188,27001096.8
2025-09-19,0.010459,2588270460.462,192,27071386.19
2025-09-22,0.010575,2613330821.052,204,27636529.55
2025-09-23,0.010721,2653468372.125,209,28448221.82
2025-09-24,0.010658,2723966097.684,215,29031547.86
2025-09-25,0.010651,2787584968.594,221,29691704.01
2025-09-26,0.010621,2794276190.116,222,29676844.86
2025-09-29,0.010528,2786869297.205,224,29338805.04
2025-09-30,0.010506,2900561725.067,231,30474018.76
2025-10-01,0.010534,2936043342.662,243,30927587.42
2025-10-02,0.010628,2939502722.298,246,31241362.84
2025-10-03,0.010596,2965504743.594,256,31423690.03
2025-10-06,0.010498,3001369773.504,262,31508699.85
2025-10-07,0.010501,3005813486.913,261,31563187.79
2025-10-08,0.01057,3018252335.991,261,31904384.06
2025-10-09,0.010595,3026194701.732,276,32063404.03
2025-10-10,0.010604,3000231099.823,280,31813993.47
2025-10-13,0.010539,3049526716.433,285,32139438.06
2025-10-14,0.010497,3072511177.925,291,32250881.27
2025-10-15,0.010385,3282516310.693,306,34090243.18
2025-10-16,0.01047,4066238765.984,309,42574574.53
2025-10-17,0.010439,4551434556.146,325,47513452.88
2025-10-20,0.010395,5599126350.867,342,58201048.13
2025-10-21,0.010544,6165767729.835,356,65011892.73
2025-10-22,0.010588,8577688202.208,378,90821336.81
2025-10-23,0.01059,12518940612.442,379,132569750.29
2025-10-24,0.010624,15161509966.094,397,161078786.88
2025-10-27,0.010764,17435557099.192,410,187674286.83
2025-10-28,0.010741,18894460695.071,418,202945108.55
2025-10-30,0.010759,20140377655.59,428,216686902.52
2025-10-31,0.010726,21797129295.501,438,233804460.95
2025-11-03,0.010787,21718310991.305,446,234270933.83
2025-11-04,0.010848,24199977738.843,459,262514423.82
2025-11-05,0.010724,25774892066.14,468,276398462.6
2025-11-06,0.010721,27339659181.28,479,293104981.68
2025-11-07,0.010739,28068585998.057,480,301435530.72
2025-11-10,0.010621,28160278899.22,482,299087817.79
2025-11-11,0.01058,28148710125.368,485,297811597.72
2025-11-12,0.010479,28353964200.721,490,297108801.74
2025-11-13,0.010502,28495027912.057,491,299245446.96
2025-11-14,0.010482,28997673731.669,494,303958634.32
2025-11-17,0.01043,29272275640.768,497,305307978.6
2025-11-18,0.010444,29737529999.187,502,310567472.5
2025-11-19,0.01043,29886193380.951,506,311716066.0
2025-11-20,0.010533,29859637352.954,506,314511049.43
2025-11-21,0.010542,29725381696.269,506,313356420.98
2025-11-24,0.010513,29741473124.313,509,312663570.02
2025-11-25,0.010529,29762836766.333,510,313359090.44
2025-11-26,0.010573,29787451954.794,514,314939584.49
2025-11-27,0.010615,29792758917.355,513,316245949.43
2025-11-28,0.010655,29913068232.984,519,318734554.46
2025-12-01,0.010666,30153100313.884,524,321621427.36
2025-12-02,0.010799,30485190329.986,530,329205385.51
2025-12-03,0.010778,30717138271.991,540,331080113.17
2025-12-04,0.010781,31214688224.545,544,336513394.63
2025-12-05,0.010679,31487312603.045,544,336243670.34
2025-12-08,0.010779,31543203323.646,549,340006779.47
2025-12-09,0.010899,31576233177.489,554,344158527.48
2025-12-10,0.010913,31585822450.924,557,344704411.87
2025-12-11,0.010877,31665294840.623,558,344431948.96
2025-12-12,0.010879,31910434922.816,563,347167345.23
2025-12-15,0.010942,32169551590.129,564,351994270.57
2025-12-16,0.011016,32074629875.383,568,353340403.83
2025-12-17,0.010958,32055158709.004,572,351260184.57
2025-12-18,0.010928,33577149899.57,578,366936406.0
2025-12-19,0.010966,35167400106.758,605,385658639.8
2025-12-22,0.011006,37000505731.49,620,407211140.52
2025-12-23,0.011053,37658178502.991,632,416253617.18
2025-12-24,0.011055,39410910308.101,647,435687752.78
2025-12-25,0.011098,40491959229.082,663,449382742.05
2025-12-26,0.011096,41808133341.784,676,463912399.04
2025-12-29,0.011101,44895166146.678,693,498380840.83
2025-12-30,0.011003,46343866308.022,709,509926979.95
2025-12-31,0.011,48245857593.871,727,530683970.23
2026-01-02,0.011027,49532195326.016,733,546179029.08
2026-01-05,0.011194,50060138452.289,751,560349688.77
2026-01-06,0.011291,50546345141.65,759,570733454.39
2026-01-07,0.01145,50930906493.704,769,583141597.73
2026-01-08,0.01142,51177470636.644,768,584458928.31
2026-01-09,0.011418,51812257826.891,773,591595410.74
2026-01-12,0.011455,51525851612.365,774,590232473.95
2026-01-13,0.011532,51105819061.387,778,589352069.94
2026-01-14,0.011594,52941959118.473,785,613793991.39
2026-01-15,0.011562,53719129087.879,794,621086396.59
2026-01-16,0.011616,53831445632.925,796,625285897.36
2026-01-19,0.011708,54505788612.796,801,638173739.92
2026-01-20,0.011758,54560300972.858,806,641543774.2
2026-01-21,0.011752,54923719148.452,813,645467348.02
2026-01-22,0.011827,55253379981.196,821,653462999.05
2026-01-23,0.0119,55550997524.717,833,661035935.47
2026-01-26,0.012031,56277824313.664,838,677071008.72
2026-01-27,0.012172,55620068290.052,847,676988900.03
2026-01-28,0.012145,60665493861.749,854,736779263.08
2026-01-29,0.012398,61733600788.093,862,765377392.97
2026-01-30,0.012697,63585046212.751,865,807314130.01
2026-02-02,0.012625,65490130788.458,877,826783615.0
2026-02-03,0.01244,66470010155.549,884,826900279.18
2026-02-04,0.012599,70511847012.299,906,888394860.5
2026-02-05,0.012565,71914409765.066,919,903628748.37
2026-02-06,0.012384,73192490514.185,939,906443161.67
2026-02-09,0.012385,72898131375.312,946,902850932.99
2026-02-10,0.012571,72942388454.81,951,916974106.74
2026-02-11,0.012538,74630029204.342,965,935675937.67
2026-02-12,0.012586,74807289500.746,975,941528822.33
2026-02-13,0.012855,75485816345.064,987,970392890.71
2026-02-16,0.012876,76102646940.164,996,979861602.87
2026-02-17,0.012962,79266057668.437,1021,1027427392.88
2026-02-18,0.012858,81040734832.304,1035,1042053647.89
2026-02-19,0.012858,84127883488.77,1063,1081718619.7
2026-02-20,0.012664,85559007024.125,1081,1083557077.57
2026-02-23,0.012722,87413183808.564,1094,1112058536.97
2026-02-24,0.012771,88581421379.833,1109,1131258654.36
2026-02-25,0.012755,89851323489.241,1130,1146084705.2
2026-02-26,0.012729,84418063451.231,1131,1074573879.98
2026-02-27,0.012736,85131493614.439,1139,1084242651.99
2026-03-02,0.012656,85682598751.451,1151,1084431541.42
2026-03-03,0.012551,86169005773.145,1163,1081478094.97
2026-03-04,0.012361,88004851078.127,1182,1087820459.39
2026-03-05,0.012343,87995585766.39,1185,1086100560.93
2026-03-06,0.012368,88298669791.551,1184,1092086529.9
2026-03-09,0.012202,88537256621.027,1189,1080370738.53
2026-03-10,0.012177,90068849511.125,1204,1096810057.29
2026-03-11,0.012378,89359954545.784,1200,1106099877.78
2026-03-12,0.012393,89719066467.262,1207,1111910588.04
2026-03-13,0.012371,89525411768.144,1217,1107560024.3
2026-03-16,0.012297,89801202934.148,1228,1104319383.07
2026-03-17,0.012262,91235434621.396,1238,1118712752.39
2026-03-18,0.012389,91986752204.849,1254,1139646806.07
2026-03-19,0.012315,92142832271.582,1255,1134693545.52
2026-03-23,0.01226,93216705485.751,1255,1142792080.54
2026-03-24,0.012217,94697242372.33,1274,1156876130.28
2026-03-25,0.012107,94949193664.873,1280,1149529250.3
2026-03-26,0.012178,95085143069.132,1276,1157977054.87
2026-03-27,0.012058,95246583484.184,1272,1148499286.73
2026-03-30,0.012001,95338299880.883,1274,1144172439.94
2026-03-31,0.011984,95474539812.11,1282,1144194594.68
2026-04-01,0.012047,95860268173.983,1288,1154861810.25
2026-04-02,0.012162,95819106961.65,1289,1165312100.04
2026-04-03,0.012169,96214937667.685,1372,1170887177.08
2026-04-06,0.012142,97158579014.316,1375,1179671926.6
2026-04-07,0.012231,97505705513.912,1381,1192601967.3
2026-04-08,0.012154,97151409156.062,1377,1180734057.52
2026-04-09,0.012477,97378854494.711,1384,1214998887.71
2026-04-10,0.012551,97144885383.497,1387,1219234893.56
2026-04-13,0.012746,97193094884.518,1391,1238861080.39
2026-04-14,0.012766,97246577156.793,1391,1241413856.48
2026-04-15,0.012913,97277142802.98,1390,1256098756.36
2026-04-16,0.012993,97886669310.337,1388,1271871617.67
2026-04-17,0.01297,98684525556.249,1403,1279893344.23
2026-04-20,0.013189,100204069095.264,1419,1321598048.97
2026-04-21,0.013162,108911482090.623,1466,1433496075.97
2026-04-22,0.013103,123395947279.444,1523,1616873374.81
2026-04-24,0.013085,132705245930.985,1557,1736457667.47
2026-04-27,0.013123,135732481774.447,1585,1781182548.45
