date,fiyat,pay,hesap,buyukluk
2024-09-02,9.70509,179101604.0,14290,1738197114.66
2024-09-03,9.924775,178754150.0,14286,1774094808.16
2024-09-04,9.924617,178147799.0,14203,1768048588.2
2024-09-05,9.950842,177333781.0,14161,1764620485.53
2024-09-06,9.902058,176759327.0,14136,1750281174.56
2024-09-09,9.756648,176270035.0,14134,1719804749.28
2024-09-10,9.676767,183343885.0,14163,1774176130.43
2024-09-11,9.633524,182716228.0,14121,1760201200.29
2024-09-12,9.487396,181490142.0,14051,1721868926.7
2024-09-13,9.611045,181197163.0,13989,1741494007.86
2024-09-16,9.682653,180741962.0,13951,1750061660.94
2024-09-17,9.565181,180349791.0,13953,1725078318.08
2024-09-18,9.738195,179408887.0,13861,1747118781.49
2024-09-19,9.834305,178824346.0,13805,1758613247.7
2024-09-20,10.055211,177484903.0,13779,1784648215.22
2024-09-23,10.023462,178406095.0,13788,1788246689.33
2024-09-24,10.08074,178129767.0,13794,1795679860.13
2024-09-25,10.259506,177887619.0,13785,1825039178.73
2024-09-26,10.20256,177851107.0,13812,1814536609.82
2024-09-27,10.168381,177880132.0,13887,1808753006.11
2024-09-30,10.148984,177810670.0,13933,1804597615.54
2024-10-01,10.043676,176442320.0,13988,1772129561.56
2024-10-02,9.746554,175757641.0,13921,1713031373.01
2024-10-03,9.312673,174378887.0,13846,1623933486.82
2024-10-04,9.084546,174027757.0,13787,1580963086.84
2024-10-07,9.293395,173840207.0,13737,1615565707.54
2024-10-08,9.181829,173647193.0,13737,1594398790.34
2024-10-09,9.249864,173657802.0,13686,1606311092.09
2024-10-10,9.43971,173278908.0,13631,1635702560.97
2024-10-11,9.279007,173003335.0,13603,1605299192.75
2024-10-14,9.176029,172498188.0,13576,1582848314.93
2024-10-15,9.047529,172123593.0,13566,1557293214.69
2024-10-16,9.218884,171455744.0,13503,1580630666.15
2024-10-17,9.376783,170929894.0,13439,1602772554.13
2024-10-18,9.319053,170788611.0,13408,1591588148.04
2024-10-21,8.995016,171778923.0,13377,1545154157.1
2024-10-22,8.791192,171674496.0,13369,1509223432.48
2024-10-23,9.033571,170073376.0,13305,1536369914.38
2024-10-24,8.914623,169302917.0,13278,1509271756.11
2024-10-25,9.066513,169050109.0,13236,1532694934.19
2024-10-28,9.118111,168869568.0,13210,1539771531.73
2024-10-30,9.174527,168846970.0,13194,1549091078.91
2024-10-31,9.273542,168581932.0,13175,1563351692.19
2024-11-01,9.100816,166940108.0,13128,1519291132.13
2024-11-04,9.125961,166746670.0,13090,1521723592.07
2024-11-05,8.911274,166395177.0,13073,1482793056.08
2024-11-06,8.699825,165843434.0,13017,1442808863.0
2024-11-07,8.90664,165156392.0,12980,1470988590.7
2024-11-08,9.023265,165000869.0,12941,1488846502.51
2024-11-11,9.317704,164869571.0,12920,1536205875.87
2024-11-12,9.487092,164789278.0,12916,1563371076.67
2024-11-13,9.405907,164278519.0,12893,1545188533.02
2024-11-14,9.484779,163295809.0,12846,1548824670.61
2024-11-15,9.5838,162745510.0,12822,1559720487.95
2024-11-18,9.478037,162912822.0,12822,1544093757.71
2024-11-19,9.426804,162825458.0,12842,1534923749.02
2024-11-20,9.243584,161215542.0,12775,1490209432.84
2024-11-21,9.077045,160900657.0,12733,1460502565.86
2024-11-22,9.512357,160522465.0,12694,1526947041.04
2024-11-25,9.816196,160257557.0,12681,1573119597.73
2024-11-26,9.882306,160210561.0,12728,1583249807.88
2024-11-27,9.863,159890533.0,12718,1577000293.68
2024-11-28,9.879663,159958268.0,12741,1580333746.51
2024-11-29,9.864672,160040009.0,12731,1578742211.79
2024-12-02,9.879442,159927371.0,12741,1579993168.42
2024-12-03,9.895112,160080646.0,12790,1584015953.68
2024-12-04,10.130774,160148766.0,12778,1622430949.26
2024-12-05,10.143835,160268444.0,12814,1625736574.56
2024-12-06,10.193465,160098871.0,12858,1631962253.99
2024-12-09,10.403003,160392779.0,12947,1668566592.87
2024-12-10,10.621881,160634564.0,13149,1706241164.15
2024-12-11,10.381168,161435192.0,13294,1675885770.18
2024-12-12,10.262785,162367602.0,13350,1666343763.74
2024-12-13,10.342264,162696969.0,13341,1682654978.08
2024-12-16,10.497121,162205378.0,13346,1702689461.32
2024-12-17,10.336195,162101606.0,13531,1675513750.26
2024-12-18,10.387976,162515556.0,13574,1688207747.27
2024-12-19,10.300365,163022747.0,13593,1679193827.79
2024-12-20,10.024397,162989049.0,13639,1633866869.32
2024-12-23,10.004015,163033433.0,13646,1630988943.19
2024-12-24,9.836059,150136483.0,13715,1476751256.38
2024-12-25,9.928824,150091113.0,13641,1490228292.98
2024-12-26,10.292468,149728131.0,13573,1541072061.93
2024-12-27,10.350234,147759440.0,13547,1529344804.06
2024-12-30,10.457183,146554754.0,13528,1532549904.64
2024-12-31,10.284249,146447237.0,13554,1506099879.98
2025-01-02,10.176851,146228696.0,13550,1488147598.68
2025-01-03,10.379316,146579453.0,13543,1521394503.17
2025-01-06,10.514911,146718319.0,13518,1542730121.02
2025-01-07,10.583803,145952028.0,13549,1544727451.04
2025-01-08,10.444544,145543648.0,13496,1520137074.77
2025-01-09,10.368014,145084790.0,13451,1504241113.33
2025-01-10,10.507513,144568673.0,13402,1519057280.74
2025-01-13,10.356113,144268439.0,13349,1494060272.72
2025-01-14,10.182361,144111095.0,13316,1467391170.43
2025-01-15,10.135502,143218854.0,13224,1451594997.6
2025-01-16,10.13803,142707411.0,13194,1446772048.59
2025-01-17,10.240891,142111338.0,13129,1455346787.31
2025-01-20,10.390476,140391311.0,13081,1458732605.85
2025-01-21,10.465599,140223004.0,13077,1467517766.55
2025-01-22,10.478438,140804786.0,13003,1475414283.42
2025-01-23,10.650819,140312255.0,12961,1494440413.68
2025-01-24,10.65655,140441494.0,12953,1496621814.07
2025-01-27,10.627649,140321910.0,12996,1491291961.5
2025-01-28,10.54015,140560370.0,13087,1481527383.7
2025-01-29,10.720332,140579198.0,13025,1507055675.23
2025-01-30,10.675401,140177953.0,13025,1496455807.23
2025-01-31,10.628701,139605924.0,12978,1483829661.19
2025-02-03,10.503209,139570548.0,12940,1465938620.36
2025-02-04,10.201911,139513545.0,12915,1423304792.22
2025-02-05,10.273523,139078160.0,12903,1428822689.68
2025-02-06,10.22432,138669699.0,12855,1417803390.26
2025-02-07,10.305883,137917147.0,12808,1421358003.04
2025-02-10,10.362122,137714585.0,12761,1427015312.97
2025-02-11,10.301519,137573769.0,12748,1417218820.76
2025-02-12,10.320093,137197860.0,12732,1415894613.37
2025-02-13,10.234915,136855366.0,12673,1400702989.79
2025-02-14,10.425224,136447252.0,12611,1422493099.26
2025-02-17,10.424807,136304805.0,12565,1420951322.17
2025-02-18,10.334682,135971501.0,12540,1405222291.21
2025-02-19,10.450988,135263036.0,12538,1413632322.88
2025-02-20,10.271389,134632699.0,12470,1382864796.01
2025-02-21,10.426026,134596779.0,12410,1403309584.42
2025-02-24,10.225389,133603160.0,12366,1366144272.84
2025-02-25,10.183921,133453076.0,12326,1359075628.71
2025-02-26,10.089852,133017235.0,12311,1342124230.1
2025-02-27,10.223275,132835299.0,12261,1358011806.47
2025-02-28,10.359907,132647406.0,12207,1374214795.21
2025-03-03,10.253275,132444396.0,12161,1357988795.61
2025-03-04,10.458932,132325740.0,12143,1383985862.16
2025-03-05,10.454652,131600690.0,12128,1375839372.06
2025-03-06,10.677449,131329032.0,12072,1402259047.02
2025-03-07,10.837982,131079055.0,12038,1420632488.42
2025-03-10,10.860659,131215093.0,12023,1425082378.91
2025-03-11,10.768841,130772992.0,12039,1408273504.46
