date,fiyat,pay,hesap,buyukluk
2024-09-02,0.103044,3366643217.126,2863,346913317.78
2024-09-03,0.1046,3363220535.126,2861,351791977.98
2024-09-04,0.103909,3356780368.126,2852,348798637.77
2024-09-05,0.104019,3354194683.126,2840,348898753.65
2024-09-06,0.104292,3282791619.126,2828,342368915.3
2024-09-09,0.103676,3280372407.126,2819,340094502.44
2024-09-10,0.10337,3280739962.126,2813,339129527.63
2024-09-11,0.103594,3277801773.126,2801,339562134.9
2024-09-12,0.100767,2968617393.126,2786,299139738.73
2024-09-13,0.10141,2932327554.126,2779,297367110.87
2024-09-16,0.10246,2925749022.126,2766,299772853.02
2024-09-17,0.102707,2923551933.126,2765,300268528.61
2024-09-18,0.103218,2917699120.126,2751,301157670.99
2024-09-19,0.103139,2832781819.126,2725,292170852.68
2024-09-20,0.104875,2832620770.126,2722,297071215.42
2024-09-23,0.104828,2831590730.126,2721,296829574.74
2024-09-24,0.10491,2828257421.126,2717,296713114.04
2024-09-25,0.105405,2828338041.126,2706,298120779.52
2024-09-26,0.10465,2826827817.126,2702,295827197.78
2024-09-27,0.103947,2780300113.126,2699,289004108.82
2024-09-30,0.104453,2769783691.126,2699,289312104.72
2024-10-01,0.104619,2762854016.126,2697,289047904.63
2024-10-02,0.102527,2769387662.126,2693,283938330.39
2024-10-03,0.101519,2759018135.126,2689,280091600.89
2024-10-04,0.100084,2755256015.126,2688,275756076.33
2024-10-07,0.101609,2673753775.126,2679,271678491.12
2024-10-08,0.101162,2672936807.126,2683,270399900.91
2024-10-09,0.100678,2492916613.126,2679,250982700.57
2024-10-10,0.100901,2492667225.126,2674,251513465.63
2024-10-11,0.101008,2430683616.126,2663,245517875.69
2024-10-14,0.101102,2431911539.126,2655,245870549.01
2024-10-15,0.100042,2430803357.126,2648,243181388.27
2024-10-16,0.100569,2428451978.126,2640,244227618.29
2024-10-17,0.101484,2419262429.126,2630,245517217.85
2024-10-18,0.101898,2076162069.126,2622,211557707.0
2024-10-21,0.107474,2071152023.126,2615,222594790.5
2024-10-22,0.106547,2070409702.126,2623,220595559.37
2024-10-23,0.107832,2054196895.126,2627,221507757.67
2024-10-24,0.106392,1857667740.126,2625,197641661.28
2024-10-25,0.106483,1859369993.126,2625,197990968.24
2024-10-28,0.106646,1864199912.126,2626,198809536.43
2024-10-30,0.108151,1866087458.126,2624,201819713.63
2024-10-31,0.108707,1868529146.126,2638,203121922.53
2024-11-01,0.107421,1852000404.126,2632,198944493.73
2024-11-04,0.108027,1855325771.126,2634,200425870.78
2024-11-05,0.106717,1859476908.126,2657,198437011.09
2024-11-06,0.106232,1864915413.126,2664,198114532.55
2024-11-07,0.106469,1868193960.126,2670,198905545.62
2024-11-08,0.107355,1862834635.126,2669,199984307.04
2024-11-11,0.108074,1865619935.126,2663,201624391.8
2024-11-12,0.108799,1868059094.126,2676,203242306.96
2024-11-13,0.108108,1814632526.126,2679,196176043.13
2024-11-14,0.108748,1814428999.126,2676,197315376.21
2024-11-15,0.10948,1806923952.126,2673,197822134.74
2024-11-18,0.109502,1817597245.126,2670,199030773.42
2024-11-19,0.109553,1864965339.126,2678,204312760.35
2024-11-20,0.10953,1876280815.126,2677,205508103.54
2024-11-21,0.109319,1830919212.126,2676,200154847.42
2024-11-22,0.111761,1597380335.126,2673,178525565.45
2024-11-25,0.112286,1618239975.126,2676,181705194.63
2024-11-26,0.111839,1617277776.126,2687,180874086.78
2024-11-27,0.111835,1614021680.126,2677,180503649.56
2024-11-28,0.111791,1069314827.126,2669,119540160.15
2024-11-29,0.111675,1070977003.126,2673,119601780.81
2024-12-02,0.1127,1060726036.126,2673,119543753.1
2024-12-03,0.112466,1058545067.126,2677,119050840.47
2024-12-04,0.112821,1058077722.126,2668,119373567.84
2024-12-05,0.113294,1058019621.126,2664,119867267.93
2024-12-06,0.113818,1061070093.126,2661,120768451.09
2024-12-09,0.11441,1063880137.126,2658,121718045.91
2024-12-10,0.11547,1064302070.126,2664,122895167.17
2024-12-11,0.114343,1057133704.126,2661,120876358.13
2024-12-12,0.114679,1057595295.126,2666,121283696.02
2024-12-13,0.114103,1037543332.126,2659,118386686.58
2024-12-16,0.114811,1038891750.126,2666,119276083.65
2024-12-17,0.114944,1032212409.126,2675,118646552.51
2024-12-18,0.114855,1034788799.126,2670,118850494.74
2024-12-19,0.115386,1033711267.126,2675,119275368.47
2024-12-20,0.115046,1030529221.126,2676,118558575.04
2024-12-23,0.114007,1033131004.126,2678,117784179.04
2024-12-24,0.114244,1032080670.126,2684,117909067.61
2024-12-25,0.114456,1031433847.126,2678,118053389.68
2024-12-26,0.11513,1028006024.126,2672,118354163.38
2024-12-27,0.115414,1029754680.126,2672,118847985.14
2024-12-30,0.116073,1030760450.126,2674,119643392.14
2024-12-31,0.115879,1029382796.126,2673,119284294.59
2025-01-02,0.117165,1031088317.126,2677,120807445.46
2025-01-03,0.116126,1027897591.126,2687,119365694.73
2025-01-06,0.11634,1028493425.126,2691,119655079.36
2025-01-07,0.116878,1029166642.126,2685,120286694.43
2025-01-08,0.116589,1009399256.126,2676,117684975.53
2025-01-09,0.115819,1009374302.126,2667,116904525.12
2025-01-10,0.116321,1009141337.126,2662,117384294.6
2025-01-13,0.116245,1008957011.126,2655,117286349.77
2025-01-14,0.114735,1002977254.126,2651,115076107.9
2025-01-15,0.114495,1003957642.126,2647,114947856.37
2025-01-16,0.114412,1000693378.126,2637,114491788.92
2025-01-17,0.115871,998174717.126,2633,115659550.23
2025-01-20,0.116472,998355928.126,2635,116280602.55
2025-01-21,0.117224,997960342.126,2642,116985038.31
2025-01-22,0.116773,994008852.126,2629,116073560.87
2025-01-23,0.116816,935846273.126,2629,109321584.06
2025-01-24,0.117018,929637347.126,2621,108783994.82
2025-01-27,0.116895,928769406.126,2633,108568496.77
2025-01-28,0.116288,928455904.126,2641,107968690.5
2025-01-29,0.116098,923556074.126,2628,107223086.67
2025-01-30,0.115745,908477408.126,2628,105151938.47
2025-01-31,0.115715,905573894.126,2616,104788590.08
2025-02-03,0.116423,902010938.126,2603,105014897.93
2025-02-04,0.115714,896632021.126,2594,103753243.33
2025-02-05,0.116351,876213413.126,2595,101948317.09
2025-02-06,0.116358,864362514.126,2592,100575182.54
2025-02-07,0.117699,864347574.126,2586,101732683.58
2025-02-10,0.118338,862484282.126,2570,102064830.83
2025-02-11,0.11921,859655004.126,2567,102479444.89
2025-02-12,0.120435,863231880.126,2565,103963430.34
2025-02-13,0.120635,861157469.126,2565,103886090.98
2025-02-14,0.120151,869329952.126,2571,104450609.16
2025-02-17,0.121683,870934905.126,2576,105978289.22
2025-02-18,0.121863,876223902.126,2582,106779243.73
2025-02-19,0.121734,879477102.126,2592,107062547.78
2025-02-20,0.12112,877126333.126,2587,106237912.35
2025-02-21,0.122128,867041845.126,2584,105889845.28
2025-02-24,0.121285,860343241.126,2582,104346902.34
2025-02-25,0.121572,859556698.126,2579,104498207.18
2025-02-26,0.120784,860206827.126,2584,103899002.08
2025-02-27,0.120643,859309951.126,2574,103669903.26
2025-02-28,0.120932,858755991.126,2568,103850905.19
2025-03-03,0.121915,860801254.126,2563,104945001.85
2025-03-04,0.122031,861415426.126,2566,105119615.09
2025-03-05,0.123207,863304933.126,2568,106365448.28
2025-03-06,0.123259,875219654.126,2565,107878324.83
2025-03-07,0.123738,998616659.126,2572,123567004.4
2025-03-10,0.124865,1126416818.126,2574,140650426.56
2025-03-11,0.125285,1121806448.126,2579,140545109.83
2025-03-12,0.125679,1131021714.126,2590,142145644.71
2025-03-13,0.126078,1119721849.126,2592,141171902.37
2025-03-14,0.12666,1109722194.126,2593,140557817.05
2025-03-17,0.128048,1115815723.126,2592,142877939.45
2025-03-18,0.127625,1146447540.126,2590,146315365.09
2025-03-19,0.127894,1154409701.126,2600,147641807.3
2025-03-20,0.123189,1108073655.126,2600,136502090.67
2025-03-21,0.123543,1097859649.126,2595,135633056.85
2025-03-24,0.118688,1097400061.126,2596,130247926.77
2025-03-25,0.120667,1095764545.126,2583,132222745.3
2025-03-26,0.12353,1095310070.126,2561,135304094.28
2025-03-27,0.123139,1106600960.126,2553,136266196.52
2025-03-28,0.122641,1427345003.126,2552,175051657.43
2025-04-02,0.125235,1429808078.126,2548,179062517.03
2025-04-03,0.1266,1432383681.126,2545,181340045.9
2025-04-04,0.127361,1415655074.126,2547,180298659.75
2025-04-07,0.127212,1416111596.126,2538,180146371.96
2025-04-08,0.125575,1420672843.126,2546,178401093.6
2025-04-09,0.126558,1414306728.126,2553,178991656.69
2025-04-10,0.124688,1409952859.126,2539,175804081.76
2025-04-11,0.126755,1409330727.126,2531,178639731.27
2025-04-14,0.126909,1410614794.126,2527,179019822.08
2025-04-15,0.129445,1408707796.126,2531,182349847.91
2025-04-16,0.129172,1408594087.126,2532,181950289.52
2025-04-17,0.128587,1420451969.126,2541,182652359.01
2025-04-18,0.13037,1423768118.126,2537,185617278.04
2025-04-21,0.132057,1394123165.126,2540,184103847.15
