date,fiyat,pay,hesap,buyukluk
2024-09-02,12.84498,400172790.0,87627,5140211319.95
2024-09-03,13.232211,399353799.0,87687,5284333538.12
2024-09-04,13.208066,403166420.0,87427,5325048796.43
2024-09-05,13.225653,406335944.0,87305,5374057995.09
2024-09-06,13.172316,405218321.0,87093,5337663696.14
2024-09-09,12.938222,404392875.0,86910,5232124835.79
2024-09-10,12.778955,403443892.0,86805,5155591295.05
2024-09-11,12.688299,400414337.0,86297,5080576802.75
2024-09-12,12.458967,397479878.0,85884,4952188524.19
2024-09-13,12.572837,394819972.0,85525,4964007332.79
2024-09-16,12.695173,394837165.0,85245,5012526185.05
2024-09-17,12.556249,393800238.0,85201,4944653983.12
2024-09-18,12.78986,393027033.0,84897,5026760857.31
2024-09-19,12.837996,392407155.0,84643,5037721362.23
2024-09-20,13.079405,391605086.0,84481,5121961514.17
2024-09-23,13.048687,391928873.0,84454,5114157176.16
2024-09-24,13.062822,392511860.0,84490,5127312636.64
2024-09-25,13.265459,388500061.0,84218,5153631578.68
2024-09-26,13.074501,387388390.0,84062,5064909905.68
2024-09-27,13.029809,388390580.0,83928,5060655128.34
2024-09-30,13.003251,387421522.0,83774,5037739135.79
2024-10-01,12.865836,386442101.0,83619,4971900598.99
2024-10-02,12.467463,385230610.0,83212,4802848240.84
2024-10-03,12.001009,382584263.0,82833,4591397214.68
2024-10-04,11.799383,379773850.0,82358,4481097225.14
2024-10-07,12.060563,378930702.0,82051,4570117636.71
2024-10-08,11.955167,377983687.0,81932,4518858068.43
2024-10-09,11.953529,377240530.0,81700,4509355792.02
2024-10-10,12.12693,375981937.0,81471,4559506732.2
2024-10-11,11.931489,375253649.0,81267,4477334900.51
2024-10-14,11.853471,374786105.0,81129,4442516264.87
2024-10-15,11.621278,373391974.0,80989,4339291844.15
2024-10-16,11.825647,370657985.0,80546,4383270588.82
2024-10-17,11.956732,368921852.0,80195,4411099896.37
2024-10-18,11.896673,368441081.0,80028,4383223057.45
2024-10-21,11.534005,368208266.0,79893,4246916089.92
2024-10-22,11.317226,367577877.0,79787,4159961932.97
2024-10-23,11.561054,362084036.0,79401,4186072985.09
2024-10-24,11.413018,360881352.0,79079,4118745420.96
2024-10-25,11.575198,360121567.0,78855,4168478492.44
2024-10-28,11.629967,359628214.0,78855,4182464437.99
2024-10-30,11.695539,358968324.0,78601,4198328208.61
2024-10-31,11.807285,358609303.0,78482,4234202098.08
2024-11-01,11.652428,358107190.0,78260,4172818321.19
2024-11-04,11.648344,357800641.0,78176,4167785018.16
2024-11-05,11.339017,357301748.0,78067,4051450571.3
2024-11-06,11.232625,351336724.0,77738,3946433750.75
2024-11-07,11.55341,350468885.0,77489,4049110767.78
2024-11-08,11.689433,349666489.0,77312,4087402848.71
2024-11-11,12.002596,349193397.0,77213,4191227248.47
2024-11-12,12.20213,349530438.0,77241,4265015791.56
2024-11-13,12.177274,349995032.0,77132,4261985539.46
2024-11-14,12.277787,351191688.0,77008,4311856847.07
2024-11-15,12.45472,350873102.0,76954,4370026187.63
2024-11-18,12.428502,351589948.0,77041,4369736365.21
2024-11-19,12.400234,352817099.0,77188,4375014695.52
2024-11-20,12.243697,353293885.0,77041,4325623261.29
2024-11-21,12.046004,352535156.0,76857,4246639808.3
2024-11-22,12.532052,352148171.0,76687,4413139065.95
2024-11-25,12.750376,352018556.0,76675,4488369027.46
2024-11-26,12.85047,351471242.0,76904,4516570638.74
2024-11-27,12.812421,352926696.0,76809,4521845478.91
2024-11-28,12.824108,353187306.0,76780,4529312122.28
2024-11-29,12.842073,353875767.0,76736,4544498609.42
2024-12-02,12.869256,353697287.0,76725,4551820988.09
