date,fiyat,pay,hesap,buyukluk
2025-10-16,1.001119,136265910.0,12,136418350.33
2025-10-17,1.002279,140575586.0,14,140896024.02
2025-10-20,1.005741,140738661.0,20,141546590.26
2025-10-21,1.006903,138723075.0,23,139680724.81
2025-10-22,1.00809,143142269.0,24,144300267.31
2025-10-23,1.009264,143164075.0,28,144490337.55
2025-10-24,1.010448,143284690.0,30,144781769.5
2025-10-27,1.013881,411694580.0,31,417409212.58
2025-10-28,1.015015,387237568.0,32,393052051.01
2025-10-30,1.017356,390744522.0,31,397526372.7
2025-10-31,1.0185,405887153.0,33,413396091.45
2025-11-03,1.021981,389257090.0,35,397813499.3
2025-11-04,1.023141,404769098.0,37,414135673.43
2025-11-05,1.024299,412903900.0,35,422937027.89
2025-11-06,1.025456,425596157.0,38,436430093.16
2025-11-07,1.026609,406345183.0,36,417157576.41
2025-11-10,1.030071,429306890.0,41,442216590.09
2025-11-11,1.031226,428558168.0,41,441940274.37
2025-11-12,1.032385,404831878.0,38,417942311.02
2025-11-13,1.033541,401789301.0,39,415265556.82
2025-11-14,1.034706,392662724.0,40,406290557.31
2025-11-17,1.038179,421274936.0,39,437358939.31
2025-11-18,1.039349,419589112.0,39,436099696.2
2025-11-19,1.040522,418740264.0,40,435708632.71
2025-11-20,1.041688,461803858.0,42,481055501.49
2025-11-21,1.042861,471598045.0,45,491811327.3
2025-11-24,1.046364,474191373.0,50,496176702.52
2025-11-25,1.047539,466366880.0,50,488537443.95
2025-11-26,1.048724,451517441.0,51,473517331.68
2025-11-27,1.049902,457724663.0,54,480565813.12
2025-11-28,1.051064,756606217.0,60,795241816.69
2025-12-01,1.054586,754006367.0,59,795164505.77
2025-12-02,1.055772,761209826.0,64,803664022.47
2025-12-03,1.056965,760217879.0,64,803523559.59
2025-12-04,1.058158,766469746.0,73,811045885.95
2025-12-05,1.05933,828523253.0,77,877679627.63
2025-12-08,1.062881,836018820.0,78,888588393.87
2025-12-09,1.064068,815824638.0,80,868092820.28
2025-12-10,1.065257,950006637.0,83,1012000826.48
2025-12-11,1.066445,973670232.0,85,1038365816.5
2025-12-12,1.06764,1006179336.0,84,1074237241.97
2025-12-15,1.071073,1618064189.0,84,1733065026.94
2025-12-16,1.072221,1628461308.0,84,1746070343.54
2025-12-17,1.073339,1618877385.0,82,1737604666.86
2025-12-18,1.074494,1604773669.0,81,1724319828.34
2025-12-19,1.075669,1606523479.0,82,1728088090.56
2025-12-22,1.079205,1606499894.0,80,1733742617.13
2025-12-23,1.080387,1604588650.0,76,1733577127.99
