date,fiyat,pay,hesap,buyukluk
2024-09-02,39.872965,120752193.0,3065,4814747987.44
2024-09-03,39.850222,120752193.0,3067,4812001672.84
2024-09-04,39.801431,122085007.0,3143,4859157978.55
2024-09-05,39.895984,125838830.0,3164,5020464003.09
2024-09-06,39.879534,126848912.0,3171,5058675543.23
2024-09-09,39.878437,130204156.0,3192,5192338195.53
2024-09-10,39.974703,130965411.0,3228,5235303364.51
2024-09-11,40.025954,134126418.0,3253,5368537869.12
2024-09-12,39.999921,135692334.0,3255,5427682624.17
2024-09-13,39.981969,136557213.0,3261,5459826242.32
2024-09-16,39.955313,137101987.0,3274,5477952798.16
2024-09-17,40.101127,138024464.0,3305,5534936616.66
2024-09-18,40.271637,139053180.0,3333,5599899208.27
2024-09-19,40.340135,142642782.0,3352,5754229082.64
2024-09-20,40.374594,144670774.0,3369,5841023767.79
2024-09-23,40.386169,146900116.0,3380,5932732970.85
2024-09-24,40.511418,148180032.0,3412,6002983197.95
2024-09-25,40.571789,149504590.0,3439,6065668674.31
2024-09-26,40.618219,152922555.0,3473,6211441756.96
2024-09-27,40.661798,154445619.0,3504,6280036583.52
2024-09-30,40.718335,156674745.0,3532,6379534769.58
2024-10-01,40.778446,159767658.0,3561,6515076842.77
2024-10-02,40.774948,166630923.0,3586,6794367302.67
2024-10-03,40.805592,167744427.0,3612,6844910625.42
2024-10-04,40.759597,168540880.0,3636,6869658338.57
2024-10-07,40.749998,175841116.0,3665,7165525174.6
2024-10-08,40.743212,178328064.0,3691,7265658145.08
2024-10-09,40.783258,182195511.0,3717,7430526549.01
2024-10-10,40.777884,181061954.0,3713,7383323305.01
2024-10-11,40.702502,181296383.0,3708,7379216457.79
2024-10-14,40.72632,181775672.0,3708,7403054207.39
2024-10-15,40.820327,181775672.0,3722,7420142366.97
2024-10-16,40.90334,182734351.0,3765,7474445315.06
2024-10-17,40.887317,182193798.0,3780,7449415556.49
2024-10-18,40.863748,180799121.0,3781,7388129803.69
2024-10-21,40.942564,179582316.0,3806,7352560464.32
2024-10-22,40.902299,171652145.0,3825,7020967431.08
2024-10-23,40.807873,171961737.0,3835,7017392673.93
2024-10-24,40.810524,173617178.0,3837,7085408036.62
