date,fiyat,pay,hesap,buyukluk
2024-09-02,34.692208,7592918.0,280,263415088.62
2024-09-03,34.686151,7600156.0,283,263620155.0
2024-09-04,34.662408,7622768.0,285,264223490.94
2024-09-05,34.754661,8058652.0,289,280075721.16
2024-09-06,34.699533,8298157.0,288,287942173.15
2024-09-09,34.7062,8304338.0,292,288212014.58
2024-09-10,34.797566,8435220.0,297,293525122.16
2024-09-11,34.82608,8487518.0,297,295586984.26
2024-09-12,34.776216,8537953.0,298,296917698.98
2024-09-13,34.742422,8519147.0,299,295975797.81
2024-09-16,34.683661,8530051.0,303,295853393.8
2024-09-17,34.787416,8557706.0,305,297700481.2
2024-09-18,34.88787,8563025.0,310,298745706.19
2024-09-19,34.926936,9081278.0,313,317181215.07
2024-09-20,34.884198,9897625.0,318,345270711.18
2024-09-23,34.890763,10343319.0,319,360886293.21
2024-09-24,35.007533,10329317.0,322,361603903.85
2024-09-25,35.061959,10374803.0,327,363760915.6
2024-09-26,35.071681,11664551.0,333,409095408.06
2024-09-27,35.087758,11693243.0,336,410289676.58
2024-09-30,35.102662,12398046.0,340,435204412.49
2024-10-01,35.155344,12586178.0,345,442471422.51
2024-10-02,35.148928,12656954.0,346,444878364.25
2024-10-03,35.169514,13195826.0,352,464090791.48
2024-10-04,35.118222,14752859.0,357,518094183.76
2024-10-07,35.168172,16571485.0,356,582788837.15
2024-10-08,35.218023,16454437.0,354,579492743.93
2024-10-09,35.249343,16330799.0,356,575649930.96
2024-10-10,35.237726,16211527.0,356,571257347.34
2024-10-11,35.19078,16252355.0,357,571933052.53
2024-10-14,35.225953,16352047.0,362,576016437.96
2024-10-15,35.276066,16552809.0,365,583917978.86
2024-10-16,35.276811,16546701.0,366,583714842.51
2024-10-17,35.241057,16539535.0,367,582870696.88
2024-10-18,35.197918,16558437.0,372,582822502.07
2024-10-21,35.269954,16627185.0,375,586440052.18
2024-10-22,35.241585,16737702.0,378,589863154.73
2024-10-23,35.207675,16909637.0,375,595349001.31
2024-10-24,35.218876,16901965.0,378,595268212.82
2024-10-25,35.208757,14760144.0,375,519686324.1
2024-10-28,35.220576,14770052.0,375,520209741.38
2024-10-30,35.23147,14770052.0,377,520370648.11
2024-10-31,35.228302,15559311.0,382,548128108.8
2024-11-01,35.176258,15545610.0,378,546836381.51
2024-11-04,35.229608,15660834.0,382,551725045.26
2024-11-05,35.292755,15693195.0,381,553856080.16
2024-11-06,35.298484,15669822.0,378,553120960.76
2024-11-07,35.195309,15602848.0,376,549147053.73
2024-11-08,35.198188,15470571.0,374,544536064.75
2024-11-11,35.313666,15453916.0,375,545734429.2
2024-11-12,35.342898,14473458.0,372,511533948.64
2024-11-13,35.372165,14661282.0,372,518601287.2
2024-11-14,35.368115,14681388.0,366,519253022.01
2024-11-15,35.357883,14677918.0,369,518980110.47
2024-11-18,35.424264,14769024.0,369,523181800.86
2024-11-19,35.522955,14783708.0,372,525160995.58
2024-11-20,35.619121,14697939.0,372,523527662.48
2024-11-21,35.529419,14738456.0,374,523648780.53
2024-11-22,35.547142,14760622.0,372,524697920.73
2024-11-25,35.579572,14765074.0,373,525335018.01
2024-11-26,35.647319,14761770.0,373,526217522.58
2024-11-27,35.69713,14076299.0,375,502483474.24
2024-11-28,35.72373,14141858.0,376,505199912.98
2024-11-29,35.729811,14235689.0,376,508638473.82
2024-12-02,35.768493,14231040.0,377,509022848.43
2024-12-03,35.850131,14270970.0,382,511616139.65
2024-12-04,35.880666,14272013.0,385,512089325.53
2024-12-05,35.903162,14318999.0,385,514097345.06
2024-12-06,35.912543,14292593.0,391,513283363.83
2024-12-09,35.967171,14377575.0,394,517120703.94
2024-12-10,36.021825,14451423.0,396,520566629.49
2024-12-11,36.055191,15442974.0,399,556799377.45
2024-12-12,36.090092,15456326.0,400,557820220.18
2024-12-13,36.106238,15479151.0,404,558893905.72
2024-12-16,36.168365,15620994.0,406,564985809.5
2024-12-17,36.201792,15644400.0,408,566355313.16
2024-12-18,36.210757,18541769.0,408,671411491.64
2024-12-19,36.247974,19073572.0,409,691378345.18
2024-12-20,36.290384,18965752.0,413,688274423.86
2024-12-23,36.353038,19019011.0,416,691398831.56
2024-12-24,36.399966,18998160.0,416,691532376.86
2024-12-25,36.48224,18935295.0,417,690801967.44
2024-12-26,36.534223,19187033.0,421,700983334.52
2024-12-27,36.525095,19394511.0,426,708386349.37
2024-12-30,36.468359,19427480.0,428,708488308.36
2024-12-31,36.541108,19469601.0,432,711440789.84
2025-01-02,36.609111,19422854.0,432,711053420.11
2025-01-03,36.589887,19443479.0,432,711434703.6
2025-01-06,36.627185,19476830.0,433,713381463.72
2025-01-07,36.645423,19478262.0,437,713789158.49
2025-01-08,36.628067,19594875.0,437,717722390.18
2025-01-09,36.660081,19672480.0,437,721194703.09
2025-01-10,36.634181,20245936.0,437,741693274.0
2025-01-13,36.689943,20329579.0,439,745891099.51
2025-01-14,36.734348,20399932.0,441,749378197.91
2025-01-15,36.753909,20281785.0,442,745434872.85
2025-01-16,36.759806,20506833.0,442,753827201.62
2025-01-17,36.732653,20493003.0,442,752762361.85
2025-01-20,36.774936,20521026.0,440,754659411.88
2025-01-21,36.8927,20521026.0,441,757076054.57
2025-01-22,36.920251,20413470.0,439,753670443.42
2025-01-23,36.966167,20407049.0,440,754370380.05
2025-01-24,36.981921,20332851.0,441,751947879.8
2025-01-27,37.019082,20447985.0,442,756965642.98
2025-01-28,37.093207,20475525.0,444,759502882.35
2025-01-29,37.14649,20410126.0,443,758164544.82
2025-01-30,37.168397,20427041.0,443,759240359.87
2025-01-31,37.179821,20591328.0,448,765581880.75
2025-02-03,37.22613,20790640.0,452,773955067.16
2025-02-04,37.335707,20805444.0,454,776785971.59
2025-02-05,37.377949,20908759.0,456,781526527.32
2025-02-06,37.340779,21210860.0,455,792030044.26
2025-02-07,37.313861,21163355.0,452,789686492.19
2025-02-10,37.397443,21133037.0,453,790321541.45
2025-02-11,37.427769,21185270.0,455,792917389.01
2025-02-12,37.439898,21107598.0,456,790266316.01
2025-02-13,37.501318,20774898.0,453,779086057.02
2025-02-14,37.534882,20378484.0,455,764903984.11
2025-02-17,37.630847,20479365.0,455,770655850.59
2025-02-18,37.666191,20467587.0,456,770936041.04
2025-02-19,37.726947,20502431.0,460,773494131.31
2025-02-20,37.748729,20566708.0,462,776367089.71
2025-02-21,37.773927,20632740.0,463,779379613.87
2025-02-24,37.85673,20966703.0,464,793730824.1
2025-02-25,37.907994,20865895.0,462,790984228.85
2025-02-26,37.948502,20542785.0,463,779567919.8
2025-02-27,37.934997,20666175.0,462,783971278.37
2025-02-28,37.944676,20725029.0,465,786404513.71
2025-03-03,38.006109,19973155.0,466,759101899.76
2025-03-04,38.048749,20104815.0,469,764963063.93
2025-03-05,38.041963,20114125.0,472,765180801.4
2025-03-06,38.017997,20254804.0,473,770047071.77
2025-03-07,38.019892,20309902.0,474,772180272.51
2025-03-10,37.982553,20516872.0,474,779283178.62
2025-03-11,38.136601,20516215.0,475,782418711.82
2025-03-12,38.203707,20538201.0,475,784635420.95
2025-03-13,38.237879,20543630.0,477,785544835.29
2025-03-14,38.239953,21518225.0,481,822855915.09
2025-03-17,38.253928,21550078.0,483,824375127.9
2025-03-18,38.34824,21607199.0,483,828598045.09
2025-03-19,38.349012,21549489.0,488,826401618.77
2025-03-20,39.713219,21599659.0,495,857791994.09
2025-03-21,39.666688,21075674.0,499,836002193.4
2025-03-24,39.543793,21028738.0,501,831556071.96
2025-03-25,39.578624,20694069.0,507,819042782.18
2025-03-26,39.696881,20685586.0,514,821153253.52
2025-03-27,39.71708,20591367.0,513,817828966.68
2025-03-28,39.705271,20727503.0,518,822991126.99
